"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","GO:0007059","chromosome segregation","210/5138","434/18860",0.483870967741935,1.77613983098733,10.0096058329158,2.04918611713454e-21,1.29692989353445e-17,1.04918329197288e-17,"55732/996/9031/7756/4361/55166/8452/54908/57492/23369/55781/55706/23063/6047/387/3796/1459/998/56852/9319/8243/55743/60/4292/10615/7155/25978/81929/9183/6790/22974/51433/332/51776/54930/6732/23411/79019/57820/4605/1457/9371/22919/128866/55125/8780/10735/2491/10664/8766/9639/10270/898/56647/9126/3837/6603/64151/26271/26054/8899/7272/10051/8850/1894/150465/10096/51652/991/8289/1063/10274/9928/84085/9525/27030/348995/91687/23397/81930/29899/79903/11130/64105/6491/55355/8239/10426/8678/54617/90417/151648/55274/9113/7283/7153/5901/55207/55143/192670/324/9700/83990/86/51759/10592/55755/57082/55142/27229/10097/79172/3832/1062/6601/5925/9611/23421/83540/9391/2177/51143/1060/11011/54892/91782/54801/4288/3619/79980/140710/140609/79682/55835/115106/64682/9184/220134/64210/7273/286053/163786/701/9133/29127/147841/79677/56916/84142/151246/245711/55193/79884/25836/9232/92421/5885/25879/9897/221150/23172/55839/81565/84191/5347/81620/79003/201254/983/157570/51112/5728/55055/11065/10540/9134/55844/51115/83903/348654/9212/23212/1104/285331/79598/80254/9735/157313/4733/146909/5501/51547/196528/10388/203068/51434/7405/9874/26112/23137/7150/9055/387103/79441/1654/5520/3833/57132/26065/101928601",210
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","216/5138","461/18860",0.468546637744035,1.71988898167623,9.57561226205125,7.43900171364272e-20,2.35407209228224e-16,1.90438443869254e-16,"996/55904/10926/7756/51360/637/4361/6683/8554/8452/54908/23026/50484/57492/1112/8454/5218/55781/586/6873/9319/55743/4140/60/1739/79960/7319/8556/1785/5933/2932/5243/4998/9183/51720/6790/51433/332/51776/63967/51322/8317/1033/5721/994/128866/5932/28984/2935/5934/8766/4683/898/2146/54619/23560/8453/219771/5889/6198/6603/55294/2305/26271/1871/896/8899/7272/900/10111/1981/90/991/8289/1063/9928/51692/5537/9525/11130/1017/6491/1026/140901/9088/54617/10776/1032/55274/9113/10197/26057/79577/902/55143/324/79616/51347/60561/9700/91/4193/57695/55198/3364/86/55755/4609/81853/5962/57082/580/29766/1062/5530/79035/6601/5925/8451/8720/23476/83540/2029/163859/54465/51143/1956/91782/3619/1111/3688/26524/1977/2059/6868/55835/143384/5884/64682/9184/9510/220134/286053/163786/701/9133/8450/29980/8883/57551/147841/84142/11073/245711/59343/55193/92421/5885/9833/221150/8328/219736/144455/8065/5347/6240/11170/55159/25942/57099/84640/983/8493/51499/5356/6241/5728/8462/27085/23133/64859/55055/9024/545/11065/149420/10106/9134/55844/79915/51379/5426/83903/348654/9212/1104/84967/9735/4303/4582/79184/5087/1978/116224/123879/196528/51434/25959/641/79027/7027/801/23137/26058/1654/5591",216
"GO:0042254","GO:0042254","ribosome biogenesis","159/5138","318/18860",0.5,1.83534449202024,9.19281579224909,3.25019309970047e-18,6.85682404266809e-15,5.5469962234888e-15,"51096/23517/55341/51491/51154/51602/55781/10885/54505/30836/51018/23016/7520/22894/84273/51729/102157402/27292/8602/8886/22803/51575/6175/1983/51550/8780/6839/90459/10775/85865/23560/4927/117246/2483/6207/11103/4839/55003/23195/6206/705/55299/8850/84128/79954/56902/54955/80135/10969/6230/22868/55127/54853/11340/27340/2971/6125/5393/10199/88745/83732/10799/25983/23404/25926/6155/5901/57050/51388/54663/6210/29889/134430/55226/84946/10200/9816/2752/11137/92856/51187/6229/29081/55759/8451/79631/84916/28987/80000/81875/163859/83939/166378/92345/6189/285855/64434/6129/84294/10556/22984/57647/153443/10557/55027/10600/51001/115416/8450/9669/23076/64216/23160/11157/84135/10412/25879/65083/84881/9188/9790/9221/55720/3921/29063/51068/5036/84864/55006/51013/55636/5394/6201/90441/1964/401466/1662/63899/23212/55505/51335/51118/51547/9045/79979/161424/10438/84154/55035/84549/55153/51441/55319/131870/220717/51202/1654/51406/5591",159
"GO:0006260","GO:0006260","DNA replication","143/5138","290/18860",0.493103448275862,1.81002939557858,8.50631574700428,7.23143263341493e-16,8.61142977412028e-13,6.9664276257696e-13,"10926/5980/58525/1663/23649/4361/5981/259282/50484/5982/5888/10721/23063/5424/55388/64710/5423/57662/10714/79960/55218/10269/546/4998/8318/27154/8317/4174/5427/7528/51550/25939/64863/5932/9767/4683/54108/898/27000/6742/56652/23560/79991/9126/8882/8099/5985/8914/25842/254394/26271/51053/10111/604/54891/4999/5000/27101/51377/6418/23244/51426/1017/1026/7270/92667/84515/54617/79733/26057/5111/4678/5983/84893/1660/57695/51455/86/51008/1763/580/94/675/5428/114799/4782/10498/163859/54465/5558/253714/1956/54107/6749/1111/22944/79596/5884/84897/29980/8208/5928/11073/59343/5984/7486/144455/9768/2021/6240/81620/7083/55159/2237/25942/201254/983/157570/246243/64318/9156/545/9134/79915/5426/253461/348654/80010/64785/64061/11124/5813/10445/57697/374393/641/79892/5557/11177/7150/647309/5591/51750",143
"GO:0000075","GO:0000075","cell cycle checkpoint signaling","103/5138","187/18860",0.550802139037433,2.02182334415064,8.59285033454312,7.33339067266374e-16,8.61142977412028e-13,6.9664276257696e-13,"1407/7756/51360/23376/4361/54908/5888/1112/9319/55743/57662/4998/9183/51720/332/51776/79968/63967/8318/51322/988/1457/9675/5932/4683/84444/8914/1432/8899/7272/5810/10111/1386/991/5629/1063/11130/1017/1026/440275/55143/9575/324/51347/60561/3364/83990/55755/9656/57082/1763/580/79035/675/8451/8720/23476/261726/83540/25896/163859/54465/2177/51143/3619/1111/144715/5884/9184/220134/701/29980/8883/57551/147841/84142/11073/165918/92421/221150/5347/81620/55159/10116/983/51499/64859/55055/545/83903/348654/9212/5781/80254/9735/4303/4582/79184/116224/641/26058/5591/4067",103
"GO:0000819","GO:0000819","sister chromatid segregation","121/5138","233/18860",0.51931330472103,1.90623762690514,8.51718863742636,9.22360389770289e-16,8.61142977412028e-13,6.9664276257696e-13,"996/9031/7756/8452/54908/57492/55781/23063/387/3796/9319/8243/55743/60/10615/7155/25978/81929/9183/22974/51433/332/51776/23411/4605/9371/22919/128866/55125/10735/2491/8766/9639/10270/56647/9126/3837/6603/64151/26271/8899/7272/10051/8850/51652/991/8289/1063/10274/9928/9525/23397/81930/11130/64105/8678/54617/90417/55274/9113/7283/7153/5901/55143/324/9700/86/10592/55755/57082/3832/1062/6601/5925/83540/51143/1060/54892/91782/3619/64682/9184/220134/7273/286053/701/29127/147841/84142/55193/79884/25836/92421/5885/221150/23172/5347/81620/79003/983/55055/11065/10540/51115/83903/348654/9212/23212/1104/285331/79598/9735/4733/146909/5501/196528/51434/9055/3833/57132/26065",121
"GO:0034504","GO:0034504","protein localization to nucleus","163/5138","345/18860",0.472463768115942,1.73426754898145,8.42266828637669,1.04069902601008e-15,8.61142977412028e-13,6.9664276257696e-13,"51360/23649/25937/23633/1495/10758/55726/23534/10347/3843/8692/25885/55746/7037/10979/4140/143684/1906/5663/5241/2932/3842/2646/51194/57506/57192/114882/10762/7494/25777/2033/5905/6789/3839/23568/6788/51366/10430/5532/3837/4927/7531/7704/8882/4928/57122/1432/1871/7957/705/55374/4001/9631/3836/1894/868/200576/1386/7341/64121/55127/6950/51569/51307/3164/1434/1026/9972/51141/5469/8021/9113/5901/5562/9201/10526/10542/948/10574/4193/2752/55198/6426/7295/27348/1861/26953/129685/580/5910/53371/5530/9818/8720/3454/3068/26092/5295/908/9258/51501/9538/26524/22948/3087/5903/3621/84897/55027/10694/9478/23515/3716/129401/152559/7203/80149/5580/7534/6850/7486/83860/10576/5347/7529/4088/6774/51068/25942/727851/163590/983/26108/81603/5356/1072/3728/137735/51574/84823/23212/3059/3838/754/29110/3786/6612/4771/11261/10445/347/64771/6714/84154/10210/55035/23607/55705/2475/10527/255919/96459/5534",163
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","207/5138","468/18860",0.442307692307692,1.62357397371021,8.35880320859643,1.0885043165265e-15,8.61142977412028e-13,6.9664276257696e-13,"55904/10926/1407/7756/51360/23376/637/4361/8452/54908/23026/50484/57492/5888/1112/5218/55781/5128/9319/55743/4140/60/1739/57662/79960/8556/5933/4998/9183/51720/6790/51433/332/51776/79968/63967/8318/51322/988/8317/56241/5721/994/1457/9675/5932/5127/28984/5934/8766/4683/84444/898/2146/23560/5889/6603/55294/8914/26271/1432/896/8899/7272/5810/10111/9555/1981/90/1386/991/5629/8289/1063/9928/51692/9525/11130/1017/6491/1026/140901/9088/440275/54617/1032/55274/10197/26057/79577/902/55143/9575/324/51347/60561/9700/4193/55198/3364/83990/86/55755/81853/9656/5962/57082/1763/580/29766/1062/79035/6601/675/5925/8451/8720/23476/261726/83540/8444/25896/163859/54465/2177/51143/1956/3619/1111/144715/6868/55835/5884/9184/9510/220134/286053/163786/701/8450/29980/8883/57551/147841/84142/152110/11073/59343/55193/165918/92421/5885/221150/8328/219736/144455/252983/322/5347/6240/81620/11170/55159/10116/25942/57099/983/51499/5356/6241/5728/8462/27085/64859/55055/545/11065/149420/10106/9134/79915/51379/83903/4291/348654/9212/5781/6657/84967/80254/9735/4303/4582/79184/5087/116224/123879/196528/51434/25959/641/79027/7027/26058/1654/5591/4067",207
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","104/5138","192/18860",0.541666666666667,1.98828986635526,8.42235869169426,2.43178218098357e-15,1.71008326927167e-12,1.38341386295954e-12,"9031/7756/8452/54908/23063/387/3796/9319/8243/10615/25978/81929/9183/22974/51433/332/23411/4605/9371/22919/128866/55125/10735/2491/8766/9639/10270/56647/9126/3837/64151/26271/8899/7272/10051/8850/51652/991/1063/10274/9928/9525/23397/81930/11130/64105/8678/54617/90417/7283/5901/55143/324/9700/10592/55755/57082/3832/1062/5925/83540/51143/1060/54892/91782/3619/9184/220134/7273/286053/701/29127/147841/84142/79884/25836/92421/5885/221150/23172/5347/81620/79003/983/55055/11065/10540/51115/83903/348654/9212/23212/1104/285331/79598/9735/4733/146909/5501/51434/9055/3833/57132/26065",104
"GO:0072594","GO:0072594","establishment of protein localization to organelle","209/5138","478/18860",0.437238493723849,1.60496652231059,8.19778610191961,3.46178984940829e-15,2.19096679569051e-12,1.77243640289704e-12,"4074/3920/5898/55750/7095/51360/23649/637/11231/23633/26262/55187/10758/29927/23534/3843/9697/23471/8692/55746/4734/1459/6720/3998/5289/5663/3842/10890/2646/2060/51194/54469/10075/57506/23409/55072/10762/51100/7494/2033/26520/6729/6789/1457/128866/8266/3839/22879/8766/6788/64089/51366/9512/11101/4591/3837/4927/7323/80273/55294/8882/23788/867/4928/57122/79158/4121/1432/1871/7957/55374/64083/9631/9555/3836/1894/868/6747/10254/22930/1386/7341/9789/25782/6950/29103/51569/51307/10434/3164/1434/8239/1026/9972/23163/51141/5469/8678/8021/23352/5189/25913/54832/60559/26061/5901/5562/8546/10526/9695/6272/10440/948/9648/55198/51028/4836/26953/23787/53371/950/5530/5830/9818/79035/675/6727/8720/9520/55204/10456/6726/51542/58477/5295/908/90678/51501/9538/6728/5903/26175/3621/9868/55027/137492/3098/9530/9478/65018/84134/11267/3099/84885/7805/5194/129401/7855/152559/131474/245711/80149/55764/8314/5580/25836/5828/51271/6850/51762/7529/4088/6730/6774/56947/727851/983/84233/1072/22885/9804/3728/137735/6731/401505/56888/3059/7485/3838/6734/754/29110/3786/26985/5071/7332/11261/7874/347/30849/23230/6262/55705/100652748/10527/131118/54741/51025/5534",209
