"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016236","GO:0016236","macroautophagy","198/5634","403/18860",0.491315136476427,1.64469355235098,8.53844501743954,2.03254630249143e-16,5.85880166185501e-13,4.59138821737246e-13,"3920/9690/51534/23376/823/54764/9821/535/23274/79142/55187/8454/9474/11178/81671/2773/55102/4943/55737/4734/1459/23503/6720/23032/7319/5289/57103/27244/5663/79876/25978/2017/55054/27102/10075/10059/10558/57192/1947/55763/55072/23256/10013/51322/23411/51100/9342/23786/10043/3162/2033/10490/9517/3091/1457/128866/115201/8767/5862/2931/6009/5599/91452/6198/55294/26235/7957/1452/8992/8723/523/200576/10254/550/51652/22930/23341/5768/149371/64121/3964/23673/8673/8987/25782/22954/9525/51569/10434/5290/9559/10133/84938/8678/83460/3791/54832/58533/529/23647/5562/57533/23111/1965/55207/29979/6885/51028/10241/8027/25934/55014/9550/9373/5861/23710/5830/25989/81631/4864/51506/245973/5899/5868/79137/9140/23092/26249/2631/526/91782/203228/90678/9538/5305/112936/143187/291/60592/528/23367/64798/10670/137492/26100/65018/11267/3099/26086/51375/7855/23001/64419/836/92421/5828/55335/8945/440026/79837/64127/154/10015/9637/4534/165324/488/55254/664/140775/54734/55432/29072/10193/29110/23545/5071/84937/7874/4077/30849/64771/160760/6714/7405/987/801/57154/2475/79065/6048/10206/7416/137886/9842/192111/29082/57132",198
"GO:0007059","GO:0007059","chromosome segregation","210/5634","434/18860",0.483870967741935,1.61977395307293,8.52542708048375,2.05460430543535e-16,5.85880166185501e-13,4.59138821737246e-13,"55732/996/9031/7756/26993/8193/10460/4361/55166/8452/54908/57492/23369/55781/55706/23063/6047/387/3796/1459/998/56852/9319/8243/55743/4292/10615/10464/25978/22924/81929/9183/6790/51433/51776/8697/6732/23411/79019/57820/4605/1457/22919/128866/81610/55125/8780/10735/2491/10664/8766/11339/9639/10270/898/56647/9126/3837/6603/64151/79080/26271/26054/8899/7272/10051/8850/1894/150465/10096/51652/10459/991/8289/10274/9928/84085/7320/9525/27030/348995/91687/56155/23397/29899/79903/11130/64105/6491/55355/8239/10426/8678/54617/90417/151648/55274/64793/9113/93323/7283/5901/55207/55143/192670/324/9700/83852/86/51759/10592/55755/57082/55142/27229/10097/79172/1062/5925/9611/23421/83540/9391/2177/11011/54892/91782/54801/3619/79980/140710/140609/79682/55835/115106/64682/8467/9184/220134/7273/286053/163786/701/9133/29127/147841/79677/56916/84142/151246/245711/55193/79884/25836/9232/92421/5885/25879/9897/23172/55839/81565/51647/84191/79003/201254/983/157570/51112/5728/8658/55055/11065/9134/55844/51115/83903/157777/9212/23212/1104/285331/79598/80254/387893/9735/157313/4733/146909/5501/51547/5359/196528/10388/51434/7405/9874/26112/283489/23137/7150/9055/79441/1654/5520/3833/29082/57132/26065/101928601",210
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","220/5634","461/18860",0.477223427331887,1.59752109326933,8.47734946156978,2.76706627606503e-16,5.85880166185501e-13,4.59138821737246e-13,"996/55904/10926/7756/8193/54443/51360/10460/637/4331/4361/6683/8554/8452/54908/23026/50484/57492/1112/8454/55781/586/6873/2255/9319/55743/4140/1739/79960/7319/8556/1785/5933/2932/5243/4998/9183/51720/6790/51433/51776/63967/8697/51322/8317/1033/994/128866/5932/28984/2935/5934/8766/4683/898/2146/54619/23560/8453/219771/5889/6198/6603/6347/55294/26271/1871/896/8899/7272/900/10111/1981/90/58480/10459/991/8289/9928/51692/5537/9525/56155/11130/1031/1017/6491/1164/1026/140901/54617/10776/1032/55274/9113/10197/26057/1022/79577/902/55143/324/79616/51347/60561/9700/91/4193/57695/55198/3364/86/55755/4609/81853/5962/57082/580/29766/1062/5530/79035/5925/8451/8720/23476/83540/2029/163859/805/54465/1956/85417/91782/3619/1111/3688/26524/1977/2059/6868/55835/143384/5884/64682/9184/9510/220134/134353/286053/163786/701/9133/26060/8450/29980/8883/57551/147841/899/84142/11073/245711/59343/55193/92421/5885/9833/8328/219736/144455/8065/6240/11170/55159/57099/84640/983/8493/51499/5569/5356/5728/8462/91607/23133/55055/9024/545/11065/149420/10106/9134/55844/79915/51379/5426/83903/9212/1104/84967/9735/4303/4582/79184/5087/1978/116224/123879/196528/51434/25959/641/79027/7027/801/23137/26058/1654/5591",220
"GO:0072594","GO:0072594","establishment of protein localization to organelle","223/5634","478/18860",0.46652719665272,1.56171510984563,8.11871256946033,3.95990296673273e-15,6.28832591117158e-12,4.92799503412608e-12,"4074/3920/5898/55750/7095/51360/23649/637/11231/23633/9765/26262/55187/10758/29927/23534/3843/9697/23471/8692/55746/602/4734/1459/6720/3998/29090/5289/5663/3320/3842/10890/2646/2060/51194/54469/10075/57506/23409/55072/10762/10013/51100/7494/2033/26520/6729/6789/1457/128866/8266/3839/22879/8766/6788/64089/51366/10469/2931/9512/5599/11101/4591/3837/4927/7323/80273/55294/8882/23788/867/4928/57122/79158/4121/1432/1871/7957/64083/9631/9555/3836/1894/868/6747/10254/22930/1386/7341/58480/9789/25782/6950/29103/51569/51307/23435/10434/1434/8239/1026/9972/79902/51141/5469/8678/23352/5189/25913/54832/60559/26061/5901/5562/8546/10526/9695/6272/10440/948/9648/55198/51028/4836/8027/26953/23787/53371/950/5530/5830/9818/79035/675/8720/9520/55204/6726/51542/58477/908/90678/9538/6728/653489/5903/26175/3621/9868/55027/137492/3098/9530/26060/9478/65018/84134/11267/3099/84885/7805/5194/79568/129401/7855/152559/131474/285521/245711/80149/55764/8314/5580/25836/5828/23514/51271/51762/7529/4088/6730/6774/56947/727851/983/5569/84233/1072/22885/9804/3728/137735/6731/401505/56888/3059/7485/3838/6734/754/29110/3786/26985/5071/7332/3840/11261/7874/347/9883/30849/23230/6262/55705/57154/84455/100652748/10527/131118/54741/5534/101928174/29082",223
"GO:0006260","GO:0006260","DNA replication","149/5634","290/18860",0.513793103448276,1.71993928488365,8.06384946480377,1.02234272286011e-14,1.29878419512149e-11,1.01782289187484e-11,"5965/10926/5980/58525/23649/4361/5981/259282/50484/5888/10721/23063/55388/64710/5423/57662/10714/79960/55218/10269/546/4998/23594/8318/27154/8317/5427/7528/51550/25939/64863/5932/9767/4683/54108/898/27000/6742/56652/23560/79991/9126/7126/8882/8099/5985/8914/25842/254394/26271/10973/51053/10111/604/54891/4999/5000/27101/51377/6418/23244/51426/466/1017/1026/2069/7270/92667/84515/54617/79733/353497/26057/5111/4678/5983/84893/1660/57695/51455/86/51008/1763/580/94/675/5428/114799/4782/10498/163859/54465/5558/253714/1956/54107/6749/1111/22944/79596/5884/8467/5937/84897/29980/8208/5928/11073/59343/5984/5001/7486/144455/9768/2021/6240/10036/7083/55159/2237/201254/983/157570/246243/91607/64318/9156/545/9134/79915/5426/253461/80010/64785/387893/64061/11124/4673/10445/57697/374393/641/79892/5557/11177/7150/647309/5591/51750",149
"GO:0006913","GO:0006913","nucleocytoplasmic transport","171/5634","350/18860",0.488571428571429,1.63550890004564,7.83259989095794,4.36208130039781e-14,3.95827720287527e-11,3.1019973638468e-11,"26993/51360/23649/23633/23279/54888/55341/10758/9877/55781/55706/65125/23534/3843/6672/8692/55746/602/4734/143684/10411/5663/3320/55437/2932/3842/2646/81929/51194/57506/10762/7494/8563/2033/5905/27351/5494/6789/55916/2332/3839/6788/51366/3837/4927/7531/8882/4928/57122/11052/1432/6428/1871/7957/8899/3313/9631/3836/1894/868/22916/1386/7341/9887/55051/348995/56943/51569/51307/23435/84248/3181/10212/1434/57510/1026/9972/79902/51141/57187/5469/79639/55795/5901/10526/948/3178/84946/4193/1660/55198/23325/11097/7295/4686/26953/51496/580/6741/53371/5530/9818/8720/9538/1977/26019/127933/3087/653489/5903/25909/3621/55027/23165/23049/26060/9478/8888/129401/55677/152559/80145/80149/5580/51808/65083/9147/259217/7529/4088/26263/6774/10768/55308/51068/727851/983/5569/10892/1072/3267/3728/5936/137735/51319/5781/3059/29072/5571/3838/754/29110/3786/11260/155435/5501/3840/11261/51547/347/9883/161424/55153/7919/55705/57154/84455/10527/643136/5534/283131",171
"GO:0051169","GO:0051169","nuclear transport","171/5634","350/18860",0.488571428571429,1.63550890004564,7.83259989095794,4.36208130039781e-14,3.95827720287527e-11,3.1019973638468e-11,"26993/51360/23649/23633/23279/54888/55341/10758/9877/55781/55706/65125/23534/3843/6672/8692/55746/602/4734/143684/10411/5663/3320/55437/2932/3842/2646/81929/51194/57506/10762/7494/8563/2033/5905/27351/5494/6789/55916/2332/3839/6788/51366/3837/4927/7531/8882/4928/57122/11052/1432/6428/1871/7957/8899/3313/9631/3836/1894/868/22916/1386/7341/9887/55051/348995/56943/51569/51307/23435/84248/3181/10212/1434/57510/1026/9972/79902/51141/57187/5469/79639/55795/5901/10526/948/3178/84946/4193/1660/55198/23325/11097/7295/4686/26953/51496/580/6741/53371/5530/9818/8720/9538/1977/26019/127933/3087/653489/5903/25909/3621/55027/23165/23049/26060/9478/8888/129401/55677/152559/80145/80149/5580/51808/65083/9147/259217/7529/4088/26263/6774/10768/55308/51068/727851/983/5569/10892/1072/3267/3728/5936/137735/51319/5781/3059/29072/5571/3838/754/29110/3786/11260/155435/5501/3840/11261/51547/347/9883/161424/55153/7919/55705/57154/84455/10527/643136/5534/283131",171
"GO:0000209","GO:0000209","protein polyubiquitination","151/5634","300/18860",0.503333333333333,1.6849248609632,7.80491295745976,6.22246492080499e-14,4.94063714711916e-11,3.87184692243247e-11,"996/23077/9690/9604/23304/8452/1161/23327/8454/23118/54542/10758/6047/865/4734/7321/55743/23291/27252/29089/7319/3093/83737/4779/57531/10075/57542/51433/55072/117584/10013/8697/54941/331/51283/8767/4683/3551/51366/8887/54926/11101/80351/26001/7531/7323/10612/329/9354/867/23328/9025/56940/4012/7337/9616/90025/7320/22954/9870/7706/8405/117854/55905/23352/6049/10277/7322/84231/85363/5562/7326/7174/4193/149041/64844/9373/9656/580/91445/91947/9520/23219/55016/10299/64839/81545/26249/257218/6872/90678/89910/64682/9320/29761/25921/54778/8450/267/55585/84447/165918/54726/285671/140456/220972/89890/8945/8065/54765/64400/26263/64127/7336/81844/7532/10477/7324/84640/25948/81603/8658/200933/11065/246184/56888/220441/55884/7334/1728/29072/10193/80254/4303/7327/5071/7332/84937/80829/5478/51434/57162/10210/54708/57154/51465/6048/134111/1654/652968/7335",151
"GO:0034504","GO:0034504","protein localization to nucleus","167/5634","345/18860",0.484057971014493,1.62039995266832,7.59054462343794,2.3918417827108e-13,1.68810877819767e-10,1.32292629127946e-10,"51360/23649/25937/23633/1495/10758/55726/23534/10347/3843/6672/8692/25885/55746/602/7037/10979/4140/143684/1906/5663/3320/2932/3842/2646/51194/57506/57192/114882/10762/7494/25777/2033/5905/6789/3839/23568/6788/51366/10430/1855/5532/3837/4927/7531/7704/8882/4928/57122/1432/1871/7957/705/4001/9631/3836/1894/868/200576/1386/7341/64121/55127/6950/51569/51307/23435/1434/1026/9972/79902/51141/5469/9113/5901/5562/9201/10526/10542/948/10574/4193/2752/55198/6426/7295/27348/1861/26953/129685/580/5910/53371/5530/9818/8720/3454/3068/26092/908/9258/9538/26524/22948/3087/653489/5903/3621/84897/55027/10694/26060/9478/23515/3716/129401/152559/7203/85443/80149/5580/7534/7486/83860/10576/7529/4088/6774/51068/727851/163590/983/26108/5569/81603/5356/1072/3728/137735/51574/51341/23212/3059/3838/754/29110/3786/6612/3840/4771/11261/10445/347/9883/64771/6714/84154/10210/55035/23607/55705/2475/84455/10527/255919/96459/5534",167
"GO:0010506","GO:0010506","regulation of autophagy","178/5634","377/18860",0.472148541114058,1.5805327450144,7.4312976540928,6.50286822465071e-13,4.13062189629813e-10,3.23705935098665e-10,"5286/23376/823/9821/58528/535/23274/79142/55187/5291/8454/23118/9474/8975/65125/11178/2773/6093/4943/55737/4734/1459/6720/23032/7107/7319/5289/57103/27244/11043/2932/10269/2017/55054/27102/10075/10059/10558/55763/55072/23256/10013/51322/23411/25/51100/9681/7494/10043/3162/2033/9517/3091/1457/5127/9100/8140/4210/84148/8767/66036/2931/4233/6009/5599/219771/6198/55294/1982/26235/7957/373/1452/8992/8723/523/1981/22930/9528/5768/149371/64121/22926/2309/25782/22954/148/10434/5290/55847/9559/10133/8678/23352/3791/54832/58533/23677/529/5562/57533/7428/29979/6885/55332/10241/3586/9550/25989/29919/4864/3607/27/4170/245973/5899/493856/9140/11011/526/92140/203228/90678/140710/5305/2308/112936/291/60592/528/23367/64798/10670/128338/6103/257397/65018/3099/26086/51375/7855/3428/80149/55255/836/8945/79837/2021/64127/6774/5604/154/9637/4534/81603/598/55254/664/220441/140775/340485/151176/29072/10193/29110/23545/5071/7874/3146/30849/160760/7405/2475/25853/6048/10206/7416/80772",178
