"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007409","GO:0007409","axonogenesis","158/4190","472/18860",0.334745762711864,1.50675539015412,5.95872596807961,8.69033726049009e-09,2.52404019717238e-05,2.16985934112201e-05,"51330/2115/51265/1951/2534/3730/7869/1272/65078/2042/5588/1496/2263/4756/2736/4854/5063/5794/54437/9706/57556/7042/8829/10857/4168/79006/333/1954/5864/5803/2737/2625/6387/219699/9211/1949/113246/5754/9037/3676/85440/9890/3925/8828/63923/1959/4693/5605/64919/6608/1123/2258/55201/3996/4147/51761/4628/2048/4853/2045/10505/10154/6812/84665/144165/1009/494470/55811/56956/10500/152330/91653/9353/2044/2676/26230/4915/256158/4851/57689/5058/9638/85449/1909/56978/223117/7070/64221/5578/7345/55740/140578/118813/7074/26053/4882/8997/6285/57731/84446/374946/22854/4009/80128/23114/323/123016/5979/55701/4130/57611/11280/2668/54910/5881/6091/4135/2596/3913/682/1267/29882/627/57453/8408/139065/220202/575/8633/2131/1436/2049/22906/4692/9241/6586/1946/84189/4753/6092/23768/10507/5649/25894/64218/54413/84628/51466/23654/8831/26037/23303/4914/51062/2664/64283/115557/11344",158
"GO:0060348","GO:0060348","bone development","86/4190","220/18860",0.390909090909091,1.75955738771968,6.05620076053972,1.05154733788688e-08,2.52404019717238e-05,2.16985934112201e-05,"56603/7305/4057/3479/4653/2263/2261/57560/2121/7289/4208/2778/5358/54/55512/7040/1954/1311/6424/2737/4969/2648/1277/7468/51715/5191/4015/27086/2677/60676/3953/8111/63923/7291/860/652/6662/10234/5914/23508/4853/80263/7020/23213/4664/10516/1291/1893/56034/6715/871/2132/654/4325/8817/51738/124565/4882/4041/9249/158326/2200/8642/4665/26585/79001/4054/1281/7059/11214/5916/54796/162466/84314/2131/633/338773/359845/5600/10507/344901/6261/5154/1305/645811/632",86
"GO:0030198","GO:0030198","extracellular matrix organization","118/4190","331/18860",0.356495468277946,1.60465501950407,5.93125988464478,1.35894367880829e-08,2.52404019717238e-05,2.16985934112201e-05,"64386/23187/23332/6624/4791/2192/8516/2191/4313/64147/8425/151887/1215/7042/7093/1511/89932/4318/55612/4324/3038/55512/2068/333/7040/1311/3249/165/7046/1842/81621/1277/1303/64094/4015/4358/84695/7045/2331/8434/6662/4016/1289/10585/2670/10266/4147/10631/4629/4017/23213/140766/11107/144165/4060/10516/10609/60681/1291/81794/1805/83872/1513/90102/171019/137902/4851/2620/871/63894/101/25890/4325/9508/57188/4643/861/146206/11093/25903/57326/323/133584/1278/4239/26585/10653/7148/1281/84168/10491/1296/10218/3913/7177/30008/92949/64856/100287171/2131/2621/7490/23768/169611/339366/79875/7373/8510/4763/81031/9719/4326/23127/1302/780/131873/84627/7124",118
"GO:0043062","GO:0043062","extracellular structure organization","118/4190","332/18860",0.355421686746988,1.59982172125255,5.89288877891237,1.65259575725208e-08,2.52404019717238e-05,2.16985934112201e-05,"64386/23187/23332/6624/4791/2192/8516/2191/4313/64147/8425/151887/1215/7042/7093/1511/89932/4318/55612/4324/3038/55512/2068/333/7040/1311/3249/165/7046/1842/81621/1277/1303/64094/4015/4358/84695/7045/2331/8434/6662/4016/1289/10585/2670/10266/4147/10631/4629/4017/23213/140766/11107/144165/4060/10516/10609/60681/1291/81794/1805/83872/1513/90102/171019/137902/4851/2620/871/63894/101/25890/4325/9508/57188/4643/861/146206/11093/25903/57326/323/133584/1278/4239/26585/10653/7148/1281/84168/10491/1296/10218/3913/7177/30008/92949/64856/100287171/2131/2621/7490/23768/169611/339366/79875/7373/8510/4763/81031/9719/4326/23127/1302/780/131873/84627/7124",118
"GO:0045229","GO:0045229","external encapsulating structure organization","118/4190","333/18860",0.354354354354354,1.59501745181936,5.85464483905696,2.00639125371414e-08,2.52404019717238e-05,2.16985934112201e-05,"64386/23187/23332/6624/4791/2192/8516/2191/4313/64147/8425/151887/1215/7042/7093/1511/89932/4318/55612/4324/3038/55512/2068/333/7040/1311/3249/165/7046/1842/81621/1277/1303/64094/4015/4358/84695/7045/2331/8434/6662/4016/1289/10585/2670/10266/4147/10631/4629/4017/23213/140766/11107/144165/4060/10516/10609/60681/1291/81794/1805/83872/1513/90102/171019/137902/4851/2620/871/63894/101/25890/4325/9508/57188/4643/861/146206/11093/25903/57326/323/133584/1278/4239/26585/10653/7148/1281/84168/10491/1296/10218/3913/7177/30008/92949/64856/100287171/2131/2621/7490/23768/169611/339366/79875/7373/8510/4763/81031/9719/4326/23127/1302/780/131873/84627/7124",118
"GO:0051056","GO:0051056","regulation of small GTPase mediated signal transduction","112/4190","314/18860",0.356687898089172,1.60552118328444,5.78256232108873,3.04502305857179e-08,3.19219917306943e-05,2.74426025471636e-05,"9265/3479/50619/4653/79567/65078/80243/5662/50937/9170/25791/55843/79822/7042/8829/8216/27128/23616/27352/55738/4168/2245/7249/23370/64926/85360/9266/54922/23094/10156/9750/57221/9181/85440/9927/3925/335/440073/84078/154796/1236/26030/89846/1123/58504/84952/57572/23229/2048/4853/9290/55619/50649/10253/64759/9649/84253/408/10144/9922/285282/9353/84249/26230/80728/4851/84033/152273/7074/26053/8997/7410/8878/9938/50650/117289/55701/79933/1281/6091/11214/57449/10125/10276/253980/392/64787/23526/2149/202243/22821/116985/81848/10507/5649/25894/9901/4763/8831/50861/26037/56882/4914/22899/23636/84986/6494/1454/30851/64283/5863/115557",112
"GO:0060271","GO:0060271","cilium assembly","138/4190","408/18860",0.338235294117647,1.52246244559876,5.7018360090756,3.70805657372539e-08,3.3319536926761e-05,2.86440400289133e-05,"51364/80199/54903/30845/79645/8481/4134/57545/51474/10806/9696/84217/57560/29105/25930/7419/11158/11159/51668/51314/5990/8655/26074/25776/25809/11020/51098/29070/23059/23322/93233/79846/26261/95681/9148/27077/90410/83871/22897/57562/5992/22858/51715/8382/25981/84173/49856/9480/80127/112752/159686/84902/84080/1769/583/64518/65999/64792/79363/22873/57639/80210/4957/79969/85462/4750/51626/317662/55329/144165/85478/585/2622/22994/207/51057/79582/51256/107080638/221322/55262/2934/56623/4851/54970/79925/65062/118491/54768/199221/56683/9114/79140/755/221908/197335/200373/129880/7802/27152/54919/123016/11092/90522/352909/4735/79867/55130/116840/220136/257236/51134/201625/26259/375189/283232/79874/63917/84314/79738/225689/126075/89876/146754/8558/51259/9742/144535/85302/80217/80184/9851/83538/79583/255758/26140/116143/161582",138
"GO:0007411","GO:0007411","axon guidance","91/4190","243/18860",0.374485596707819,1.68563206537219,5.74897860681941,4.50078801209297e-08,3.5387445745081e-05,3.04217737080547e-05,"2115/1951/2534/3730/7869/1272/2042/5588/4756/2736/4854/5794/54437/9706/57556/7042/8829/10857/1954/2737/2625/6387/219699/9211/1949/5754/9037/8828/1959/4693/64919/6608/1123/4147/4628/2048/4853/2045/10505/84665/494470/56956/10500/152330/91653/9353/2044/2676/256158/4851/9638/85449/1909/223117/64221/55740/8997/374946/4009/23114/323/123016/5979/55701/2668/54910/5881/6091/2596/3913/682/627/57453/220202/8633/2131/1436/2049/9241/6586/1946/4753/6092/23768/10507/5649/25894/64218/51466/4914/115557",91
"GO:0097485","GO:0097485","neuron projection guidance","91/4190","244/18860",0.372950819672131,1.67872373723542,5.70290386993097,5.62857508753622e-08,3.93374858895587e-05,3.38175324265188e-05,"2115/1951/2534/3730/7869/1272/2042/5588/4756/2736/4854/5794/54437/9706/57556/7042/8829/10857/1954/2737/2625/6387/219699/9211/1949/5754/9037/8828/1959/4693/64919/6608/1123/4147/4628/2048/4853/2045/10505/84665/494470/56956/10500/152330/91653/9353/2044/2676/256158/4851/9638/85449/1909/223117/64221/55740/8997/374946/4009/23114/323/123016/5979/55701/2668/54910/5881/6091/2596/3913/682/627/57453/220202/8633/2131/1436/2049/9241/6586/1946/4753/6092/23768/10507/5649/25894/64218/51466/4914/115557",91
"GO:0044782","GO:0044782","cilium organization","145/4190","441/18860",0.328798185941043,1.47998419733844,5.45085331116896,1.22736871433552e-07,7.34454756853117e-05,6.31393872639019e-05,"51364/80199/54903/30845/440193/79645/8481/4134/57545/51474/10806/9696/84217/57560/29105/25930/7419/11158/11159/51668/51314/5990/8655/26074/25776/25809/11020/51098/29070/23059/23322/93233/79846/26261/95681/9148/27077/90410/83871/22897/57562/5992/22858/51715/8382/25981/84173/49856/5311/9480/80127/112752/159686/84902/84080/1769/583/64518/65999/64792/79363/22873/57639/80210/4957/79969/85462/4750/54839/51626/317662/55329/144165/85478/585/2622/22994/207/51057/79582/51256/107080638/221322/55262/84131/2934/56623/4851/79096/54970/79925/65062/118491/145483/54768/199221/56683/9114/79140/755/221908/197335/200373/129880/7802/27152/54919/123016/11092/90522/352909/4735/79867/55130/116840/220136/257236/51134/201625/26259/375189/283232/79874/63917/84314/79738/225689/126075/89876/146754/8558/51259/9742/144535/85302/124602/80217/80184/9851/83538/79583/255758/26140/116143/161582",145
