"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060271","GO:0060271","cilium assembly","151/4500","408/18860",0.370098039215686,1.5511220043573,6.30005697415766,1.31733845018243e-09,4.72506891278926e-06,4.20427067910535e-06,"51364/57787/80199/10233/54903/30845/8100/79645/8481/4134/57545/51474/10806/9696/84217/57560/29105/25930/7419/11158/11159/51668/51314/5990/8655/26074/9727/25776/25809/11020/79734/51098/29070/23059/23322/93233/79846/26261/95681/9148/27077/90410/83871/22897/57562/22858/51715/8382/27031/25981/49856/57821/56912/84071/89891/9480/80127/112752/26123/159686/84902/84080/1769/583/64518/65999/64792/25814/79363/22873/57639/80210/4957/79969/4750/51626/317662/55329/144165/85478/2622/90506/55036/22994/207/51057/79582/51256/107080638/221322/55262/2934/56623/4851/54970/80071/79925/65062/118491/54768/199221/56683/9114/755/221908/197335/200373/129880/7802/27152/54919/123016/11092/4218/352909/4735/79867/55130/116840/220136/257236/51134/201625/26259/375189/283232/79874/63917/84314/79738/225689/126075/89876/146754/8558/51259/9742/144535/85302/150737/2316/80217/115948/80184/9851/83538/79583/255758/26140/116143/161582",151
"GO:0050851","GO:0050851","antigen receptor-mediated signaling pathway","91/4500","215/18860",0.423255813953488,1.77391214470284,6.38878194076638,1.50952067564566e-09,4.72506891278926e-06,4.20427067910535e-06,"2534/933/11119/26228/9564/29085/2213/4208/5788/2533/29760/4792/84174/4773/25865/6461/2625/9404/975/10384/3702/27086/7535/2633/6794/10657/54900/5335/10385/10616/1236/23149/3958/84106/9840/7006/971/123920/8631/8525/6188/10666/925/7070/931/121665/53347/23308/917/115352/50852/4332/1493/114625/915/784/84807/3635/148823/5293/926/89857/387357/257144/3265/940/3119/785/3932/4068/5142/10572/11118/3123/5336/84433/919/916/150771/54923/3105/6966/28638/3494/3501/3493/3500/27040/3115/6967/150372",91
"GO:0044782","GO:0044782","cilium organization","160/4500","441/18860",0.36281179138322,1.52058453010834,6.192498303559,2.24007691819971e-09,4.72506891278926e-06,4.20427067910535e-06,"51364/57787/80199/10233/54903/30845/440193/8100/79645/8481/4134/57545/51474/10806/9696/84217/57560/29105/25930/7419/11158/11159/51668/51314/5990/8655/26074/9727/25776/25809/11020/79734/51098/29070/23059/23322/93233/79846/26261/95681/9148/27077/90410/83871/22897/57562/22858/51715/8382/27031/25981/49856/57821/56912/84071/5311/89891/9480/80127/112752/26123/159686/84902/84080/1769/583/64518/65999/64792/25814/79363/22873/57639/80210/4957/79969/4750/54839/51626/317662/55329/144165/85478/2622/90506/55036/22994/207/51057/79582/51256/107080638/221322/55262/84131/2934/56623/4851/79096/54970/80071/79925/65062/118491/145483/54768/150082/199221/56683/9114/755/221908/197335/200373/129880/7802/27152/54919/123016/11092/4218/352909/4735/79867/55130/116840/220136/257236/51134/201625/26259/375189/283232/79874/63917/84314/79738/225689/126075/89876/146754/8558/51259/9742/144535/85302/27341/150737/2316/92104/80217/115948/80184/9851/83538/79583/255758/26140/116143/161582",160
"GO:0045229","GO:0045229","external encapsulating structure organization","126/4500","333/18860",0.378378378378378,1.58582582582583,6.03776835129807,6.60009272972256e-09,1.04413466984211e-05,9.29049895033842e-06,"23187/23332/59277/6624/4791/2192/8516/2191/4313/64147/8425/151887/1215/7051/7042/7093/1511/89932/55612/4324/3038/55512/2068/333/7040/1311/3249/8985/165/1842/9806/81621/1277/7448/1303/64094/27031/4358/84695/7045/2331/8434/10549/4035/650/4016/1289/10585/2670/10266/4147/10631/4629/4017/183/23213/140766/11107/144165/4060/10516/170691/60681/1291/81794/3491/1805/83872/1513/90102/171019/137902/4851/2620/283208/63894/101/25890/4325/57188/4643/861/146206/11093/25903/57326/133584/1278/4239/26585/10653/7148/1281/84168/10491/1296/10218/3913/7177/30008/2303/60626/92949/64856/79147/2131/2621/7490/23768/169611/339366/79875/7373/8510/4763/81031/9719/4326/64093/23127/1302/780/131873/407019/84627/7124",126
"GO:0030198","GO:0030198","extracellular matrix organization","125/4500","331/18860",0.377643504531722,1.58274588788184,5.98763875983421,8.65875385609182e-09,1.09585188802698e-05,9.75066828973371e-06,"23187/23332/59277/6624/4791/2192/8516/2191/4313/64147/8425/151887/1215/7042/7093/1511/89932/55612/4324/3038/55512/2068/333/7040/1311/3249/8985/165/1842/9806/81621/1277/7448/1303/64094/27031/4358/84695/7045/2331/8434/10549/4035/650/4016/1289/10585/2670/10266/4147/10631/4629/4017/183/23213/140766/11107/144165/4060/10516/170691/60681/1291/81794/3491/1805/83872/1513/90102/171019/137902/4851/2620/283208/63894/101/25890/4325/57188/4643/861/146206/11093/25903/57326/133584/1278/4239/26585/10653/7148/1281/84168/10491/1296/10218/3913/7177/30008/2303/60626/92949/64856/79147/2131/2621/7490/23768/169611/339366/79875/7373/8510/4763/81031/9719/4326/64093/23127/1302/780/131873/407019/84627/7124",125
"GO:0043062","GO:0043062","extracellular structure organization","125/4500","332/18860",0.376506024096386,1.57797858099063,5.94777981150811,1.06597053301878e-08,1.12424358882381e-05,1.00032918966973e-05,"23187/23332/59277/6624/4791/2192/8516/2191/4313/64147/8425/151887/1215/7042/7093/1511/89932/55612/4324/3038/55512/2068/333/7040/1311/3249/8985/165/1842/9806/81621/1277/7448/1303/64094/27031/4358/84695/7045/2331/8434/10549/4035/650/4016/1289/10585/2670/10266/4147/10631/4629/4017/183/23213/140766/11107/144165/4060/10516/170691/60681/1291/81794/3491/1805/83872/1513/90102/171019/137902/4851/2620/283208/63894/101/25890/4325/57188/4643/861/146206/11093/25903/57326/133584/1278/4239/26585/10653/7148/1281/84168/10491/1296/10218/3913/7177/30008/2303/60626/92949/64856/79147/2131/2621/7490/23768/169611/339366/79875/7373/8510/4763/81031/9719/4326/64093/23127/1302/780/131873/407019/84627/7124",125
"GO:0050852","GO:0050852","T cell receptor signaling pathway","68/4500","153/18860",0.444444444444444,1.86271604938272,5.99790920069991,1.66510679221036e-08,1.50525654015816e-05,1.33934680173431e-05,"2534/11119/9564/29085/5788/2533/84174/25865/6461/2625/975/10384/3702/7535/2633/6794/10657/5335/10385/10616/1236/23149/3958/84106/9840/7006/8631/8525/6188/10666/925/7070/121665/53347/23308/917/50852/1493/114625/915/784/84807/3635/5293/926/387357/3265/940/3119/785/3932/4068/5142/10572/11118/3123/5336/84433/919/916/150771/54923/3105/6966/28638/27040/3115/6967",68
"GO:0060348","GO:0060348","bone development","89/4500","220/18860",0.404545454545455,1.69549494949495,5.80859015201623,3.09441750739785e-08,2.4476842483517e-05,2.17789990093041e-05,"56603/7305/3479/4653/2263/2261/57560/537/2121/7289/4208/5788/2778/2734/5358/54/55512/7040/1954/1311/6424/2737/4969/2648/1277/7468/51715/5191/2690/27086/60676/3953/8111/4488/63923/7291/860/652/650/10234/5914/23508/4853/80263/7020/23213/4664/10516/7157/1291/1893/56034/6715/84895/2132/654/79705/4325/8817/51738/124565/4041/9249/158326/2200/8642/4665/26585/79001/6137/4054/1281/7059/11214/79095/5916/54796/162466/144347/100533183/84314/2131/633/338773/6261/5154/1305/645811/632",89
"GO:0007409","GO:0007409","axonogenesis","162/4500","472/18860",0.343220338983051,1.43847457627119,5.40053190397909,1.35396821643227e-07,9.5199009706482e-05,8.47061519262712e-05,"23129/51330/2115/51265/1951/2534/3730/7869/65078/2042/5588/1496/2263/4756/2736/4854/59277/9620/5063/54437/334/57556/7042/8829/51199/10857/79006/333/1954/5803/2737/2625/6387/219699/9211/1949/113246/5754/9037/6152/3676/85440/9890/3925/6794/8828/63923/1959/4693/64919/6608/1123/2258/55201/55558/3996/4147/4628/2048/4853/2045/10505/10154/6812/84665/144165/1009/494470/55811/56956/10500/151449/152330/91653/9353/2676/26230/4781/4915/256158/4851/57689/5058/9638/85449/1909/56978/223117/7070/64221/5578/7345/55740/140578/118813/7074/26053/8997/57731/84446/374946/22854/4009/80128/23114/107/1020/123016/5979/55701/4218/11280/2668/54910/6091/4135/2596/3913/682/29882/627/8851/57453/8408/139065/220202/575/8633/2131/1436/2049/22906/4692/9241/71/6586/1946/84189/4753/6092/23768/5649/25894/79633/64218/54413/84628/51466/23654/728378/8831/26037/23303/6277/3792/4914/51062/2664/64283/91584/115557/11344",162
"GO:0050863","GO:0050863","regulation of T cell activation","141/4500","404/18860",0.349009900990099,1.46273927392739,5.26316056994848,2.90501609952607e-07,0.00018382941877801,0.000163567695961736,"8379/56603/920/2534/923/3479/972/864/639/10077/5588/6605/30009/2736/6595/6932/5788/6604/3902/30835/1725/3717/3594/84861/3956/1511/959/10673/5595/3574/259307/64926/7040/7297/10467/2737/6461/2625/2648/5573/1949/56253/921/4192/55626/975/969/51561/8078/9750/9308/7535/84695/3485/914/23240/9479/54900/10385/6659/652/3553/1236/5880/57045/23149/3620/5914/3958/6441/9840/10457/3142/6366/27240/3662/51176/939/8477/207/387597/11221/3561/2796/1029/6935/6188/101/814/7070/8764/861/23308/7412/114548/1493/29851/29117/3481/84807/7001/399/3575/3592/3965/654346/7480/5293/10125/10524/6599/9092/940/3119/1960/23513/201633/3932/151888/3123/3117/961/6693/140885/84433/3127/916/3111/3108/3122/177/3133/3105/27040/11277/3115/3113/3120/3118/3112/3109",141
