"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098687","GO:0098687","chromosomal region","198/5343","413/19944",0.479418886198547,1.78954337756763,9.80810964586054,1.48557580130705e-20,1.13052318479466e-17,7.75626944682416e-18,"55732/23028/5048/9031/7756/4361/23279/55166/54908/5431/5888/23063/5424/5525/55746/8243/60/10615/5527/7520/55183/5663/23047/25978/546/81929/4998/9183/6790/332/9878/26277/23411/24144/79019/25777/8563/4174/5905/328/9770/128866/6839/10735/2491/10664/4683/54108/5516/84444/2146/23081/23064/80351/79991/9126/6603/64151/4928/10635/57122/1108/8899/7272/10111/9555/1452/10051/8850/51652/4999/5000/991/1063/10274/64858/3070/348995/91687/81930/23244/55791/11335/3181/11130/64105/1017/55355/8970/57187/25913/8520/90417/25983/7011/151648/55274/6249/1786/7153/5111/51164/84250/79577/55143/324/55226/86/51759/57082/79172/1763/6741/1062/79035/6601/675/23421/83540/23219/51143/1060/113130/91782/115426/54107/3619/1111/79980/79682/253635/5884/25909/9184/220134/84295/286053/701/1780/147841/5928/79677/151246/80145/245711/55193/80335/92421/5885/6990/7486/221150/119504/55839/81565/201161/84516/5347/81620/79003/2237/25942/7798/201254/983/11016/157570/51112/27085/1051/64859/3981/55055/170506/545/10540/9793/9212/375748/26039/9735/6612/5813/5501/10445/196528/10388/641/5253/121504/7405/11177/23137/387103/5500/5591/57132/51750",198
"GO:0000793","GO:0000793","condensed chromosome","146/5343","288/19944",0.506944444444444,1.89228897623058,9.2267920109324,3.39096047049796e-18,1.29026045902447e-15,8.85219154403678e-16,"55732/5048/9031/7756/23279/55166/54908/5888/55746/8243/60/4292/10615/55183/5663/25978/546/81929/9183/6790/332/79019/25777/5905/57820/9770/128866/6839/2491/10664/10270/9126/6603/64151/4928/57122/8899/7272/5810/10111/9555/1452/10051/8850/51652/4999/991/1063/27030/348995/91687/23397/81930/11335/11130/64105/1017/55355/192669/90417/151648/55274/6249/7283/7153/51164/84250/324/3364/86/10592/57082/79172/10128/1062/6601/675/23476/23421/83540/23219/2177/51143/1060/54892/91782/4288/3619/1111/79980/144715/79682/253635/25909/9184/220134/84365/7273/84295/286053/701/1780/147841/79677/151246/11073/55193/92421/5885/6990/65083/221150/119504/55839/81565/201161/84516/5347/81620/79003/25942/201254/51112/27085/1051/3981/55055/10540/9793/9212/23212/1104/26039/9735/6612/5501/10445/196528/3146/10388/641/5253/23137/387103/57132/101928601",146
"GO:0000775","GO:0000775","chromosome, centromeric region","137/5343","267/19944",0.51310861423221,1.91529818496111,9.10825792335975,9.79254563201677e-18,2.48404240865492e-15,1.70424653806327e-15,"55732/5048/9031/7756/23279/55166/54908/23063/5525/55746/8243/60/10615/5527/5663/23047/25978/546/81929/9183/6790/332/79019/5905/9770/128866/6839/10735/2491/10664/54108/5516/2146/23081/9126/6603/64151/4928/57122/8899/7272/9555/1452/10051/8850/51652/4999/991/1063/10274/3070/348995/91687/81930/23244/11335/11130/64105/55355/8970/90417/25983/151648/55274/6249/1786/7153/51164/55143/324/86/51759/57082/79172/1062/6601/23421/83540/23219/51143/1060/113130/91782/115426/54107/3619/79980/79682/253635/25909/9184/220134/84295/701/1780/147841/79677/151246/55193/92421/5885/6990/221150/119504/55839/81565/201161/84516/5347/81620/79003/25942/7798/201254/157570/51112/27085/1051/55055/10540/9793/9212/375748/26039/9735/6612/5501/10445/196528/10388/5253/121504/7405/11177/23137/387103/57132",137
"GO:0000779","GO:0000779","condensed chromosome, centromeric region","101/5343","187/19944",0.540106951871658,2.01607580912003,8.4446751217271,2.45497224698802e-15,4.6705846998947e-13,3.20438482764752e-13,"55732/5048/7756/23279/55166/54908/55746/8243/60/10615/5663/25978/546/81929/9183/6790/332/79019/5905/9770/128866/2491/6603/64151/4928/57122/8899/7272/1452/8850/51652/4999/991/1063/348995/91687/81930/11335/11130/64105/55355/90417/151648/55274/6249/51164/324/86/57082/79172/1062/6601/23421/83540/23219/51143/1060/91782/3619/79980/79682/253635/25909/9184/220134/84295/701/1780/147841/151246/55193/92421/6990/221150/119504/55839/81565/201161/84516/5347/81620/79003/25942/201254/51112/27085/1051/55055/10540/9793/9212/26039/9735/6612/5501/10445/196528/10388/5253/387103/57132",101
"GO:0000776","GO:0000776","kinetochore","96/5343","175/19944",0.548571428571429,2.04767145263496,8.42070232437806,3.21277980839964e-15,4.88985086838425e-13,3.35481849466573e-13,"55732/5048/7756/23279/55166/54908/55746/8243/60/10615/5663/25978/81929/9183/6790/332/79019/5905/9770/128866/2491/6603/4928/57122/8899/7272/1452/8850/51652/4999/991/1063/348995/91687/81930/11130/64105/55355/90417/151648/55274/6249/51164/324/86/57082/79172/1062/6601/23421/83540/23219/51143/1060/91782/3619/79980/79682/253635/25909/9184/220134/84295/701/1780/147841/151246/55193/92421/6990/221150/119504/55839/81565/201161/84516/5347/81620/79003/25942/201254/51112/27085/55055/10540/9793/9212/26039/9735/6612/5501/10445/196528/5253/387103/57132",96
"GO:0001726","GO:0001726","ruffle","96/5343","189/19944",0.507936507936508,1.89599208577311,7.48674583919076,1.61470307650875e-12,2.04798173537193e-10,1.40507495780411e-10,"2268/57679/6792/51177/10787/10347/5141/387/6093/10235/55616/54822/7430/25/4650/11252/4210/26258/66036/23242/23189/59338/9368/11275/1182/23603/9847/23286/23527/57669/81930/57403/29993/83543/5420/4289/90417/23022/51429/6249/9026/1729/23647/51763/92154/324/55198/3936/5879/28988/7099/7094/5962/3685/121512/9107/8826/2064/5868/5921/221472/1956/526/5795/3688/114609/5756/2059/6868/64092/10163/117145/3678/388325/10630/64419/10395/11170/255189/9788/4534/1072/1464/10458/91663/55785/221178/4771/6714/4644/4641/23607/79574/10324/4830/3690",96
"GO:0030684","GO:0030684","preribosome","60/5343","104/19944",0.576923076923077,2.15350062626873,7.13444512041076,2.89424399046835e-11,3.1464566810663e-09,2.15871431469519e-09,"51096/51154/51602/55781/10885/30836/51018/7520/27292/8602/8780/117246/6207/11103/6206/705/84128/79954/56902/80135/10969/55127/27340/10199/88745/83732/25983/57050/51388/54663/6210/134430/55226/84946/92856/6229/55759/84916/28987/6189/84294/22984/57647/153443/23076/23160/84135/10412/25879/65083/9790/5394/6201/90441/23212/51118/161424/84549/51406/5591",60
"GO:0031965","GO:0031965","nuclear membrane","140/5343","326/19944",0.429447852760736,1.60301478110801,6.64057863613325,1.66661345260069e-10,1.5853660467864e-08,1.08768456906571e-08,"952/5048/51096/240/9782/6683/9821/51230/27067/54884/23224/23369/23200/55706/6676/3843/10885/55746/26031/2023/5108/29843/55183/5663/11342/10269/55787/8315/114882/10762/55151/3710/23411/25/6523/25777/5905/113278/10430/27000/23560/3837/6945/27346/4928/57122/4001/5144/9631/7341/8934/9330/7112/148/10434/11335/3164/200232/9972/56255/79639/821/8089/6049/23108/26057/241/6272/10390/23175/3601/1910/55852/83990/55627/64215/27348/1861/11270/6386/10128/53371/9818/26092/10456/3930/9589/1956/64418/10682/92140/203228/10280/6836/54788/9538/57647/5903/25909/221264/23165/8888/148362/129401/23001/59343/55764/79982/23588/83860/26012/79789/201161/84516/4088/163590/147/79188/598/5356/1717/23133/23592/79647/161176/84823/30832/51649/3838/163087/83699/2869/9722/55219/255919/388799/1192/10597/51750/7767",140
"GO:0005819","GO:0005819","spindle","182/5343","452/19944",0.402654867256637,1.50300368193269,6.54347897552128,2.2307643988047e-10,1.73684211971927e-08,1.19160895135315e-08,"55732/996/5048/7756/1663/10928/6683/8452/54908/395/65125/23063/2009/7813/3796/5423/998/6196/8243/3161/80216/10615/8556/55183/25978/9183/51637/57542/6790/22974/51433/55614/332/54930/8317/5594/23170/5905/994/9371/22919/128866/10735/143/84056/23568/8766/79848/5516/10382/56647/9126/4739/26271/1432/7803/55856/7272/1452/55171/7029/8850/1894/150465/51652/57448/9731/991/1810/1063/10274/9928/9525/81930/29899/311/11335/10426/8409/55112/54617/90417/57509/151648/9113/7283/1729/51164/7178/4064/55207/79768/55143/9700/9857/79866/55755/4609/7280/84259/23005/55142/27229/3832/403/9585/1062/282809/121441/5925/663/9611/1213/10899/9391/51143/166378/91782/54801/3619/79980/26524/140609/115106/220134/64210/701/1780/150275/29127/9903/79677/84541/11073/25886/79884/92421/5885/6990/3636/221150/23172/85459/79101/81565/201161/5347/79003/154/150468/7798/84140/983/79801/11076/55055/9793/84617/51115/83903/9212/285331/51335/80254/9735/79184/146909/10445/10383/203068/11091/51434/10210/26112/801/9055/79441/137886/3833/57553/57132/26065",182
"GO:0016607","GO:0016607","nuclear speck","175/5343","431/19944",0.406032482598608,1.51561142297336,6.54629653715865,2.28231553182559e-10,1.73684211971927e-08,1.19160895135315e-08,"55904/83932/9774/8554/23517/5601/9967/9877/8621/9759/23198/27332/11176/143684/79960/55604/79728/7994/102157402/80271/54439/55105/51322/6732/988/24144/11252/84844/3091/79882/55671/328/6729/4776/80343/79719/64397/8178/10135/26959/79872/1655/9343/1665/7704/283383/1432/6428/26235/8899/10915/1452/10051/23451/2034/7341/6429/9295/5511/6446/54942/58517/55051/10285/348995/11193/8405/55269/84248/9904/10212/23091/3164/64344/6239/57187/84081/468/8930/151648/4301/6627/5562/51371/6733/27097/6426/9128/51008/580/9360/23067/6938/49855/79068/8535/4152/64326/8444/163859/54465/8446/5433/85403/64332/55840/2966/728340/9879/9589/54892/4841/51501/51503/1977/9425/9320/140890/1859/9507/6651/5681/7307/9794/79677/204851/80145/57018/28999/4338/10569/7486/3636/8559/144455/8539/322/219988/51755/23524/11170/51362/84913/8988/80196/5356/64318/5936/51319/170506/10472/5062/8204/6657/5324/4303/54033/5071/10933/5501/2057/51547/10772/339287/55660/64771/10210/9646/29883/2869/57713/23137/6046/51750/8926",175
