"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031012","GO:0031012","extracellular matrix","192/4434","496/19944",0.387096774193548,1.74114976646733,8.9370982327134,3.84516477219576e-17,1.88117928606778e-14,1.66997638972075e-14,"64386/3730/7869/7077/1462/1298/4052/10319/954/2155/2192/1307/2219/7481/43/4313/8425/3383/55214/22798/151887/1215/1299/7042/3956/1511/89932/4318/1522/25878/4324/6422/333/7040/1311/5803/5118/5919/165/4969/54829/1842/6387/81621/3959/1277/3263/4192/4256/1303/1297/64094/3910/4015/6678/7060/2246/1294/2202/4237/2152/1509/1490/4053/7043/63923/7045/2331/80760/1300/4693/81578/4958/4016/9518/1289/79883/5176/10117/4147/10631/4017/8728/5270/23452/4856/23213/953/310/140766/8483/4060/10516/5046/145864/7041/1291/1292/81794/1805/83872/1893/7044/129804/1295/1404/171019/8573/256158/871/667/25890/284/4325/9508/57188/176/81035/10417/1476/11093/9672/25903/3490/2199/78987/1359/7123/10085/11082/133584/1278/157869/115908/158326/5654/2200/4239/26585/4054/7148/1281/3965/7059/169044/6383/255631/1296/10218/3913/7177/30008/51162/4485/162466/8722/127435/143282/161198/64856/284297/9370/633/80781/90187/1946/23768/169611/339366/7058/129080/253935/4059/79875/7373/346007/1287/375790/5549/5649/8510/307/309/1305/6693/23145/9719/4326/1302/1306/131873/8292",192
"GO:0030312","GO:0030312","external encapsulating structure","192/4434","497/19944",0.386317907444668,1.73764644701769,8.9040447146508,4.91169526388455e-17,1.88117928606778e-14,1.66997638972075e-14,"64386/3730/7869/7077/1462/1298/4052/10319/954/2155/2192/1307/2219/7481/43/4313/8425/3383/55214/22798/151887/1215/1299/7042/3956/1511/89932/4318/1522/25878/4324/6422/333/7040/1311/5803/5118/5919/165/4969/54829/1842/6387/81621/3959/1277/3263/4192/4256/1303/1297/64094/3910/4015/6678/7060/2246/1294/2202/4237/2152/1509/1490/4053/7043/63923/7045/2331/80760/1300/4693/81578/4958/4016/9518/1289/79883/5176/10117/4147/10631/4017/8728/5270/23452/4856/23213/953/310/140766/8483/4060/10516/5046/145864/7041/1291/1292/81794/1805/83872/1893/7044/129804/1295/1404/171019/8573/256158/871/667/25890/284/4325/9508/57188/176/81035/10417/1476/11093/9672/25903/3490/2199/78987/1359/7123/10085/11082/133584/1278/157869/115908/158326/5654/2200/4239/26585/4054/7148/1281/3965/7059/169044/6383/255631/1296/10218/3913/7177/30008/51162/4485/162466/8722/127435/143282/161198/64856/284297/9370/633/80781/90187/1946/23768/169611/339366/7058/129080/253935/4059/79875/7373/346007/1287/375790/5549/5649/8510/307/309/1305/6693/23145/9719/4326/1302/1306/131873/8292",192
"GO:0005604","GO:0005604","basement membrane","47/4434","100/19944",0.47,2.11404600811908,5.97139372924329,3.71585085940347e-08,9.48780586101018e-06,8.42259528131452e-06,"10319/954/2192/1307/43/55214/22798/151887/1299/89932/333/64094/3910/6678/7060/1294/7045/4016/1289/5176/4147/4017/953/1291/83872/1295/8573/256158/667/133584/158326/2200/169044/255631/1296/3913/30008/64856/80781/1946/7058/1287/375790/1305/6693/1306/8292",47
"GO:0005581","GO:0005581","collagen trimer","42/4434","86/19944",0.488372093023256,2.19668313560122,5.9463139250482,4.95573624800238e-08,9.49023491492456e-06,8.42475162160404e-06,"1298/114899/1307/2219/1299/1277/1303/1297/4015/1294/78989/1300/81578/1289/114904/6441/4060/1291/1292/1295/114898/81035/114905/1278/115908/51435/1281/169044/255631/1296/9370/80781/129080/7373/1287/1305/1302/1306/387911/131873/8292/338872",42
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","108/4434","319/19944",0.338557993730408,1.52282377694164,5.03307067781595,1.0841392978582e-06,0.00014062147990293,0.00012483368973106,"414/920/2326/8635/1462/1356/1298/4052/2155/10954/51661/1307/10961/55214/1299/23555/3956/410/8542/80020/1522/412/91851/5595/4924/1277/7466/51561/1303/1297/590/1294/84141/3488/2677/2882/335/64374/1191/1300/81578/652/2159/5589/3270/1289/10117/51280/10956/10970/10695/121506/22901/60681/1291/1292/57333/285362/1295/56034/2719/871/51738/415/340348/11093/54587/3490/4043/51246/493869/1278/3990/2200/51148/79001/1281/10098/169044/6383/10491/51237/80310/255631/1296/3913/627/57104/92949/143888/64856/79642/5179/80781/2621/340075/64714/64222/7373/1287/5154/1305/23127/140606/1066/1302/1306/632",108
"GO:0009897","GO:0009897","external side of plasma membrane","128/4434","393/19944",0.325699745547074,1.46498775940253,4.97783501021798,1.22793201783956e-06,0.00014062147990293,0.00012483368973106,"920/933/972/11119/65078/2213/4162/3682/2219/5027/3383/30835/1439/3560/958/959/50615/2217/2208/6387/8029/657/5023/2348/921/969/50856/10384/9308/3953/914/2152/78989/9429/55068/9034/7852/51744/4063/1271/5328/10385/154796/2159/1236/51554/482/84824/3824/4907/55576/3590/953/4283/939/8747/3687/432/1513/1238/2044/2676/3561/2206/460/165530/3140/925/7070/5169/2890/931/3815/8764/911/913/1636/23308/917/1234/115352/7412/114836/2215/3577/1493/131450/114625/133396/2350/915/762/1524/2675/3575/84168/10663/6403/161198/283316/940/2205/3579/343413/1946/2826/2811/3916/11118/7293/349667/4059/6402/3123/6693/80380/916/80741/3107/3133/3134/3136/3105/6966/6967/7124/3106/441381",128
"GO:0042611","GO:0042611","MHC protein complex","17/4434","25/19944",0.68,3.0586197564276,5.50680331264195,1.28505268840797e-06,0.00014062147990293,0.00012483368973106,"972/3140/3119/3123/3117/3111/3108/3122/3107/3133/3134/3136/3105/3115/3113/3106/3109",17
"GO:0005614","GO:0005614","interstitial matrix","14/4434","19/19944",0.736842105263158,3.31429385371412,5.39614147635051,2.59435221530906e-06,0.000248409224615842,0.00022051993830127,"1298/1307/151887/1299/1842/81621/1303/1297/1300/1295/133584/1296/64856/7373",14
"GO:0036064","GO:0036064","ciliary basal body","111/4434","338/19944",0.328402366863905,1.47714406962872,4.73042946884581,3.97088176878117e-06,0.00033796615943182,0.000300022178085689,"54903/8481/23247/4134/10806/9696/493/57560/23293/29105/2121/2736/25930/7289/11158/1136/25861/25776/25809/51098/24148/56062/5595/29070/4832/23322/729440/95681/27077/90410/2735/1027/22858/51715/55722/2771/49856/5311/11064/80127/112752/80129/84902/84080/583/5300/10844/164395/54862/79363/22873/57639/80210/4957/79739/51626/26509/55329/85478/585/2622/22994/207/23126/51256/107080638/1069/84131/60494/1070/5578/126731/118491/9364/199221/56683/5692/755/6285/197335/220004/129880/27152/123016/11092/79841/115811/374654/374864/116840/6919/257236/26259/158135/8607/79874/225689/10856/340061/8558/84871/79955/9742/10507/85302/4311/80184/9851/92565/55559/402",111
"GO:0098644","GO:0098644","complex of collagen trimers","17/4434","27/19944",0.62962962962963,2.83205533002556,5.09325823672392,6.2901326681157e-06,0.000481824162377662,0.000427729021431867,"1298/1307/1299/1277/1303/1297/1294/1300/1289/4060/1295/1278/1281/1296/7373/1287/1302",17
