"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031012","GO:0031012","extracellular matrix","204/4750","496/19944",0.411290322580645,1.72689983022071,9.16608586271582,4.45016831679086e-18,2.21534827732598e-15,1.85273684808056e-15,"3730/7869/7077/1462/1298/4052/10319/2817/59277/2192/1307/2219/7481/43/4313/8425/55214/2734/22798/151887/1215/1299/7042/3956/1511/89932/1522/25878/4324/6422/3574/333/7040/1311/5803/5118/8985/5919/165/4969/54829/1842/6387/9806/59/81621/3959/1277/7448/7007/3263/4192/4256/1303/1297/64094/3910/7060/2246/1294/2202/10216/4237/2152/1509/1490/4053/7043/63923/7045/2331/80760/1300/4693/81578/4958/4016/9518/1289/3958/5176/10117/3691/4147/10631/4017/8728/183/5270/23452/23213/953/310/140766/8483/80144/4060/10516/170691/5046/145864/4240/7041/1291/1292/81794/3339/3491/1805/83872/1893/7044/129804/1295/1404/171019/8573/256158/710/25890/4325/57188/176/81035/10417/1476/11093/9672/25903/3490/2199/78987/1359/7123/10085/11082/133584/1278/115908/158326/5654/2200/4239/26585/4054/7148/1281/3965/7059/169044/6383/1000/255631/3960/1296/10218/3913/7177/30008/51162/4485/162466/8722/127435/143282/161198/977/64856/284297/2147/633/80781/147372/90187/1946/23768/169611/339366/7058/129080/253935/4059/79875/7373/346007/1287/375790/5549/5649/8510/307/309/64499/1305/6693/23145/9719/6277/4326/64093/1302/1306/131873/8292",204
"GO:0030312","GO:0030312","external encapsulating structure","204/4750","497/19944",0.41046277665996,1.723425182675,9.13169711820088,5.79934104012037e-18,2.21534827732598e-15,1.85273684808056e-15,"3730/7869/7077/1462/1298/4052/10319/2817/59277/2192/1307/2219/7481/43/4313/8425/55214/2734/22798/151887/1215/1299/7042/3956/1511/89932/1522/25878/4324/6422/3574/333/7040/1311/5803/5118/8985/5919/165/4969/54829/1842/6387/9806/59/81621/3959/1277/7448/7007/3263/4192/4256/1303/1297/64094/3910/7060/2246/1294/2202/10216/4237/2152/1509/1490/4053/7043/63923/7045/2331/80760/1300/4693/81578/4958/4016/9518/1289/3958/5176/10117/3691/4147/10631/4017/8728/183/5270/23452/23213/953/310/140766/8483/80144/4060/10516/170691/5046/145864/4240/7041/1291/1292/81794/3339/3491/1805/83872/1893/7044/129804/1295/1404/171019/8573/256158/710/25890/4325/57188/176/81035/10417/1476/11093/9672/25903/3490/2199/78987/1359/7123/10085/11082/133584/1278/115908/158326/5654/2200/4239/26585/4054/7148/1281/3965/7059/169044/6383/1000/255631/3960/1296/10218/3913/7177/30008/51162/4485/162466/8722/127435/143282/161198/977/64856/284297/2147/633/80781/147372/90187/1946/23768/169611/339366/7058/129080/253935/4059/79875/7373/346007/1287/375790/5549/5649/8510/307/309/64499/1305/6693/23145/9719/6277/4326/64093/1302/1306/131873/8292",204
"GO:0005604","GO:0005604","basement membrane","52/4750","100/19944",0.52,2.18334315789474,6.63287912947143,9.802044269321e-10,2.49625394058708e-07,2.08766346367644e-07,"10319/59277/2192/1307/43/55214/22798/151887/1299/89932/333/59/7448/64094/3910/7060/1294/7045/4016/1289/5176/3691/4147/4017/953/80144/1291/3339/83872/1295/8573/256158/133584/158326/2200/169044/255631/1296/3913/30008/977/64856/80781/1946/7058/1287/375790/1305/6693/64093/1306/8292",52
"GO:0042611","GO:0042611","MHC protein complex","19/4750","25/19944",0.76,3.19104,6.12904109264832,5.3985235036009e-08,9.97535386917371e-06,8.34257343426349e-06,"972/3140/3119/3123/3117/3127/3111/3108/3122/3133/3134/3105/3115/3113/3120/3106/3118/3112/3109",19
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","33/4750","58/19944",0.568965517241379,2.38893647912886,5.92282160681613,6.52837295102991e-08,9.97535386917371e-06,8.34257343426349e-06,"51121/6141/6160/6122/6142/6158/6143/6164/6152/6146/51538/9349/25873/11224/6176/6123/23521/6135/6167/6134/6132/6133/140801/6157/6137/6169/6138/6181/6165/6168/6147/4736/7311",33
"GO:0098984","GO:0098984","neuron to neuron synapse","140/4750","403/19944",0.347394540942928,1.45861825780332,5.20039652374136,3.94171972026511e-07,4.44816311083164e-05,3.7200813010124e-05,"115703/53616/23542/2534/2896/9498/9454/816/5662/1496/4756/79641/815/5063/88/8516/55118/79953/158866/1821/7249/64130/6223/478/6142/23413/22849/9148/8787/1949/41/2771/7781/6711/9890/440073/154796/57479/57622/7732/482/81926/23229/80758/94030/3337/1742/23208/2048/10313/116988/2045/10505/10154/58489/1838/3184/144165/9746/6252/59283/81611/375/8502/66000/4915/4851/120/57689/6188/2900/22866/150/3708/2911/5789/23043/2890/9162/55607/8997/84446/23623/6132/2905/50944/22941/2785/55450/93185/166336/8927/107/1020/79870/145581/7248/112476/54910/146395/10636/51617/7779/9229/143425/22883/11346/2596/6169/91683/78999/254263/8851/6232/9495/23513/5179/575/2894/6546/5142/56899/9863/5575/642938/54413/6536/51399/1612/8831/26037/26052/4736/116443/80863/339453/64506/91584/6222/140735",140
"GO:0036064","GO:0036064","ciliary basal body","121/4750","338/19944",0.357988165680473,1.50309810028029,5.21581905720701,4.07554211725412e-07,4.44816311083164e-05,3.7200813010124e-05,"57787/54903/23177/5704/8100/8481/23247/4134/10806/9696/57560/23293/29105/2121/2736/25930/7289/11158/1136/9727/25861/25776/25809/51199/51098/24148/56062/5595/29070/4832/23322/729440/95681/27077/90410/2735/1027/22858/51715/2979/55722/2771/7840/49856/56912/5311/89891/2733/11064/80127/112752/80129/84902/84080/583/5300/25814/10844/164395/54862/79363/22873/57639/9654/80210/4957/79739/51626/26509/55329/85478/2622/22994/207/23126/51256/107080638/1069/84131/60494/1070/5578/126731/118491/9364/199221/56683/5692/755/197335/220004/5563/129880/27152/123016/11092/7248/79841/374654/4218/116840/6919/257236/3265/26259/8607/79874/225689/10856/340061/8558/79955/9742/85302/4311/115948/80184/9851/92565/55559/402",121
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","115/4750","319/19944",0.360501567398119,1.51365121267118,5.17088423542893,5.21470303077693e-07,4.98004139439197e-05,4.16490097326526e-05,"414/920/2326/8635/1462/1356/1298/4052/10954/10272/57719/51661/334/1307/10961/55214/1299/23555/3956/410/80020/1522/412/91851/5595/4924/8985/1277/7448/7466/51561/1303/1297/590/1294/84141/3488/2882/335/1191/1300/81578/652/2159/54982/25870/5589/3270/1289/10117/4221/51280/10956/10970/10695/121506/4240/22901/60681/1291/1292/57333/3491/285362/1295/56034/2719/710/283208/51738/415/340348/11093/54587/3490/4043/51246/493869/1278/2200/51148/79001/1281/10098/3592/169044/6383/10491/1000/80310/255631/1296/7857/3913/627/57104/92949/64856/2147/79642/5179/80781/2621/340075/64714/7373/1287/5154/1305/23127/140606/1066/1302/1306/632",115
"GO:0042613","GO:0042613","MHC class II protein complex","14/4750","17/19944",0.823529411764706,3.45778328173375,5.6683032215203,5.9738295662968e-07,5.07111754294528e-05,4.24106964531246e-05,"972/3119/3123/3117/3127/3111/3108/3122/3115/3113/3120/3118/3112/3109",14
"GO:0015934","GO:0015934","large ribosomal subunit","51/4750","114/19944",0.447368421052632,1.87838227146814,5.25872691724983,7.29878383114997e-07,5.57627084699858e-05,4.6635387215874e-05,"51121/84545/6141/6160/10573/55168/6122/51073/6142/6158/6143/6164/6152/6146/51538/9349/25873/11224/6176/6123/23521/6135/65005/6167/6134/63875/124995/6132/128308/6133/140801/6157/54948/6137/3396/122704/6169/78988/6138/6181/6165/116541/64976/6168/6147/4736/64978/6150/7311/55052/26589",51
"GO:0022626","GO:0022626","cytosolic ribosome","52/4750","118/19944",0.440677966101695,1.8502908117752,5.1796084089427,1.00754035940511e-06,6.99782576895916e-05,5.85241146563545e-05,"6224/51121/6141/6160/6122/93144/6223/6142/6158/6143/6164/6152/6209/6146/51538/9349/25873/11224/6194/6176/6123/6205/23521/6135/6233/6167/6134/6188/2197/1915/6132/64320/6133/140801/6157/6137/6203/6227/6169/6138/6181/6232/6165/6231/6168/6191/6147/4736/6235/7311/6222/6234",52
"GO:0005581","GO:0005581","collagen trimer","41/4750","86/19944",0.476744186046512,2.00172337821297,5.20517422167308,1.16272443941249e-06,7.40267893092616e-05,6.19099767301209e-05,"1298/114899/1307/2219/1299/1277/1303/1297/1294/78989/1300/81578/1289/114904/6441/4060/1291/1292/1295/114898/81035/114905/1278/115908/51435/1281/169044/255631/1296/80781/147372/129080/7373/1287/1305/1302/1306/387911/131873/8292/338872",41
