"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA","193/5281","420/18662",0.45952380952381,1.62386542952724,8.12382566358554,5.79011108906711e-15,7.27237952786829e-12,5.88762874951455e-12,"56919/60528/55703/9716/6301/23517/54802/64848/5431/1975/11218/3735/60487/54505/1659/55699/24140/25885/23210/51095/23016/25996/1653/55218/79670/22894/27292/8886/22803/16/54517/2687/51493/171568/55687/23351/8846/23405/328/9692/25939/51654/60625/64863/9683/79650/123263/56986/10940/90459/10775/2617/7458/1787/11101/79665/117246/1655/1665/83480/1656/833/8909/4848/4839/51567/8732/83594/57472/5917/54464/8087/1615/10056/7257/55157/5511/51692/2107/81627/79712/54482/51251/10212/79828/5393/27161/9477/10799/23019/84172/192669/64172/112487/55278/23404/10247/91298/51520/25917/4677/8565/192670/23318/25821/55226/1660/83990/2058/96764/91801/8634/87178/80745/51163/29081/246175/7453/79068/9785/28987/51651/81875/93587/9879/10146/5558/57038/51110/5440/11128/10556/85463/57647/25819/79691/10557/9412/80746/9337/122402/9941/563/1973/51728/127253/64216/129450/90957/80149/10569/84881/9188/221120/9665/115752/2021/29063/2237/6036/6039/3035/55006/9533/5394/246243/5859/54931/9156/201626/170506/1662/63899/201164/55039/123283/25840/51082/57697/79979/3376/27044/5557/131870/29883/7407/8449/51202/1654/27297/92935/57604/283459",193
"GO:0045296","GO:0045296","cadherin binding","155/5281","334/18662",0.464071856287425,1.63993731907516,7.41368941025462,1.03915317140873e-12,6.52588191644684e-10,5.28327349253072e-10,"55971/4361/6642/7414/1495/5318/1265/5586/55854/9748/5315/54505/28513/22905/2011/8301/2023/1739/832/5663/9689/25978/10890/2060/118/23348/6128/10985/3655/7430/55357/51100/1399/85377/11252/5905/1983/22919/128866/8428/10562/56061/3646/10226/10652/7458/5216/55379/7531/1982/1656/867/8496/3875/9685/5917/90/10190/3069/829/4179/5052/9588/57488/5493/9414/8727/5110/7112/60437/9208/79026/7408/3895/5787/58513/10606/3791/51429/4301/23647/5901/7223/23075/8650/3939/23670/26136/28988/10006/55833/7094/5962/54874/5861/471/3417/29789/9101/29766/8615/8826/1012/5694/26135/83939/1956/5795/64405/3688/288/5756/23367/10694/9133/114793/4690/10163/3898/10611/57650/7534/3190/26130/7529/29091/2194/26156/5797/3728/64837/9793/10458/5781/23042/5062/9798/302/29119/10801/57496/57698/9045/5770/6714/27044/55742/23607/1500/26058/659/6643/1192/1654/5297",155
"GO:0043021","GO:0043021","ribonucleoprotein complex binding","88/5281","180/18662",0.488888888888889,1.72763575922069,6.16250179073991,3.52648649048622e-09,1.4764223440169e-06,1.1952933157227e-06,"56919/7812/11171/27067/29927/8531/1975/54505/51009/7155/83737/4528/51776/55147/10419/51550/6729/5935/23420/90459/10430/27000/2146/7458/23560/57003/1655/80315/8087/10289/2107/219402/57510/6628/85451/1984/1965/4193/1660/79139/5292/29789/55759/9728/79631/26135/54499/6726/83939/166378/10146/92399/127933/6728/23367/10600/84295/115416/56648/80149/80155/6059/9147/6632/6730/3921/3954/51068/84305/79612/90441/23592/6731/9793/6734/283820/253943/79048/27044/55319/2475/26046/23/7866/1654/28985/4830/283131",88
"GO:0016887","GO:0016887","ATP hydrolysis activity","166/5281","400/18662",0.415,1.46652717288392,5.92535023373948,7.25745106797806e-09,2.07036778599963e-06,1.67614421830007e-06,"1080/56919/1663/477/6683/9716/1244/10061/5981/23517/64848/5982/10721/23095/23200/10347/11218/54505/1659/23250/3796/10060/9319/8243/4905/60/4292/7520/1653/10847/546/102157402/5243/4998/5705/8886/55614/9044/4650/4174/5706/5700/57680/9371/60625/286410/6594/23078/84056/4363/56652/9126/79665/1655/8714/1665/1656/5985/1108/254394/23195/10111/10051/523/10058/5825/9928/9525/27030/54454/3416/80007/6950/81930/10212/84181/83732/10257/84515/55288/5189/54617/10749/148229/22/10693/84893/10574/23456/1660/83990/10730/27348/10592/1861/9550/84896/9585/1763/29789/55605/9785/166378/9879/10146/908/22948/57647/1105/10350/23460/23461/6782/10694/122402/29028/23515/5701/1973/81570/249/79677/56916/90957/113510/476/7203/5984/23132/6059/22836/55582/538/7486/509/9188/10576/7184/10845/90990/3800/55636/55729/10924/225/1106/488/170506/79915/80205/1662/55137/146909/51182/57697/641/4644/54863/439/23137/8449/23/51202/1654/3833/51750",166
"GO:0004674","GO:0004674","protein serine/threonine kinase activity","177/5281","433/18662",0.408775981524249,1.44453273380147,5.87959655705576,8.86515759630847e-09,2.07036778599963e-06,1.67614421830007e-06,"5166/4293/6792/8491/5583/7444/5256/5601/5218/55781/5128/65125/28996/5586/6416/9748/8621/5315/6093/375449/7049/5597/1459/6196/2011/80216/9175/9891/4140/9262/2932/27102/6790/8550/8812/11213/51776/54822/4214/6732/25/8317/5594/9252/6789/1457/8780/5230/5127/8428/29904/8767/3551/6788/51422/1326/6198/5608/10553/10114/1432/896/8899/7272/1452/7867/6787/200576/90/23178/23683/10000/6195/6446/91754/2185/5290/1017/83732/140901/9088/440275/146057/11035/4294/9113/5894/5562/25778/9201/9475/51765/51347/6733/91/26750/5292/8737/3706/658/94/25989/91807/5170/50488/23476/150094/9064/8444/8476/9730/817/340156/1956/11011/1111/26524/1456/140609/127933/23097/7273/5603/5261/701/23049/1859/65018/5681/29941/57551/8986/9261/204851/152110/7048/5584/5580/6850/9833/5347/91419/51755/5604/10746/983/8493/5581/112858/9943/9024/545/149420/6197/83903/9212/5062/5571/29110/5613/3654/5592/613/30849/65267/4217/51135/415116/9874/2475/2869/7150/659/6046/1147/100130827/5591",177
"GO:0051020","GO:0051020","GTPase binding","138/5281","321/18662",0.429906542056075,1.51920391741156,5.89467989568226,9.89029197133579e-09,2.07036778599963e-06,1.67614421830007e-06,"57679/23077/9912/6792/10048/10928/5583/80143/26999/2665/54432/8531/10787/23534/3843/5586/4904/9950/7813/6093/10640/8301/2023/23032/117/3842/57531/55054/51194/10059/1795/332/11069/4650/85377/9681/5905/23002/9321/5875/9371/94121/23062/22870/84079/857/57589/9827/22841/3837/5216/23603/8936/1894/22930/54206/5906/149371/64121/9783/8934/25782/79109/4952/1434/57510/23163/8678/117177/23677/4301/1729/54521/23647/92154/10526/9475/1794/55654/9648/3936/2058/3706/54874/5876/121512/5830/9815/8826/2803/5921/23500/221472/1730/80005/203228/196383/2059/5903/51571/123720/114793/56990/29941/9255/22836/26130/30968/55088/164/5604/727851/160518/128344/664/220441/259173/23580/1104/55785/5062/10193/9735/11260/26985/51479/23299/643338/1121/3376/4644/4641/54708/55705/10497/1122/10527/57139",138
"GO:0019787","GO:0019787","ubiquitin-like protein transferase activity","191/5281","484/18662",0.394628099173554,1.39453694125674,5.5248254221735,5.48314372631739e-08,9.42364612039532e-06,7.62926764356511e-06,"54467/23077/26224/51666/9690/55148/9604/23376/9921/330/23304/8554/25897/8452/23327/54542/10758/9474/55749/6047/9759/4734/998/56852/84708/55743/27252/29089/7319/3093/83737/11043/4850/11342/57531/55054/4799/10075/57542/8315/55072/55632/25831/117584/57820/54941/57534/331/8266/4210/51283/51366/79872/9830/54926/8453/57178/54894/4591/51003/7323/10612/50862/329/9354/867/26273/83892/26036/373/7337/9616/868/57448/90025/84085/26234/22954/26190/54836/9870/23024/8805/26994/11059/55905/140825/5469/79654/23352/6049/8924/10277/51132/7322/84231/85363/7326/79845/7428/51444/4193/149041/64844/255488/80204/580/8916/8451/79018/114804/8535/64326/51506/130507/9039/64422/55016/10299/9140/153830/257218/115426/90678/89910/79596/147339/9412/5903/9320/57630/6103/286053/54778/84676/112950/89970/55585/9903/284996/165918/285671/5828/220972/8945/25820/8065/54765/254225/64400/26263/57691/55159/81844/10477/7324/80196/11236/81603/10892/344558/79102/55167/11065/56888/51320/220441/7334/84333/10193/84133/140739/7327/5071/7332/80829/55182/6613/51136/10210/54708/55958/51465/26046/9867/6048/6992/10206/84461/134111/7335",191
"GO:0031267","GO:0031267","small GTPase binding","123/5281","286/18662",0.43006993006993,1.51978129804299,5.56492646125679,6.00232236967855e-08,9.42364612039532e-06,7.62926764356511e-06,"57679/23077/9912/6792/10048/10928/5583/80143/26999/2665/54432/8531/10787/23534/3843/5586/9950/7813/6093/10640/8301/23032/117/3842/57531/51194/10059/1795/332/11069/4650/85377/9681/5905/23002/9321/5875/9371/94121/23062/22870/84079/857/57589/9827/22841/3837/5216/23603/8936/1894/22930/54206/5906/149371/9783/8934/25782/79109/4952/1434/57510/23163/23677/4301/1729/54521/23647/92154/10526/9475/1794/55654/9648/3706/5876/121512/5830/9815/8826/2803/23500/221472/1730/80005/203228/196383/2059/5903/51571/123720/114793/56990/29941/22836/26130/55088/164/5604/727851/160518/128344/220441/259173/23580/1104/55785/5062/10193/9735/11260/26985/51479/23299/643338/1121/4644/4641/55705/10497/1122/10527/57139",123
"GO:0000287","GO:0000287","magnesium ion binding","103/5281","233/18662",0.44206008583691,1.5621521154873,5.42453080294026,1.37502888044854e-07,1.9189291931593e-05,1.55354140176993e-05,"2729/159/10721/23200/4199/10797/3422/5315/23250/25885/375449/6196/2011/2023/25996/5236/55218/10914/11213/58484/51776/6732/25/64781/3705/5494/9252/6789/286410/6102/6788/85865/6009/55149/1326/5414/51567/83594/2956/10056/64121/6195/51251/1017/5911/10054/55288/148229/9113/26061/7153/5901/3612/51765/6733/8803/5495/403/3417/27068/6996/3607/150094/9064/27/8444/8476/141/58478/5631/11128/60496/3688/8872/65018/8986/7086/7486/11164/3419/5347/2021/2237/55276/11076/246243/9943/3981/9024/170506/6197/348654/5464/3418/283871/5138/4217/51135/5557/131870/390916/4830/11165",103
"GO:0180051","GO:0180051","translation factor activity","46/5281","83/18662",0.55421686746988,1.95849179714503,5.49790883442805,1.91068923986349e-07,2.39982568526855e-05,1.94286926916646e-05,"1975/54505/8672/8668/4528/10985/1983/29904/2935/8669/3646/8662/7458/8661/1982/54516/10767/80315/10289/1981/1933/8890/8892/9617/2107/10987/219402/27161/8894/1984/1965/9470/79631/83939/8893/8667/10480/1977/9669/1973/317649/56648/85476/1964/23/28985",46
