"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA","204/5780","420/18662",0.485714285714286,1.56823529411765,7.88962484435536,2.01762601051686e-14,2.55229690330383e-11,2.04523562960814e-11,"56919/55703/9716/54888/23517/54802/64848/5431/1975/11218/3735/23536/60487/8653/54505/1659/55699/24140/25885/23210/51095/23016/25996/1653/55218/79670/22894/27292/8886/22803/16/54517/2687/51493/55687/23351/8846/23405/328/9692/25939/60625/64863/2332/9683/79650/123263/56986/10940/90459/10775/11062/2617/7458/51010/1787/11101/79665/117246/1655/1665/83480/1656/833/8909/4848/4839/51567/8732/83594/54974/57472/10622/5917/54464/8087/1615/10056/7257/5511/83479/51692/2107/81627/79712/54482/51251/10212/79828/27161/9477/10799/23019/84172/192669/64172/112487/55278/23404/10247/91298/51520/25917/4677/8565/192670/23318/25821/55226/9924/1660/2058/23070/79731/96764/91801/8634/87178/80745/51163/246175/7453/79068/9785/161931/28987/51651/81875/93587/9879/10146/54901/5558/51110/5440/11128/10556/85463/57647/25819/79691/10557/9412/80746/9337/122402/9941/563/1973/127253/64216/129450/11102/80149/10569/84881/9188/221120/9665/115752/4141/2021/29063/2237/55308/6036/6039/64118/3035/55006/9533/246243/55106/10248/54931/9416/9156/201626/170506/1662/63899/201164/55783/55039/123283/25840/51082/57697/79979/134637/3376/27044/5557/7919/131870/29883/55253/7407/51202/1654/27297/92935/57604/283459",204
"GO:0045296","GO:0045296","cadherin binding","163/5780","334/18662",0.488023952095808,1.57569255951764,7.11125152725586,5.20498292668199e-12,3.29215170112636e-09,2.63810450441829e-09,"55971/54443/9052/4361/6642/7414/1495/5318/5586/55854/9748/54505/28513/22905/2011/8301/2023/1739/832/5663/5317/9689/22837/25978/10890/2017/2060/118/23348/3655/7430/55357/51100/1399/11252/5905/1983/22919/128866/8428/56061/3646/10226/10652/7458/5216/55379/7531/10938/1982/1656/867/8496/3875/9685/5917/90/57142/10190/3069/829/4179/5052/9588/57488/5493/8727/5110/7112/7706/9217/60437/9208/79026/7408/3895/5787/58513/10606/3791/4430/51429/4301/1968/23647/5901/23164/7223/23075/8650/3939/23670/26136/2317/10006/64855/55833/7094/5962/54874/5861/471/3417/29789/9101/29766/8615/8826/1012/57410/26135/83939/93663/1956/5795/64405/143098/3688/288/5756/50807/23367/10694/9133/114793/4690/8407/50848/3898/55324/10611/57650/7534/3190/26130/7529/6520/29091/26156/5797/3728/64837/9793/10458/5781/23042/5062/9798/302/57496/57698/5770/6714/27044/55742/23607/1500/26058/659/6643/1192/1654/5297",163
"GO:0019787","GO:0019787","ubiquitin-like protein transferase activity","216/5780","484/18662",0.446280991735537,1.44091624009837,6.58332741532838,1.12774593942315e-10,4.75532871123428e-08,3.81059417426138e-08,"54467/23077/26224/51666/9690/55148/9604/23376/9921/330/23304/8554/25897/8452/23327/54542/10758/9474/55749/6047/9759/4734/998/56852/84708/7321/55743/27252/29089/7319/3093/83737/11043/11342/57531/55054/4799/10075/57542/8315/55072/55632/25831/117584/8697/51676/57820/54941/57534/331/8266/4210/51283/51366/79872/9830/54926/8453/57178/54894/4591/26001/51003/7126/7323/10612/50862/329/9354/867/26273/83892/9025/26036/55819/373/7337/9616/868/57448/90025/84085/26234/7320/22954/26190/54836/9870/7706/117854/23024/8805/26994/11059/55905/5469/79654/23352/6049/8924/10277/51132/7322/84231/85363/7326/91107/79589/84246/79845/10001/7428/51444/4193/149041/4008/64844/255488/80204/580/8916/91445/8451/79018/114804/8535/64326/51506/130507/9039/55016/10299/9140/153830/257218/6872/115426/90678/89910/79596/147339/9412/5903/9320/57630/9443/6103/153769/286053/54778/84676/267/112950/89970/55585/84447/9903/284996/25898/165918/285671/5828/220972/8945/25820/8065/54765/254225/64400/26263/57691/55159/81844/10477/7324/11236/81603/10892/344558/55167/11065/56888/51320/220441/493829/7334/84333/10193/391712/84133/140739/7327/5071/10336/7332/84937/80829/55182/51136/6477/51592/57162/10210/54708/55958/57154/51465/26046/9867/6048/6992/10206/84461/134111/10626/7335",216
"GO:0004674","GO:0004674","protein serine/threonine kinase activity","193/5780","433/18662",0.445727482678984,1.43912911449052,6.19290597012315,1.24706806566175e-09,3.94385275765527e-07,3.16033301903227e-07,"5166/4293/6792/8491/11183/1195/5583/7444/7204/5256/5601/55781/5128/65125/28996/5586/6416/9748/8621/5255/6093/7049/5597/10420/1459/9448/6196/27330/2011/9175/9891/4140/9262/2932/8895/27102/51701/6790/8550/8812/11213/51776/54822/4214/6732/25/8317/2872/5594/9252/6789/1457/8780/5230/5127/8428/29904/8767/3551/6788/2931/51422/5599/1326/6198/5608/10553/10114/1432/896/8899/7272/57396/1452/6787/200576/90/29959/23683/4139/10000/6195/6446/91754/2185/5290/92/1017/83732/140901/440275/146057/11035/4294/9113/5565/5894/5562/25778/9201/1022/9475/51765/51347/6733/6885/91/26750/5292/8737/3706/658/55589/94/25989/91807/5170/50488/5596/23476/9064/8444/8476/9730/817/340156/1956/11011/6872/1111/26524/1456/140609/127933/23097/7273/5261/701/23049/1859/673/65018/29941/57551/8986/9261/204851/152110/7048/5584/85443/5580/9833/91419/51755/124923/5604/10746/983/8493/5581/112858/9943/9024/545/149420/6197/83903/9212/5062/5571/29110/5613/3654/5592/613/56164/30849/65267/4217/51135/415116/9874/27347/2475/2869/7150/659/6046/1147/100130827/5591/283106",193
"GO:0043021","GO:0043021","ribonucleoprotein complex binding","94/5780","180/18662",0.522222222222222,1.68610918877355,6.19576209737112,2.14476846559302e-09,5.36116571244035e-07,4.29607038159356e-07,"56919/7812/11171/27067/29927/8531/1975/54505/51009/83737/25929/4528/51776/23468/23481/55147/10419/51550/6729/2332/5935/408050/90459/10430/27000/2146/7458/23560/57003/1655/11052/80315/8087/10289/2107/219402/57510/6628/51119/85451/1984/1965/4193/1660/79139/5292/132864/29789/55759/9728/79631/26135/54499/6726/83939/166378/10146/92399/127933/6728/23367/10600/84295/79568/56648/80149/80155/6059/9147/6632/6730/3954/51068/84305/55106/79612/90441/23592/6731/9793/6734/8663/283820/253943/79048/27044/55319/2475/26046/23/7866/1654/4830/283131",94
"GO:0004842","GO:0004842","ubiquitin-protein transferase activity","200/5780","455/18662",0.43956043956044,1.41921746073995,6.06408937562434,2.54284539720491e-09,5.36116571244035e-07,4.29607038159356e-07,"54467/23077/26224/51666/9690/55148/9604/9921/330/23304/25897/8452/23327/54542/10758/55749/6047/4734/998/56852/84708/7321/55743/27252/29089/7319/3093/83737/11043/11342/57531/4799/10075/57542/8315/55072/55632/25831/117584/8697/51676/57820/54941/57534/331/4210/51283/51366/79872/9830/54926/8453/54894/4591/26001/51003/7126/7323/10612/50862/329/9354/867/26273/83892/9025/55819/373/7337/9616/868/57448/90025/84085/26234/7320/22954/26190/54836/9870/7706/117854/23024/8805/26994/11059/55905/5469/79654/23352/6049/8924/10277/51132/7322/84231/85363/7326/91107/79589/84246/79845/10001/7428/51444/4193/149041/4008/64844/255488/80204/580/8916/91445/8451/79018/114804/64326/130507/55016/10299/153830/257218/6872/115426/90678/89910/79596/147339/9412/9320/57630/9443/6103/153769/54778/84676/267/112950/89970/55585/84447/9903/284996/25898/165918/285671/5828/220972/8945/25820/8065/54765/254225/64400/26263/55159/81844/10477/7324/11236/81603/10892/344558/55167/11065/56888/51320/220441/493829/7334/84333/10193/391712/84133/7327/5071/10336/7332/84937/80829/55182/51136/6477/51592/57162/10210/54708/55958/57154/51465/26046/9867/6048/6992/10206/84461/134111/10626/7335",200
"GO:0051020","GO:0051020","GTPase binding","149/5780","321/18662",0.46417445482866,1.49868921730319,6.03685461598863,3.62864066638079e-09,6.55747206138814e-07,5.25470821311985e-07,"57679/23077/9912/6792/10048/10928/58528/5583/80143/2665/54432/8531/10787/23534/3843/5586/4904/9950/7813/6093/10640/8301/2023/5909/23032/2782/117/3320/3842/57531/55054/51194/10059/1795/4650/11078/9681/5905/23002/9321/5875/94121/23062/22870/84079/857/57589/9827/1855/22841/28964/3837/5216/7126/10938/23086/23603/8936/1894/79083/22930/54206/5906/149371/64121/8934/25782/79109/57480/4952/1434/57510/128637/8678/117177/9732/23677/4301/1729/54521/23647/92154/10526/9475/1794/26056/55654/9648/3936/2058/3706/54874/5876/121512/5830/9815/8826/2803/5921/23500/221472/1730/80005/203228/196383/2059/5903/51571/123720/114793/56990/29941/9255/22836/19/26130/30968/55088/164/5604/727851/160518/128344/664/220441/259173/23580/1104/55785/5062/10193/9735/11260/26985/51479/23299/126432/643338/1121/3376/29966/4644/4641/54708/55705/10497/1122/10527/57139",149
"GO:0032182","GO:0032182","ubiquitin-like protein binding","68/5780","121/18662",0.56198347107438,1.81448711716091,6.02074253478289,7.34754300764496e-09,1.16183023808386e-06,9.31011041626591e-07,"3720/83932/54165/23118/8975/6047/4734/7319/55728/2060/55072/10013/10043/9683/23062/51366/7993/23142/55294/329/9025/23197/10254/550/9994/7347/5887/22954/1164/10054/8924/10208/6885/4193/51028/64844/8027/9373/84259/91445/6996/10040/8535/26135/55293/9184/29761/10600/54778/257397/267/56916/26043/165918/51271/4088/64127/165324/7334/55666/11124/5071/123879/4077/51136/64771/84301/137886",68
"GO:0140993","GO:0140993","histone modifying activity","101/5780","202/18662",0.5,1.6143598615917,5.88061027620648,1.13467564703335e-08,1.50690998541241e-06,1.20753427580791e-06,"23028/80853/3720/9031/23304/58508/9759/23210/54556/5927/79960/10847/54665/7994/8648/2122/10075/6790/23409/10013/27154/23411/2033/10419/9252/84148/84444/54531/2146/23081/4591/51111/79829/8850/55818/150572/1386/3065/55870/7799/80218/79903/1017/8202/9329/8242/23030/8520/55274/5562/9575/6885/83852/580/675/9960/10498/63976/9730/80854/7403/55869/6872/54904/9219/1111/10600/23522/7862/1859/8888/8986/114803/8314/165918/90826/25862/64324/8085/55209/983/84864/23133/22992/55167/545/83903/84333/79813/29072/84193/387893/10196/10336/51547/11091/5253/57708/55170/7052/5591",101
"GO:0003713","GO:0003713","transcription coactivator activity","135/5780","289/18662",0.467128027681661,1.50822547622754,5.83250397686076,1.19123319004934e-08,1.50690998541241e-06,1.20753427580791e-06,"23028/55904/57658/9604/10463/10138/25937/57492/9967/58508/55749/28996/6882/865/8692/64710/602/79364/5927/79960/11043/10847/7994/8648/56970/23411/25/2033/9321/328/9663/8848/23568/84148/4793/84444/9830/23081/57178/4591/23125/9969/6603/10891/329/4928/29915/135112/9457/9439/9444/57472/10923/23286/10915/7337/8850/10153/8289/22954/29126/56943/6883/10987/7706/8805/23389/57826/8202/9477/5469/11035/55902/85363/10001/23175/27097/1660/29079/86/64855/10499/6760/23476/10498/473/63976/8915/55827/7110/6867/92140/23082/4863/9219/55835/117143/133746/9412/133522/9443/10600/23522/1859/23076/9794/10629/114803/322/4004/8085/23414/81603/171023/93624/3728/1488/84922/8204/9802/84193/26039/7332/51741/283149/57496/3146/57591/29950/5253/23054/4855/10206/26292/120376",135
