"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","84/4362","175/18662",0.48,2.05359009628611,7.73392135835308,7.93178089464327e-13,9.97818036546123e-10,9.60162950404185e-10,"920/3730/1462/1298/4052/2192/1307/8425/1299/25878/1311/5118/165/4969/54829/1277/4256/1303/1297/3910/6678/1294/2202/4237/4053/7045/2331/1300/81578/1289/79883/10117/4147/10631/8483/4060/10516/1291/1292/1805/83872/7286/1893/1295/1404/256158/25890/176/3490/2199/78987/10085/11082/1278/157869/115908/2200/4239/7148/1281/7059/169044/255631/1296/3913/30008/127435/64856/9370/633/80781/90187/7058/79875/7373/1287/375790/5549/1305/23145/1302/1306/131873/8292",84
"GO:0030020","GO:0030020","extracellular matrix structural constituent conferring tensile strength","25/4362","42/18662",0.595238095238095,2.54661470273575,5.54190669537093,5.47452396309323e-07,0.000344347557278564,0.000331352766187222,"1298/1307/1299/1277/1303/1297/1294/1300/81578/1289/1291/1292/1295/1278/1281/169044/255631/1296/80781/7373/1287/1305/1302/1306/131873",25
"GO:0005178","GO:0005178","integrin binding","61/4362","152/18662",0.401315789473684,1.716954439055,4.90176414741025,2.88690721691722e-06,0.00121057642629395,0.00116489238577362,"6376/53616/11188/3479/88/2192/2191/1015/3693/1307/8425/3383/55612/959/2208/3386/1311/5764/5803/1842/6387/6532/975/7060/2246/3676/1490/63923/7045/7103/81/1289/2670/10457/4856/310/3695/10516/3687/667/7070/5578/58494/3084/11093/120425/7412/10085/11082/79987/83700/2200/3481/7148/1281/83660/3913/6403/9636/9358/7106",61
"GO:0008201","GO:0008201","heparin binding","66/4362","170/18662",0.388235294117647,1.66099198964318,4.78157512006087,4.45649081827329e-06,0.00140156636234695,0.0013486748528985,"3075/10178/3730/4057/65078/2263/2260/56925/151887/8829/1511/2259/2254/6422/333/1311/5764/5118/1842/6649/4192/64094/1839/7060/2246/6146/8828/1490/4053/652/14/57045/1289/10631/5270/10457/4856/2660/5046/5792/129804/9353/84870/9508/26577/7123/200879/4043/3990/2200/7148/7059/6373/30008/7423/6403/143282/6586/4753/339366/7058/6402/5549/1305/80739/8292",66
"GO:0030695","GO:0030695","GTPase regulator activity","155/4362","495/18662",0.313131313131313,1.33967367392402,4.23024137151427,2.56154938937246e-05,0.00603484518382836,0.00580710564923656,"115703/6915/9265/440193/50619/80243/23101/25771/5662/10188/25791/9744/51495/55843/8786/79822/26575/10044/8829/5902/27128/23616/89781/27352/55738/4168/2245/8131/7249/1936/4924/23370/79735/64926/85360/9266/23094/10156/11033/3257/10900/8787/23158/57221/10641/6242/84812/9181/28956/85440/5999/440073/5335/10045/26030/89846/1123/58504/57572/23229/9467/3996/116988/55619/3357/50649/1102/9771/9649/84253/408/10113/51196/10144/5998/57610/9905/6904/23179/9922/9353/10788/51256/107080638/84249/255426/26230/27147/80728/6001/85449/150/1793/8853/9910/10160/7070/84033/152273/7074/51735/6002/5739/8997/5900/7410/79961/9938/50650/84315/117289/216/55701/129049/23102/5866/399/10636/2873/11214/57449/85442/10125/10276/392/374403/64787/79874/3725/23526/23236/9628/390637/22821/116985/389541/25894/9901/4763/8831/26037/56882/140885/22899/345930/2664/414918/84986/6494/63940/100271715/64283/5863/115557/398",155
"GO:0060589","GO:0060589","nucleoside-triphosphatase regulator activity","155/4362","496/18662",0.3125,1.33697271893627,4.20095658939945,2.87830453918682e-05,0.00603484518382836,0.00580710564923656,"115703/6915/9265/440193/50619/80243/23101/25771/5662/10188/25791/9744/51495/55843/8786/79822/26575/10044/8829/5902/27128/23616/89781/27352/55738/4168/2245/8131/7249/1936/4924/23370/79735/64926/85360/9266/23094/10156/11033/3257/10900/8787/23158/57221/10641/6242/84812/9181/28956/85440/5999/440073/5335/10045/26030/89846/1123/58504/57572/23229/9467/3996/116988/55619/3357/50649/1102/9771/9649/84253/408/10113/51196/10144/5998/57610/9905/6904/23179/9922/9353/10788/51256/107080638/84249/255426/26230/27147/80728/6001/85449/150/1793/8853/9910/10160/7070/84033/152273/7074/51735/6002/5739/8997/5900/7410/79961/9938/50650/84315/117289/216/55701/129049/23102/5866/399/10636/2873/11214/57449/85442/10125/10276/392/374403/64787/79874/3725/23526/23236/9628/390637/22821/116985/389541/25894/9901/4763/8831/26037/56882/140885/22899/345930/2664/414918/84986/6494/63940/100271715/64283/5863/115557/398",155
"GO:1901681","GO:1901681","sulfur compound binding","91/4362","266/18662",0.342105263157895,1.46363329230918,4.20625889686897,3.59399884542185e-05,0.00645892935362955,0.0062151859732859,"3075/115939/10178/3730/4057/65078/2263/38/2260/56925/151887/8829/1511/63935/2937/2259/2254/6422/10994/333/1311/5764/5118/1842/5023/6649/4192/64094/1839/7060/2246/1809/6146/8828/1490/4053/652/3276/14/57045/1289/10631/84787/5270/55501/10457/4856/2660/5046/5792/129804/9353/84870/80142/79723/9508/29104/26577/7123/200879/4043/3990/2200/8435/7148/2675/7059/6373/30008/7423/6403/143282/89792/79777/6586/4753/339366/7058/375790/6402/5549/79690/55753/1305/5167/10455/80739/8292/2946/84320/24142",91
"GO:0005539","GO:0005539","glycosaminoglycan binding","83/4362","240/18662",0.345833333333333,1.47958314228947,4.12993683204805,5.03335834715077e-05,0.00791495600089459,0.00761626592003078,"3075/10178/3730/4057/960/1462/65078/2263/2260/56925/8425/151887/8829/1511/2259/2254/6422/333/1311/5764/5118/1842/6649/4192/64094/1839/3003/7060/2246/1809/50512/6146/8828/1490/4053/652/14/57045/1289/10631/5270/55576/10457/4856/23213/2660/5046/145864/5792/129804/9353/1404/84870/9508/176/114548/26577/7123/200879/4043/133584/3990/2200/7148/2675/7059/6373/30008/7423/6403/143282/633/6586/4753/339366/7058/375790/6402/5549/1305/143903/80739/8292",83
"GO:0005085","GO:0005085","guanyl-nucleotide exchange factor activity","79/4362","232/18662",0.34051724137931,1.45683923856504,3.86711415303166,0.000134714446289793,0.018830085936951,0.0181194869278669,"6915/9265/440193/50619/80243/23101/5662/25791/10044/27128/89781/4168/2245/1936/4924/23370/9266/3257/57221/84812/9181/28956/85440/440073/5335/10045/26030/89846/57572/23229/9467/55619/50649/1102/9771/9649/10113/51196/57610/23179/9922/84249/255426/26230/27147/85449/150/1793/10160/84033/152273/7074/51735/5739/8997/5900/7410/79961/50650/84315/117289/55701/5866/11214/57449/85442/10125/10276/64787/390637/389541/25894/22899/345930/414918/100271715/64283/5863/115557",79
"GO:0042608","GO:0042608","T cell receptor binding","9/4362","12/18662",0.75,3.20873452544704,4.2270461861505,0.000224893730521024,0.0282916312995448,0.0272239779051766,"2534/3140/917/3932/3123/916/3122/3133/3105",9
