"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","87/4678","175/18662",0.497142857142857,1.98325780247969,7.55849034452088,1.62410757169913e-12,2.0544960781994e-09,2.00192628048388e-09,"920/3730/1462/1298/4052/2192/1307/8425/1299/25878/1311/5118/165/4969/54829/1277/7448/7007/4256/1303/1297/3910/1294/2202/10216/4237/4053/7045/2331/1300/81578/1289/10117/4147/10631/8483/80144/4060/10516/4240/1291/1292/3339/3491/1805/83872/7286/1893/1295/1404/256158/25890/176/3490/2199/78987/10085/11082/1278/115908/2200/4239/7148/1281/7059/169044/255631/1296/3913/30008/127435/64856/633/80781/90187/7058/79875/7373/1287/375790/5549/1305/23145/1302/1306/131873/8292",87
"GO:0005178","GO:0005178","integrin binding","68/4678","152/18662",0.447368421052632,1.78469206363493,5.61823243025578,9.56900163179876e-08,6.05239353211272e-05,5.89752679517703e-05,"6376/53616/11188/3479/88/2192/2191/1015/3693/1307/8425/55612/959/2208/3386/1311/5764/5803/1842/6387/6532/7448/975/7060/2246/3676/1490/63923/7045/3553/7103/81/1289/2670/3691/10457/10518/310/3695/10516/4240/3687/3339/3491/10666/7070/5578/58494/3084/11093/120425/7412/10085/11082/79987/83700/2200/3611/3481/7148/1281/83660/3913/6403/977/9636/9358/7106",68
"GO:0023023","GO:0023023","MHC protein complex binding","23/4678","37/18662",0.621621621621622,2.47984239048797,5.21134760798209,1.95467981480309e-06,0.000695324797530444,0.00067753304589819,"920/972/3326/975/3824/3821/55080/925/931/3119/3123/3117/3127/3111/3108/3122/3115/3113/6892/3120/3118/3112/3109",23
"GO:0030020","GO:0030020","extracellular matrix structural constituent conferring tensile strength","25/4678","42/18662",0.595238095238095,2.37459028074676,5.15810208677316,2.21132925884568e-06,0.000695324797530444,0.00067753304589819,"1298/1307/1299/1277/1303/1297/1294/1300/81578/1289/1291/1292/1295/1278/1281/169044/255631/1296/80781/7373/1287/1305/1302/1306/131873",25
"GO:0008201","GO:0008201","heparin binding","70/4678","170/18662",0.411764705882353,1.64265774715187,4.86848821550043,2.74831935782784e-06,0.000695324797530444,0.00067753304589819,"3075/4353/10178/3730/65078/2263/2260/56925/5788/334/151887/51816/8829/1511/2259/6422/333/1311/5764/5118/1842/6355/7448/6649/4192/64094/1839/7060/2246/6146/8828/1490/4053/652/14/57045/1289/10631/5270/10457/2660/5046/3491/5792/129804/9353/84870/26577/7123/200879/4043/2200/7148/7059/6373/30008/7423/6403/143282/2147/6586/4753/339366/7058/6402/5549/1305/64093/80739/8292",70
"GO:0023026","GO:0023026","MHC class II protein complex binding","18/4678","27/18662",0.666666666666667,2.65954111443637,4.99099411069986,6.19533251971662e-06,0.00130618260624025,0.00127276041764705,"920/972/3326/975/931/3119/3123/3117/3127/3111/3108/3122/3115/3113/3120/3118/3112/3109",18
"GO:0005539","GO:0005539","glycosaminoglycan binding","90/4678","240/18662",0.375,1.49599187687046,4.47294598065984,1.2079751071601e-05,0.00218298358651076,0.00212712609095411,"3075/4353/10178/3730/960/1462/65078/2263/2260/56925/5788/334/8425/151887/51816/8829/1511/2259/57214/6422/333/1311/5764/10392/5118/1842/9806/6355/7448/6649/4192/64094/1839/3003/7060/2246/1809/50512/6146/8828/1490/4053/652/14/57045/1289/10631/5270/55576/10457/23213/2660/5046/145864/3491/5792/129804/9353/1404/84870/176/114548/26577/7123/200879/4043/133584/2200/7148/2675/7059/6373/30008/7423/6403/143282/2147/633/6586/4753/339366/7058/375790/6402/5549/1305/64093/143903/80739/8292",90
"GO:0005044","GO:0005044","scavenger receptor activity","17/4678","26/18662",0.653846153846154,2.6083960930049,4.74662792707936,1.66759743524241e-05,0.00263688844447706,0.00256941657456429,"949/8578/3959/7448/10216/4035/51554/55576/5168/84466/81035/58191/51435/284297/5167/177/91179",17
"GO:0032395","GO:0032395","MHC class II receptor activity","9/4678","10/18662",0.9,3.5903805044891,4.73895644305389,3.00994264693144e-05,0.00423064160929807,0.00412238928603124,"3119/3123/3117/3111/3122/3113/3120/3118/3112",9
"GO:1901681","GO:1901681","sulfur compound binding","95/4678","266/18662",0.357142857142857,1.42475416844805,4.03551183241604,6.49515663740176e-05,0.00821637314631323,0.00800613518147101,"3075/4353/115939/10178/3730/51106/65078/2263/2260/56925/5788/2950/334/151887/51816/8829/1511/63935/2937/2259/6422/10994/333/1311/5764/5118/1842/5023/6355/7448/6649/4192/64094/1839/7060/2246/1809/6146/8828/1490/4053/652/3276/14/57045/1289/10631/84787/5270/55501/10457/2660/5046/3491/5792/129804/9353/84870/80142/79723/29104/26577/7123/200879/4043/2200/7148/2675/7059/6373/30008/7423/6403/143282/2147/79777/51363/6586/4753/339366/7058/375790/6402/5549/6817/79690/55753/1305/5167/64093/80739/8292/2946/84320/24142",95
