"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007409","BP","GO:0007409","axonogenesis","157/4115","472/18860",0.332627118644068,1.5245072801038,6.09645165092304,4.30015945175711e-09,8.56971463391028e-06,7.42910783463246e-06,"51330/51265/1951/2534/3730/7869/1272/65078/2042/5588/1496/2263/4756/2736/4854/5063/5794/54437/9706/57556/7042/8829/10857/4168/79006/333/1954/5864/5803/2737/2625/6387/219699/9211/1949/113246/5754/9037/3676/85440/9890/3925/8828/63923/1959/4693/5605/64919/6608/1123/2258/348/55201/3996/4147/51761/4628/2048/4853/2045/10505/10154/6812/84665/144165/1009/494470/55811/1382/10500/151449/152330/91653/9353/2044/2676/26230/4915/256158/4851/57689/5058/9638/85449/1909/56978/223117/7070/64221/5578/7345/55740/140578/118813/7074/26053/4882/8997/6285/57731/84446/374946/22854/4009/80128/23114/323/123016/5979/55701/4130/57611/11280/2668/54910/6091/4135/2596/3913/682/1267/29882/627/57453/8408/139065/220202/575/8633/2131/1436/2049/22906/4692/9241/6586/1946/84189/4753/6092/23768/5649/25894/64218/54413/84628/51466/23654/8831/26037/23303/4914/51062/2664/64283/115557/11344",157
"GO:0030198","BP","GO:0030198","extracellular matrix organization","118/4115","331/18860",0.356495468277946,1.63390146578908,6.14655290161242,4.56756130927393e-09,8.56971463391028e-06,7.42910783463246e-06,"23187/23332/6624/4791/2192/8516/2191/4313/64147/8425/151887/1215/7042/7093/1511/89932/55612/4324/3038/55512/2068/333/7040/1311/3249/165/1842/81621/1277/7448/1303/64094/4015/4358/84695/7045/2331/8434/6662/4016/1289/10585/2670/10266/4147/10631/4629/4017/11095/23213/140766/11107/144165/4060/10516/10609/60681/1291/81794/1805/83872/1513/90102/6423/171019/137902/4851/2620/871/63894/101/25890/4325/9508/57188/4643/861/146206/11093/25903/57326/323/133584/1278/4239/26585/10653/7148/1281/84168/10491/1296/10218/3913/7177/30008/92949/64856/100287171/2131/2621/7490/23768/169611/339366/79875/7373/4763/81031/9719/4326/64093/23127/1302/780/131873/84627/7124",118
"GO:0043062","BP","GO:0043062","extracellular structure organization","118/4115","332/18860",0.355421686746988,1.62898007583188,6.10820382965894,5.58224522809381e-09,8.56971463391028e-06,7.42910783463246e-06,"23187/23332/6624/4791/2192/8516/2191/4313/64147/8425/151887/1215/7042/7093/1511/89932/55612/4324/3038/55512/2068/333/7040/1311/3249/165/1842/81621/1277/7448/1303/64094/4015/4358/84695/7045/2331/8434/6662/4016/1289/10585/2670/10266/4147/10631/4629/4017/11095/23213/140766/11107/144165/4060/10516/10609/60681/1291/81794/1805/83872/1513/90102/6423/171019/137902/4851/2620/871/63894/101/25890/4325/9508/57188/4643/861/146206/11093/25903/57326/323/133584/1278/4239/26585/10653/7148/1281/84168/10491/1296/10218/3913/7177/30008/92949/64856/100287171/2131/2621/7490/23768/169611/339366/79875/7373/4763/81031/9719/4326/64093/23127/1302/780/131873/84627/7124",118
"GO:0050851","BP","GO:0050851","antigen receptor-mediated signaling pathway","84/4115","215/18860",0.390697674418605,1.79065811410325,6.15954496471106,6.63760190555364e-09,8.56971463391028e-06,7.42910783463246e-06,"974/2534/933/11119/26228/9564/29085/2213/4208/581/29760/4792/4773/660/1445/25865/6461/2625/4790/9404/975/10384/3702/27086/7535/2633/10657/54900/5335/10385/10616/1236/23149/84106/9840/971/123920/8631/8525/925/7070/931/121665/53347/23308/917/115352/50852/4332/1493/114625/915/11314/3635/148823/926/387357/257144/940/3119/785/3932/4068/10572/11118/3123/5336/84433/919/916/150771/54923/3105/3539/6966/28638/3494/3501/3493/3500/3502/3507/3115/6967",84
"GO:0045229","BP","GO:0045229","external encapsulating structure organization","118/4115","333/18860",0.354354354354354,1.62408824377233,6.06998236377198,6.81109095049299e-09,8.56971463391028e-06,7.42910783463246e-06,"23187/23332/6624/4791/2192/8516/2191/4313/64147/8425/151887/1215/7042/7093/1511/89932/55612/4324/3038/55512/2068/333/7040/1311/3249/165/1842/81621/1277/7448/1303/64094/4015/4358/84695/7045/2331/8434/6662/4016/1289/10585/2670/10266/4147/10631/4629/4017/11095/23213/140766/11107/144165/4060/10516/10609/60681/1291/81794/1805/83872/1513/90102/6423/171019/137902/4851/2620/871/63894/101/25890/4325/9508/57188/4643/861/146206/11093/25903/57326/323/133584/1278/4239/26585/10653/7148/1281/84168/10491/1296/10218/3913/7177/30008/92949/64856/100287171/2131/2621/7490/23768/169611/339366/79875/7373/4763/81031/9719/4326/64093/23127/1302/780/131873/84627/7124",118
"GO:0060348","BP","GO:0060348","bone development","85/4115","220/18860",0.386363636363636,1.77079421186347,6.075033718094,1.00116846066874e-08,1.04972513101118e-05,9.10009437671009e-06,"56603/7305/4057/4653/2263/2261/57560/2121/7289/4208/2778/5358/54/55512/7040/1954/1311/6424/2737/4969/2648/1277/7468/51715/5191/4015/27086/60676/3953/8111/63923/7291/860/652/6662/10234/5914/23508/4853/80263/7020/23213/4664/10516/1291/1893/56034/6715/871/2132/654/4325/8817/51738/124565/4882/4041/9249/158326/2200/8642/4665/26585/79001/4054/1281/7059/11214/79095/5916/54796/162466/144347/100533183/84314/2131/633/338773/359845/344901/6261/5154/1305/645811/632",85
"GO:0060271","BP","GO:0060271","cilium assembly","136/4115","408/18860",0.333333333333333,1.52774402592143,5.69316205276021,3.99938787846177e-08,3.59430702048614e-05,3.1159140749339e-05,"51364/80199/54903/30845/79645/8481/4134/57545/51474/10806/9696/84217/57560/29105/25930/7419/11158/11159/51668/51314/5990/8655/26074/25776/25809/11020/51098/29070/23059/23322/93233/79846/26261/95681/9148/27077/90410/83871/22897/57562/5992/22858/51715/8382/25981/84173/49856/89891/80127/112752/159686/84902/84080/1769/583/64518/65999/64792/79363/22873/57639/80210/4957/79969/85462/4750/51626/55329/144165/85478/585/2622/22994/207/51057/79582/51256/107080638/221322/55262/2934/56623/4851/54970/79925/123872/65062/118491/54768/199221/56683/9114/79140/755/221908/197335/200373/129880/7802/27152/54919/123016/11092/90522/352909/4735/79867/55130/116840/220136/257236/51134/201625/26259/375189/283232/79874/63917/84314/225689/126075/89876/146754/8558/51259/9742/144535/85302/80217/80184/9851/79583/255758/26140/116143/161582",136
"GO:0051216","BP","GO:0051216","cartilage development","81/4115","216/18860",0.375,1.7187120291616,5.61221246190547,1.01138157402896e-07,7.95325185277025e-05,6.89469465137375e-05,"85477/5310/6591/864/960/2261/57560/2121/2260/4208/7481/7042/4773/2254/5595/55512/7227/7040/1311/2737/4969/2625/657/2648/1277/4192/55553/4256/2202/5396/656/1490/7045/860/583/652/6662/8200/57045/5914/4017/4613/4856/23213/4060/1291/1893/1513/7483/6423/871/2132/654/8817/392255/51738/861/4882/2487/57326/26585/4054/1281/7059/7480/54360/50515/5916/4094/144347/100533183/64764/2131/633/389084/359845/9241/8372/10865/65992/1302",81
"GO:0044782","BP","GO:0044782","cilium organization","143/4115","441/18860",0.324263038548753,1.48617275990996,5.45756295550456,1.22048918965004e-07,8.53121943565381e-05,7.39573624745834e-05,"51364/80199/54903/30845/440193/79645/8481/4134/57545/51474/10806/9696/84217/57560/29105/25930/7419/11158/11159/51668/51314/5990/8655/26074/25776/25809/11020/51098/29070/23059/23322/93233/79846/26261/95681/9148/27077/90410/83871/22897/57562/5992/22858/51715/8382/25981/84173/49856/5311/89891/80127/112752/159686/84902/84080/1769/583/64518/65999/64792/79363/22873/57639/80210/4957/79969/85462/4750/54839/51626/55329/144165/85478/585/2622/22994/207/51057/79582/51256/107080638/221322/55262/84131/2934/56623/4851/79096/54970/79925/123872/65062/118491/145483/54768/199221/56683/9114/79140/755/221908/197335/200373/129880/7802/27152/54919/123016/11092/90522/352909/4735/79867/55130/116840/220136/257236/51134/201625/26259/375189/283232/79874/63917/84314/225689/126075/89876/146754/8558/51259/9742/144535/85302/124602/80217/80184/9851/79583/255758/26140/116143/161582",143
"GO:0045071","BP","GO:0045071","negative regulation of viral genome replication","28/4115","50/18860",0.56,2.566609963548,5.85967258796168,1.46389597072124e-07,9.09664293913794e-05,7.88590334858882e-05,"4057/5610/4938/164668/56829/4940/4939/64135/200315/200316/684/10155/55337/91543/8638/10318/24138/4599/63901/3669/8815/3434/8519/9636/7124/60489/140564/27350",28
"GO:0007224","BP","GO:0007224","smoothened signaling pathway","63/4115","157/18860",0.401273885350318,1.83913134330668,5.57758238766459,1.59057498538416e-07,9.09664293913794e-05,7.88590334858882e-05,"80199/54903/57545/55733/2263/57560/5566/2121/2736/7289/51668/11020/51098/2254/23059/23322/64927/6422/1954/23770/2737/27077/90410/83871/2735/5992/5396/8643/4693/860/84662/6608/79363/22873/5270/80210/5082/2622/5567/51057/221322/2719/26091/199221/755/27152/64399/374654/7846/4735/79867/7480/132884/139065/2131/84439/9241/283643/9742/5167/916/79583/147040",63
