"","Overall"
"ENSG00000136514",100
"ENSG00000099889",72.8501197529308
"ENSG00000187950",70.7996236775679
"ENSG00000138768",67.6685061025866
"ENSG00000163145",67.2657900157723
"ENSG00000020181",66.4248110822878
"ENSG00000213722",65.3832093785453
"ENSG00000156471",63.3102231186184
"ENSG00000124198",62.3060234729013
"ENSG00000197852",62.3060234729013
"ENSG00000106524",61.4144463919805
"ENSG00000135766",60.9616052734333
"ENSG00000273403",59.9215339666619
"ENSG00000069509",58.83146350687
"ENSG00000167522",57.4599182466378
"ENSG00000028116",56.929410454205
"ENSG00000156219",56.7890699997091
"ENSG00000138600",55.5819895470721
"ENSG00000135316",54.9508488102912
"ENSG00000183323",53.5797454053639
"ENSG00000115604",53.4296158902235
"ENSG00000156103",53.2467955714475
"ENSG00000229694",53.1324845581747
"ENSG00000147065",53.0922266602337
"ENSG00000265542",52.4896004033783
"ENSG00000146147",52.2797176351948
"ENSG00000174348",52.2797176351948
"ENSG00000137819",52.2797176351947
"ENSG00000170961",52.105274865856
"ENSG00000170889",52.0943986971971
"ENSG00000167106",52.035799823522
"ENSG00000106133",52.035799823522
"ENSG00000137106",51.9012958340524
"ENSG00000182667",51.6957721486439
"ENSG00000164466",51.5598626300142
"ENSG00000116171",50.9363592149026
"ENSG00000135446",50.6419837568205
"ENSG00000035681",50.2205975040968
"ENSG00000141425",50.1674931809221
"ENSG00000100934",49.5966217067944
"ENSG00000090006",48.9422080657212
"ENSG00000188157",48.9422080657211
"ENSG00000198838",48.9422080657211
"ENSG00000109066",48.8714606450646
"ENSG00000146223",48.7637316181557
"ENSG00000148187",48.5418419806419
"ENSG00000114166",48.3189569789847
"ENSG00000271538",48.3189569789847
"ENSG00000136867",48.1406781797554
"ENSG00000134153",48.0990797932686
"ENSG00000123643",47.9789547229356
"ENSG00000182132",47.5639732761881
"ENSG00000143570",47.4152429032169
"ENSG00000026950",47.348622415432
"ENSG00000170185",47.296825196737
"ENSG00000125652",46.913525778394
"ENSG00000142552",46.913525778394
"ENSG00000163444",46.913525778394
"ENSG00000183579",46.913525778394
