"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa03008","Genetic Information Processing","Translation","hsa03008","Ribosome biogenesis in eukaryotes","29/2150","32/3905",0.90625,1.64600290697674,4.06089057405269,1.45454659542126e-05,0.00488727656061543,0.00456268300458458,"55341/10885/7514/102157402/22803/1457/55916/10940/55131/23560/23195/54464/84128/55127/51077/83732/29889/134430/55226/79631/84916/166378/23160/26354/84135/65083/9790/51068/9724",29
"hsa03083","Genetic Information Processing","Chromosome","hsa03083","Polycomb repressive complex","37/2150","44/3905",0.840909090909091,1.52732558139535,3.89305779934729,4.28035141860439e-05,0.00719099038325537,0.00671339327760057,"1387/3720/10138/6322/7321/63035/2033/7528/10389/2146/7323/11335/85015/7322/10238/54881/121536/80816/3607/22823/55252/10600/84108/5928/648/1876/171023/22992/80012/23512/84333/54880/7874/84458/7027/57713/55777",37
"hsa04910","Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","62/2150","82/3905",0.75609756097561,1.37328417470221,3.78076714035924,8.22754359728228e-05,0.00921484882895615,0.00860283505961445,"5256/5601/5291/3632/32/8569/2932/10580/1399/5594/6655/5836/5106/3551/6009/51422/6198/10891/867/2998/5576/868/6654/10000/8503/23433/5290/5105/2002/91860/5894/5562/5509/3845/9470/5170/5295/2308/1977/5506/3098/673/3099/3101/5584/3636/1398/5604/3667/79660/2885/122809/5571/9021/8660/5501/1978/5770/801/2475/4893/5500",62
"hsa04140","Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","68/2150","93/3905",0.731182795698925,1.328032008002,3.54337261811223,0.000222074882245155,0.0159850995336896,0.0149234325220535,"8837/3920/9821/5601/5291/9474/81671/55102/5289/8417/55054/51100/9342/5594/3091/115201/55578/5516/8887/6009/10652/9110/6198/64689/57448/64121/10000/8503/5290/10133/8678/440275/5894/5562/3845/1965/1514/10241/10010/55014/5861/23710/81631/5170/5295/9140/203228/64798/22808/23001/64419/5580/1508/5604/3667/598/5728/83452/664/140775/29110/8660/4077/3146/30849/7405/2475/4893",68
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","66/2150","90/3905",0.733333333333333,1.33193798449612,3.52587174234583,0.000237873504965619,0.0159850995336896,0.0149234325220535,"996/1387/10926/1870/8454/23063/5525/9319/8243/5527/8556/5933/2932/23047/546/4998/51433/23594/8318/8317/4616/2033/10735/5934/5516/898/9126/26271/1871/5528/7272/7029/4999/5000/10274/23244/1017/1026/5111/902/9700/4193/4609/57082/5925/114799/4089/85417/1111/64682/5529/9184/701/25836/5885/7534/7529/4088/7532/157570/27085/545/9134/246184/7027/5591",66
"hsa03013","Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","48/2150","64/3905",0.75,1.36220930232558,3.23342660348618,0.000727586134206753,0.0407448235155782,0.0380387136830899,"23633/23279/55706/23534/3843/55746/7514/3842/81929/51194/10762/8563/55916/3839/22794/3837/4927/55161/4928/57122/9631/3836/22916/348995/1434/57510/9972/57187/8021/10526/11097/4686/53371/9818/26019/5903/25909/23165/129401/59343/51808/51068/3838/11260/6612/3840/55705/10527",48
"hsa04141","Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","68/2150","96/3905",0.708333333333333,1.28653100775194,3.14584507921072,0.000988293251498317,0.0474380760719192,0.0442874269092479,"7095/51360/11231/5601/8454/29927/4287/23471/6400/7321/3998/54431/56681/56605/55741/111089941/23193/7494/10484/10483/84061/5611/55757/7323/4121/9532/10802/6747/80267/22926/6185/5887/6745/821/468/10277/7322/55829/7326/1965/9695/29979/56886/79139/9373/10427/79748/8720/23190/10299/10525/9871/55768/51128/824/201595/6184/165324/9632/55432/55666/7327/5071/4217/30001/10905/51465/81567",68
"hsa00670","Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","20/2150","23/3905",0.869565217391304,1.5793731041456,3.08411140185417,0.00122574188726683,0.0488137229803055,0.045571708797403,"55349/27430/10797/4522/191/1491/27232/23743/160428/10840/635/23382/2618/875/102724560/441024/10768/4144/6470/4524",20
"hsa04931","Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","48/2150","65/3905",0.738461538461539,1.34125223613596,3.07045082333306,0.00130751043697247,0.0488137229803055,0.045571708797403,"5601/5291/7132/6196/32/2932/5836/5106/3551/51422/6198/6945/10891/1374/2998/10000/6513/8503/1385/5290/5105/9945/5562/5509/948/9882/5170/5295/2308/5506/133522/90993/5580/6774/3667/5581/5728/79660/6197/5781/5571/9021/8660/5501/5465/5770/2475/5500",48
"hsa04114","Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","47/2150","64/3905",0.734375,1.33382994186047,2.98008529356215,0.00178678216222538,0.0600358806507726,0.0560485351940171,"996/8454/9748/5525/6196/8243/23291/5527/5241/6790/51433/3710/5594/5516/898/5532/9126/26271/1432/5528/80315/5533/3709/1017/91860/9700/132864/109/5530/817/64682/5529/5603/115/245711/7534/8945/7529/5604/7532/9134/246184/6197/5501/801/5500/5534",47
"hsa04120","Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","61/2150","87/3905",0.701149425287356,1.2734830259289,2.85500987543519,0.00265045173605943,0.0809592530287244,0.0755822600330823,"996/9690/330/55236/8554/8452/1161/23327/8454/4734/7321/23291/3093/83737/10075/51433/4214/331/51366/8453/4591/7323/55294/329/9354/867/7337/868/57448/22954/11059/10054/8924/10277/7322/7326/7428/4193/8916/8451/64326/9039/89910/64682/9320/6921/8450/55585/25898/8945/8065/10477/7324/246184/7334/9021/7327/5071/6477/55958/51465",61
"hsa04066","Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","46/2150","64/3905",0.71875,1.30545058139535,2.72674398363812,0.00407135880842118,0.113425424775363,0.105892157215095,"1387/3459/5291/7037/2023/1906/8569/5594/3162/2033/3091/5230/2321/5054/8453/6198/2034/10000/6513/8503/7010/5290/1026/7428/3939/54583/9470/7099/1950/405/817/5295/1956/1977/284/6921/3098/3099/3570/3101/1536/6774/5604/5209/1978/2475",46
"hsa05130","Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","75/2150","111/3905",0.675675675675676,1.2272155876807,2.68773546647164,0.00438848369666584,0.113425424775363,0.105892157215095,"355/10061/5601/26999/23118/10787/7132/387/6093/998/113457/7430/5594/3551/8797/10382/8976/653857/1432/8936/10802/10096/3554/10672/8795/3071/55930/9826/10810/9475/9071/5879/10006/7099/8737/5861/10097/10427/7009/2212/2768/3688/114609/3606/9871/112714/5603/9069/257397/4690/10163/840/84790/2353/10972/147179/54205/4615/283446/10458/9632/79861/5781/3059/5062/3654/57121/4646/23365/4644/51135/7278/1902/1147/4671",75
"hsa04520","Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","42/2150","58/3905",0.724137931034483,1.31523656776263,2.67685636268328,0.00478983458655735,0.114956030077376,0.107321105773992,"889/1387/7414/1495/387/6093/998/10580/5594/2033/1457/4233/8976/5818/8936/11235/5906/5908/5787/4301/10810/9475/4008/5879/9411/8826/4089/52/1956/56288/5795/2241/10163/7048/4088/5797/57493/10458/7525/25945/29119/5770",42
"hsa04152","Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","51/2150","73/3905",0.698630136986301,1.26890729531698,2.5667693132159,0.00651593612860843,0.145956969280829,0.136263085356162,"1080/79602/5291/23216/5525/5523/32/5527/55437/10890/55012/23411/5106/81617/29904/5862/5516/6009/51422/6198/10891/1374/2998/5528/3156/10000/8503/1385/2309/51552/148/5290/5105/5468/5562/948/51719/5170/5295/2308/5529/90993/51094/3667/5209/5571/8660/1978/2475/5520/92335",51
"hsa04070","Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","47/2150","67/3905",0.701492537313433,1.27410621312044,2.50460573068222,0.00786468251494291,0.156824530237078,0.146408865948149,"9108/5286/55300/5291/8776/1606/3632/5289/8871/80271/8898/3710/3705/8760/160851/54928/8395/9110/200576/8503/5290/4952/3709/91860/3612/3706/9107/3613/5295/23262/5305/253430/3628/55529/8867/113026/117283/64419/3636/79837/4534/5728/9807/801/3633/22908/5297",47
"hsa03022","Genetic Information Processing","Transcription","hsa03022","Basal transcription factors","18/2150","22/3905",0.818181818181818,1.48604651162791,2.53011959270948,0.00831041570517176,0.156824530237078,0.146408865948149,"9519/6873/6882/2965/2967/6874/902/27097/129685/6875/2966/728340/6877/10629/2957/83860/2961/6884",18
"hsa04218","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","69/2150","103/3905",0.669902912621359,1.21673063897042,2.46699597846533,0.00840131411984345,0.156824530237078,0.146408865948149,"1870/4361/5291/10758/28996/4775/23291/5933/54822/3710/23411/4616/5594/4605/5934/4683/898/5054/6009/5532/5608/10114/1432/1871/5810/10111/10000/8503/2309/5533/5290/3709/1017/1026/91860/5894/3845/2113/4193/3364/4609/5530/5925/5295/85417/1111/2308/144715/5603/22808/5928/824/204851/7048/8945/4088/5604/5728/545/9134/5501/1978/132660/801/2475/91750/4893/5500/5534",69
"hsa04071","Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","57/2150","84/3905",0.678571428571429,1.23247508305648,2.38376319360581,0.010775482618039,0.190555903140059,0.177899934635769,"637/8439/5601/5291/2773/5525/7132/387/6093/5523/5337/5527/10558/55012/5594/9517/4363/5516/427/1432/5528/3827/10000/8503/10672/5290/29095/81537/2770/94101/5894/3845/9475/5879/5170/29956/8560/5295/2768/5529/2776/5603/2207/130367/166929/171546/5604/1901/5581/5728/253782/56624/4217/259230/4893/1903/5520",57
"hsa04150","Environmental Information Processing","Signal transduction","hsa04150","mTOR signaling pathway","63/2150","94/3905",0.670212765957447,1.21729341909946,2.36007932328697,0.0113671213291573,0.190967638329843,0.178284324004678,"5291/57600/7132/387/6196/55437/2932/81929/5594/9681/6655/9675/9663/81617/8140/7976/3551/6009/6198/8649/7474/523/6654/64121/10000/8503/6446/79109/5290/6249/5894/5562/3845/7482/23175/9470/51719/5170/245973/5295/526/1977/201163/528/64798/673/7484/7855/54468/8323/5604/3667/5728/220441/153129/6197/2885/1978/2475/4893/1147/96459/92335",63
"hsa00562","Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","37/2150","52/3905",0.711538461538462,1.29235241502683,2.34879128658034,0.0124812894037849,0.199700630460558,0.186437305379845,"9108/5286/55300/5291/8776/3632/5289/8871/80271/8898/3705/8395/9562/9110/200576/5290/4952/3612/3706/9107/3613/23262/5305/253430/3628/8867/113026/117283/64419/3636/79837/4534/5728/9807/3633/22908/5297",37
"hsa04068","Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","56/2150","83/3905",0.674698795180723,1.22544130008406,2.2975382965503,0.0135943012550178,0.20762205553118,0.193832620765325,"1387/5601/5291/23411/4616/5594/2033/6655/5106/6789/5934/3551/51422/1432/604/6654/10000/8503/6446/2309/5290/1017/5105/1026/5894/5562/3845/4193/3586/1950/23710/5170/4089/80854/5295/9140/1956/85417/2308/5603/673/7048/4088/6774/5604/3667/1901/5728/664/2885/5571/4303/8660/7874/4893/1147",56
"hsa05131","Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","90/2150","140/3905",0.642857142857143,1.16760797342193,2.23517626251484,0.0152533981290386,0.221987311119923,0.207243792962836,"7414/5601/5291/8454/23118/9474/7132/387/6093/998/7321/23291/5289/2932/55054/58484/3710/1399/5594/9252/8767/3551/8976/653857/6198/7323/1432/8936/10096/3554/64121/10000/8503/2309/5290/11335/3709/718/8678/1729/7322/9475/4193/5879/10241/7099/7094/8737/54874/10097/81631/8915/92610/5295/9140/1956/3688/3606/2308/9844/3098/5603/257397/10163/3099/3101/3678/113026/824/5580/8945/1398/7336/5747/5581/598/54205/10892/4615/11146/664/7334/3059/29110/4303/30849/2475/1147/7335/4671",90
"hsa05100","Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","31/2150","43/3905",0.720930232558139,1.30941049215792,2.25786880698857,0.0162894990109627,0.221987311119923,0.207243792962836,"7414/1495/5291/387/998/79658/1785/1399/858/857/4233/8976/653857/867/8936/10096/8503/5290/5879/10097/1213/5295/3688/9844/10163/3678/1398/5747/3059/29119/23607",31
"hsa03015","Genetic Information Processing","Translation","hsa03015","mRNA surveillance pathway","36/2150","51/3905",0.705882352941177,1.28207934336525,2.24406840360425,0.0165169130297562,0.221987311119923,0.207243792962836,"5525/26986/5523/5527/10914/8761/55012/1477/55916/2935/5516/22794/11052/8732/10767/5528/22916/64895/9887/51692/2107/55339/4686/26019/124540/5529/23049/51585/53981/11051/10978/23283/5501/5500/5520/100529063",36
"hsa04936","Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","45/2150","66/3905",0.681818181818182,1.23837209302326,2.16149330942318,0.0197677942545461,0.255460725751057,0.238494035945536,"79602/355/5601/23118/6416/7132/32/2932/23411/9663/3551/51422/727/5608/10891/1374/1432/10000/2309/718/3929/5562/23175/7099/8737/114609/2308/5603/257397/51094/51/719/4615/713/23765/5571/29110/3654/5465/125/4217/51135/1147/721/126",45
"hsa05211","Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","38/2150","55/3905",0.690909090909091,1.25488372093023,2.10682591917576,0.0231345515603853,0.280079328353507,0.261477568450329,"1387/5291/7030/998/1399/5594/2033/6655/3091/4233/8453/6654/2034/5906/10000/6513/8503/5290/1026/5908/5894/3845/7428/2113/54583/5879/405/5295/6921/201163/673/7039/1398/5604/2885/5781/5062/4893",38
"hsa05135","Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","58/2150","88/3905",0.659090909090909,1.19709302325581,2.0696031725484,0.0240204112542756,0.280079328353507,0.261477568450329,"8935/5601/5291/23118/5586/6416/387/6093/998/6196/4775/2932/58484/1399/5594/8874/4210/3551/8976/653857/8395/6347/5608/1432/10096/10000/8503/2185/5290/10451/9475/5879/3586/7099/10097/9815/2212/5295/3688/3606/9844/2776/5603/10163/3678/1398/5604/5747/2353/147179/4615/10458/6197/29110/3654/23365/51135/1147",58
"hsa04930","Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","21/2150","28/3905",0.75,1.36220930232558,2.12875797987849,0.0241735134590824,0.280079328353507,0.261477568450329,"5601/5291/5594/3551/8503/5290/5295/774/775/3098/3099/3101/5580/3667/5581/122809/9021/8660/3767/777/2475",21
"hsa00100","Metabolism","Lipid metabolism","hsa00100","Steroid biosynthesis","11/2150","13/3905",0.846153846153846,1.53685152057245,2.14572974664074,0.0269701537902194,0.298846421105654,0.278998225217685,"6646/2222/3988/6309/1718/51478/3930/50814/4047/1717/120227",11
"hsa04211","Organismal Systems","Aging","hsa04211","Longevity regulating pathway","34/2150","49/3905",0.693877551020408,1.26027527289986,2.02907458864408,0.0283277274830237,0.298846421105654,0.278998225217685,"79602/9821/5291/9474/27244/23411/6009/51422/6198/10891/1386/10000/8503/1385/2309/5290/468/5468/5562/3845/9470/109/5295/2308/1977/90993/51094/115/3667/5571/8660/1978/2475/4893",34
"hsa05161","Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","63/2150","97/3905",0.649484536082474,1.17964516902421,1.9828438474944,0.0292183561461595,0.298846421105654,0.278998225217685,"1387/1870/637/355/5601/5291/23118/6416/4775/57506/4214/5594/2033/6655/3551/898/5608/1432/1871/6654/1386/10000/8503/1385/2185/5290/1017/1026/2002/468/5894/5111/3845/7099/4609/7097/5925/4089/3454/5295/114609/5603/90993/673/3716/7048/7534/6778/7529/4088/6774/5604/2353/54205/4615/9134/2885/29110/3654/51135/4893/1147/1654",63
"hsa04550","Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","51/2150","77/3905",0.662337662337662,1.20299003322259,1.99099278734558,0.0293509877871625,0.298846421105654,0.278998225217685,"3720/5291/55183/2932/7994/5978/5594/7976/1432/3977/4090/7474/90/10000/8503/5290/5894/3845/7482/3572/324/6926/91/6498/9314/4609/2247/658/463/4089/9869/4211/5295/84108/5603/7484/3716/56916/7855/8323/4088/648/6774/8313/5604/2885/84333/6657/659/5462/4893",51
"hsa04540","Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","32/2150","46/3905",0.695652173913043,1.26349848331648,1.98955166009989,0.0313562643680026,0.309873671401437,0.289293089215627,"153/2983/2773/113457/3710/5594/6655/10382/5159/6654/3709/2770/5894/3845/5156/109/1950/1956/112714/2977/2776/115/2982/84790/5604/10746/2885/79861/5592/7278/1902/4893",32
"hsa04137","Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","41/2150","61/3905",0.672131147540984,1.22077773541746,1.92337548543759,0.0352130694154371,0.338045466388196,0.315593825136849,"5601/7030/10075/23786/3091/1457/22879/665/8887/5869/2309/64786/10133/8678/55288/468/3845/1965/9958/10241/9101/23710/81631/5868/221960/9868/22808/10370/55669/598/9804/664/345778/29110/5071/6667/4286/4077/6477/54708/4893",41
"hsa05132","Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","86/2150","137/3905",0.627737226277372,1.14014598540146,1.84808129794976,0.0384533679407614,0.358898100780439,0.335061510127102,"4074/5286/330/5601/5291/26999/23118/10787/6416/7132/387/10640/998/113457/1781/5289/1785/58484/5594/3839/8767/3551/8797/10382/8976/653857/5608/329/5869/1432/3836/10096/10000/8795/5290/3071/9367/1434/79026/5420/5894/51164/10810/55207/9475/9648/5879/10006/7099/4609/8737/7097/10097/5868/51143/114609/3606/112714/9844/5603/257397/1780/6990/840/84516/26263/84790/3800/197259/5604/2353/3799/54205/4615/10333/79861/112574/64746/3654/113146/3840/4646/51135/7278/1147/4671",86
"hsa01521","Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","34/2150","50/3905",0.68,1.23506976744186,1.85142090293153,0.042395003618563,0.384992465292897,0.359422790279709,"5291/2932/5594/6655/4233/6198/5159/6654/10000/8503/2309/5290/3791/5894/3845/5156/9470/2247/1950/5295/1956/1977/673/3570/3716/7039/6774/5604/598/5728/2885/1978/2475/4893",34
"hsa04810","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","85/2150","136/3905",0.625,1.13517441860465,1.77576899873715,0.0450106441690762,0.397988853705516,0.371556010038358,"7414/5291/26999/4659/10787/387/6093/2255/998/3655/7430/1399/5594/6655/8874/28984/8976/653857/727/8395/8936/730/5159/3827/200576/10096/6654/10000/8503/10672/5290/3071/1729/5894/3845/10451/9475/5156/324/5879/5962/22801/10097/3685/2250/2247/1950/2252/8826/91807/85464/8515/3680/5295/340156/2768/1956/4478/1730/3688/5305/51571/673/22808/10163/2909/3678/1073/79837/1398/5604/5747/3684/55970/10458/5062/1129/221178/57121/5501/23365/1902/4893/5500/3690",85
