"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa03008","Genetic Information Processing","Translation","hsa03008","Ribosome biogenesis in eukaryotes","44/2511","49/4460",0.897959183673469,1.59494144133161,4.75269456919989,3.28843145564338e-07,0.000110491296909618,0.000102460601144257,"51096/55341/51602/55781/10885/1459/6949/25996/102157402/22803/1457/55916/10940/10775/55131/23560/55813/23195/54464/84128/55127/10199/83732/10799/5901/29889/134430/55226/92856/79631/84916/28987/166378/10556/10557/23160/26354/84135/65083/9790/51068/55272/55505/9724",44
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","85/2511","111/4460",0.765765765765766,1.36014150351068,4.36090003909298,5.4946404867716e-06,0.000923099601777629,0.000856007149518102,"996/10926/1870/8454/23063/5525/9319/8243/5527/8556/5933/2932/23047/546/4998/51433/23594/8318/25/8317/4616/4174/2033/994/10735/5934/5516/898/9126/7531/26271/1871/896/5528/7272/7029/4999/5000/991/10274/23244/1017/1026/9088/1032/151648/5111/1875/891/902/9700/4193/4609/57082/5925/114799/4089/113130/1111/64682/5529/9184/701/9133/25836/9232/5885/7534/119504/5347/7529/4088/81620/7532/983/157570/27085/545/9134/246184/9212/51434/7027/1874/5591",85
"hsa05130","Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","93/2511","129/4460",0.720930232558139,1.28050531151306,3.66925610519634,0.000129867193317579,0.0145451256515689,0.0134879611305275,"55971/578/10061/5601/26999/23118/10787/7132/387/6093/998/60/113457/2017/7430/25/5594/4627/3551/8797/4793/10382/8976/653857/9368/10094/1432/8936/10802/4691/10096/3554/10672/8795/3071/10376/55930/10095/9826/10810/9475/9071/5879/10006/7099/81873/7280/8737/5861/10097/10427/7009/2212/2768/3688/114609/3606/112714/5603/9069/257397/4690/10163/10092/10109/840/84790/8772/10972/147179/54205/4615/283446/10458/84617/9632/79861/5781/3059/5062/1366/3654/57121/10383/203068/23365/6714/4644/4641/51135/7278/1147/4671",93
"hsa04141","Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","86/2511","120/4460",0.716666666666667,1.27293243063852,3.43983074703619,0.000323097768957854,0.0223877356358802,0.0207605568553275,"7095/51360/823/11231/578/5601/8454/29927/4287/23471/10294/7353/6400/51009/3998/54431/56681/56605/55741/111089941/23193/51726/7494/10484/80331/10483/84061/5611/55757/573/7323/1410/4121/9532/10802/6747/80267/22926/6185/5887/6745/821/468/10277/7322/55829/7326/1965/9695/3703/29979/56886/64215/79139/9373/10427/79748/8720/10130/23190/10299/54788/10525/55768/51128/9601/824/201595/285126/6184/7184/2923/165324/9632/55432/55666/7327/5071/4217/30001/10905/51465/58505/6048/81567/1650",86
"hsa04910","Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","66/2511","89/4460",0.741573033707865,1.31717074087498,3.43031410989929,0.000333150827914884,0.0223877356358802,0.0207605568553275,"5256/89801/5601/5291/3632/6720/32/2932/10580/1399/5594/6655/5106/5257/3551/6009/51422/2889/6198/867/5576/868/6654/10000/8503/23433/5290/9322/2002/91860/5894/5562/2319/5509/3845/9470/10211/5170/5295/2308/1977/5506/3098/5261/3099/3101/5584/3636/1398/5604/3667/2194/79660/2885/122809/6517/5571/9021/8660/5501/1978/5770/801/2475/4893/5500",66
"hsa00670","Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","20/2511","22/4460",0.909090909090909,1.61471344267043,3.28039827533532,0.000497510362781854,0.0278605803157838,0.0258356258567419,"55349/27430/10797/4522/191/1491/27232/23743/471/10840/635/23382/2618/875/102724560/441024/10768/4144/6470/4524",20
"hsa04218","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","81/2511","114/4460",0.710526315789474,1.262026032824,3.21653424247977,0.000744154766897015,0.0357194288110567,0.0331232798498521,"1870/823/4361/5291/10758/28996/4775/5933/54822/3710/23411/4616/5594/4776/4605/5934/4683/898/5054/6009/5532/5608/10114/2305/1432/1871/896/5810/10111/10000/8503/2309/5533/5290/3709/1017/1026/91860/5894/3845/1875/891/2113/4193/3364/4609/5530/5925/5295/1111/2308/144715/291/5603/9133/22808/5928/9261/824/204851/7048/7417/8945/4088/5604/983/5728/545/9134/5501/1978/132660/801/2475/1874/91750/4893/7416/5500/5534/55957",81
"hsa03083","Genetic Information Processing","Chromosome","hsa03083","Polycomb repressive complex","39/2511","50/4460",0.78,1.38542413381123,3.11057577538134,0.00110068939526,0.0462289546009202,0.042868955394337,"3720/6322/63035/2033/7528/10389/2146/7323/57666/84759/11335/85015/7322/1912/10238/54881/121536/3607/8535/22823/55252/10600/84108/5928/8314/648/1876/171023/80012/84733/23512/9212/84333/7874/84458/11091/7027/57713/55777",39
"hsa04520","Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","45/2511","60/4460",0.75,1.33213859020311,2.93971208563141,0.00200039111270089,0.0746812682074999,0.069253306357832,"889/7414/1495/387/6093/1459/998/60/10580/5594/2033/1457/4233/8976/5818/8936/11235/5906/103910/5908/5787/4301/10810/9475/5879/9411/8826/4089/2064/52/1956/56288/5795/2241/10163/7048/4088/5797/10458/7525/25945/29119/5770/6714/1500",45
"hsa03050","Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","24/2511","29/4460",0.827586206896552,1.46994603056894,2.88159062514643,0.00249662583720995,0.0838866281302542,0.0777896050330678,"5685/23198/5705/5714/5706/5684/5700/5693/5687/5721/5688/5713/5683/5717/10213/10197/51371/5694/5686/5701/9861/5707/5708/5718",24
"hsa04152","Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","52/2511","73/4460",0.712328767123288,1.26522751946231,2.59317824435866,0.00593761553597756,0.169508211693157,0.157188065981123,"1080/79602/5291/23216/5525/6720/5523/32/5527/55437/10890/55012/23411/5106/81617/29904/5862/5516/6009/51422/10488/6198/1374/5528/3156/10000/8503/1385/2309/51552/148/5290/5468/5562/948/51719/5170/5295/2308/5529/90993/51094/3667/2194/55844/6517/5571/8660/1978/2475/5520/92335",52
"hsa04114","Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","57/2511","81/4460",0.703703703703704,1.24990781303008,2.57614938870539,0.00619002455691476,0.169508211693157,0.157188065981123,"996/8454/9748/5525/6196/8243/5527/5241/6790/51433/3710/5594/5516/898/5532/9126/7531/26271/1432/5528/80315/991/6195/5533/3709/1017/9088/91860/151648/891/9700/109/5530/817/64682/5529/5603/9133/115/245711/9232/7534/8945/119504/5347/7529/5604/7532/983/9134/246184/6197/5501/51434/801/5500/5534",57
"hsa05100","Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","41/2511","56/4460",0.732142857142857,1.30042100472208,2.56765592063429,0.0065583534286043,0.169508211693157,0.157188065981123,"7414/1495/5291/63916/387/998/79658/60/1785/2017/1399/858/857/4233/8976/653857/867/10094/8936/10096/2335/8503/5290/10095/5879/81873/10097/1213/5295/3688/9844/10163/3678/10092/10109/1398/3059/29119/10801/6714/23607",41
"hsa03022","Genetic Information Processing","Transcription","hsa03022","Basal transcription factors","19/2511","23/4460",0.826086956521739,1.46728308486139,2.54997214831861,0.0075742949859383,0.181783079662519,0.168570775626897,"9519/6873/6882/2965/6883/6874/902/27097/129685/2958/6875/2966/728340/6877/10629/2957/83860/2961/6884",19
"hsa04930","Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","21/2511","26/4460",0.807692307692308,1.4346107894495,2.52246707530532,0.00813003225978458,0.182112722619174,0.168876459571666,"5601/5291/5315/5594/3551/8503/5290/5295/775/3098/3099/3101/5580/3667/5581/122809/6517/9021/8660/3767/2475",21
"hsa03013","Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","50/2511","71/4460",0.704225352112676,1.25083435699822,2.41807395238007,0.00985419664187432,0.206938129479361,0.191897513552289,"23633/23279/55706/23534/3843/55746/3842/81929/51194/10762/8563/5905/55916/3839/3837/4927/55161/4928/57122/9631/3836/22916/7341/348995/1434/57510/9972/57187/8021/5901/10526/4686/53371/9818/26019/5903/25909/23165/129401/80145/59343/51808/51068/84305/3838/11260/6612/6613/55705/10527",50
"hsa04137","Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","46/2511","65/4460",0.707692307692308,1.25699231075575,2.36882807150959,0.0113901802704779,0.219557230827739,0.203599437108429,"5601/7030/1459/10075/23786/3091/1457/22879/8887/5878/5869/2309/64786/10133/8678/55288/468/3845/1965/9958/10241/9101/23710/81631/5868/221960/9868/22808/65018/84134/10370/25820/55669/598/9804/664/345778/29110/5071/6667/4286/4077/6714/54708/79065/4893",46
"hsa03018","Genetic Information Processing","Folding, sorting and degradation","hsa03018","RNA degradation","37/2511","51/4460",0.725490196078431,1.2886046493468,2.35263489757061,0.0122245721794892,0.219557230827739,0.203599437108429,"23644/23517/26986/2023/23016/4850/22894/22803/8761/1656/4848/57472/54464/11340/5393/23019/51691/23404/10200/87178/246175/80349/10140/5042/9337/11157/219988/115752/51013/5394/170506/27257/25904/10766/131870/9652/29883",37
"hsa04140","Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","72/2511","107/4460",0.672897196261682,1.19518976317288,2.31948071168345,0.0124154386479971,0.219557230827739,0.203599437108429,"8837/3920/9821/5601/5291/9474/81671/55102/5289/8417/55054/51100/9342/5594/3091/115201/55578/5516/8887/6009/10652/9110/6198/64689/57448/64121/10000/8503/8673/5290/10133/84938/8678/440275/5894/5562/3845/1965/1514/10241/10010/55014/5861/23710/81631/5170/64422/5295/9140/203228/64798/10670/22808/23001/64419/5580/1508/5604/3667/598/5728/664/140775/29110/8660/4077/3146/30849/7405/2475/79065/4893",72
"hsa03430","Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","13/2511","15/4460",0.866666666666667,1.53936014867915,2.37478761180144,0.0136162492215426,0.222475911036427,0.206305982665358,"5981/5982/5424/4292/10714/6742/5985/2956/27030/5111/5983/5984/9156",13
"hsa04120","Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","65/2511","96/4460",0.677083333333333,1.20262511615558,2.27783727391796,0.0139963743225422,0.222475911036427,0.206305982665358,"996/9690/330/8554/8452/23327/8454/4734/7319/3093/83737/10075/51433/4214/331/51366/54926/8453/4591/7323/55294/329/9354/867/7337/9616/868/57448/991/22954/11059/10054/8924/10277/7322/7326/7428/4193/8916/8451/64326/9039/89910/64682/9320/6921/8450/55585/8945/8065/119504/10477/7324/11065/246184/7334/140739/9021/7327/5071/7332/51434/55958/51465/134111",65
"hsa00600","Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","27/2511","36/4460",0.75,1.33213859020311,2.27090623199036,0.0159240227245505,0.222475911036427,0.206305982665358,"2581/8611/57704/55331/10558/64781/9517/2717/427/9331/81537/6610/55627/29956/8560/7357/142891/9334/10825/8613/130367/166929/253782/340485/2629/56624/259230",27
"hsa00270","Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","25/2511","33/4460",0.757575757575758,1.34559453555869,2.26154507877229,0.0165259581377469,0.222475911036427,0.206305982665358,"2729/2730/27430/586/4507/191/1491/2805/262/27232/4357/7263/1786/23743/3939/56267/58478/635/23382/875/102724560/10768/4144/883/55256",25
