"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa03008","Genetic Information Processing","Translation","hsa03008","Ribosome biogenesis in eukaryotes","47/2723","55/4848",0.854545454545454,1.52142356358295,4.40199096674398,3.15307361361882e-06,0.00106272536043743,0.0010145970393405,"81691/51096/55341/51602/55781/10885/1459/6949/25996/102157402/22803/1457/55916/10940/10775/55131/23560/55813/23195/54464/84128/55127/10199/83732/10799/51119/5901/29889/134430/55226/92856/79631/84916/28987/166378/10556/10557/10813/23160/26354/84135/65083/9790/51068/10248/55505/283106",47
"hsa04141","Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","94/2723","125/4848",0.752,1.33885273595299,4.34448091371558,6.17863581649666e-06,0.00106272536043743,0.0010145970393405,"7095/51360/823/11231/578/5601/8454/29927/4287/23471/27248/7353/6400/7321/51009/3998/55973/54431/56681/3320/56605/55741/111089941/23193/51726/7494/10484/80331/10483/84061/5611/55757/7993/5599/7323/1410/4121/9532/10802/6747/80267/22926/6185/5887/6745/821/468/10277/7322/55829/7326/1965/9695/29979/56886/64215/79139/9373/10427/91445/79748/8720/10130/23190/10299/54788/10525/9871/55768/51128/9601/267/84447/824/201595/285126/6184/7184/2923/3310/165324/9632/55432/55666/7327/5071/4217/30001/10905/51465/58505/6048/81567/1650",94
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","87/2723","117/4848",0.743589743589744,1.32387920562728,4.01402788915283,2.91266626322185e-05,0.00333985731516106,0.00318860306710603,"996/10926/1870/8454/23063/5525/9319/8243/5527/8556/5933/2932/23047/546/4998/51433/23594/8318/8697/25/8317/4616/2033/994/10735/5934/5516/898/9126/7531/26271/1871/896/5528/7272/7029/4999/5000/3065/10459/991/10274/23244/1031/1017/1026/7533/1032/151648/5111/1875/1022/902/9700/4193/4609/57082/5925/114799/4089/113130/85417/55869/1111/64682/5529/9184/701/9133/25836/9232/5885/5001/7534/7529/4088/7532/983/157570/545/9134/246184/9212/51434/7027/1874/5591",87
"hsa04910","Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","73/2723","101/4848",0.722772277227723,1.28681601175174,3.29712435134291,0.000555657929131206,0.0388475087599485,0.0370881968577231,"5256/89801/5601/5291/5255/3632/5837/6720/32/2932/10580/2872/1399/5594/6655/5836/5106/5257/3551/6009/51422/2645/2889/5599/6198/10891/867/5576/868/6654/10000/8503/23433/5290/9322/2002/91860/5565/5894/5562/5509/3845/9470/10211/5170/805/2308/1977/5506/3098/5261/673/3099/6464/3101/5584/3636/1398/5604/79660/2885/122809/6517/5571/9021/8660/5501/1978/5770/801/2475/4893/5500",73
"hsa00670","Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","25/2723","29/4848",0.862068965517241,1.534818341839,3.26969838137483,0.000569700322183891,0.0388475087599485,0.0370881968577231,"55349/27430/10797/4522/191/1491/27232/29958/23743/160428/471/10840/635/23382/2618/875/102724560/10841/441024/10768/4144/6470/4524/6472/1719",25
"hsa05130","Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","93/2723","133/4848",0.699248120300752,1.24493385501948,3.24201226270391,0.000677572827208403,0.0388475087599485,0.0370881968577231,"55971/578/10061/5601/23118/10787/7132/387/6093/998/8440/113457/2017/7430/25/5594/3551/8797/4793/10382/8976/653857/5599/9267/9368/10094/1432/8936/10802/10096/3554/10672/8795/3071/10376/4430/55930/10095/9826/10810/9475/9071/6885/5879/10006/7099/81873/8737/5861/10097/10427/7009/2212/2768/3688/114609/3606/9871/112714/9069/257397/4690/10092/10109/836/382/840/84790/8772/10972/147179/54205/4615/283446/10458/9632/79861/5781/3059/5062/3654/57121/10383/4646/23365/6714/4644/4641/51135/7278/1902/1147/4671",93
"hsa03083","Genetic Information Processing","Chromosome","hsa03083","Polycomb repressive complex","44/2723","59/4848",0.745762711864407,1.32774793504173,2.86697835909368,0.00255978549071117,0.125795172686377,0.120098206481486,"3720/10138/6322/7321/8726/63035/2033/7528/10389/2146/7323/57666/84759/3065/11335/85015/4149/7322/1912/10238/54881/121536/3607/8535/55252/10600/84108/5928/8314/648/1876/171023/22992/80012/84733/23512/9212/84333/10336/7874/84458/11091/7027/57713",44
"hsa04218","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","79/2723","116/4848",0.681034482758621,1.21250649005281,2.62216301896017,0.00525759309854944,0.195679431393971,0.186817572199874,"1870/823/4361/5291/10758/28996/23291/5933/54822/3710/23411/4616/5594/4776/4605/5934/4683/898/5054/6009/5532/5608/10114/1432/1871/896/5810/10111/10000/8503/2309/5533/5290/3709/1017/1026/91860/5894/3845/1875/2113/4193/3364/4609/5530/5925/805/85417/1111/2308/144715/291/90550/9133/22808/5928/9261/824/204851/7048/7417/8945/4088/5604/983/5728/545/9134/5501/1978/132660/801/2475/1874/91750/4893/7416/5500/5534",79
"hsa03022","Genetic Information Processing","Transcription","hsa03022","Basal transcription factors","24/2723","30/4848",0.8,1.42431142122659,2.63871699819658,0.00560918612541298,0.195679431393971,0.186817572199874,"4331/9519/6873/6882/2965/2967/6908/6883/6874/1022/902/27097/129685/2958/6875/2966/728340/6872/6877/10629/2957/83860/2961/6884",24
"hsa00100","Metabolism","Lipid metabolism","hsa00100","Steroid biosynthesis","12/2723","13/4848",0.923076923076923,1.64343625526145,2.62941919156521,0.00611882768773988,0.195679431393971,0.186817572199874,"6646/3988/6309/1718/51478/3930/10682/50814/4047/1056/1717/120227",12
