"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04940","Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","26/1755","27/3905",0.962962962962963,2.14266117969822,5.38232214446053,1.29507086987941e-08,4.35143812279482e-06,4.04880050899142e-06,"3002/1363/2571/5799/3592/940/3119/5551/3123/3117/3127/3111/3108/3122/3107/3133/3135/3134/3105/3115/4049/3113/7124/3106/3112/3109",26
"hsa03010","Genetic Information Processing","Translation","hsa03010","Ribosome","43/1755","53/3905",0.811320754716981,1.80524646562382,5.33209474626648,5.84321533044201e-08,9.81660175514258e-06,9.13386817442778e-06,"51121/84545/6141/65993/10573/51073/6223/6158/6209/6146/51116/64949/6192/25873/11224/6176/6123/6205/65005/28957/2197/63875/124995/6132/128308/140801/54948/6137/6203/122704/6181/6232/64975/6165/116541/64976/6231/6191/6235/6150/6234/26589/6182",43
"hsa05332","Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","23/1755","24/3905",0.958333333333333,2.13235992402659,5.0268106327875,1.30117841066141e-07,1.45731981994078e-05,1.35596487005768e-05,"3002/3824/3821/940/3119/5551/3123/3117/3127/3111/3108/3122/3107/3133/3135/3134/3105/3115/3113/7124/3106/3112/3109",23
"hsa04612","Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","36/1755","44/3905",0.818181818181818,1.82051282051282,4.94465555110042,4.94055539195359e-07,4.15006652924101e-05,3.86143408265846e-05,"920/972/8625/4802/3326/5641/3306/3824/3821/55080/925/6890/926/3119/4261/3123/3117/3127/3111/3108/3122/3304/3303/3305/3107/3133/3135/3134/3105/3115/3113/6892/7124/3106/3112/3109",36
"hsa05330","Human Diseases","Immune disease","hsa05330","Allograft rejection","23/1755","25/3905",0.92,2.04706552706553,4.74462876901608,9.31776140464744e-07,5.24443403064881e-05,4.87968955859241e-05,"3002/959/3592/940/3119/5551/3123/3117/3127/3111/3108/3122/3107/3133/3135/3134/3105/3115/3113/7124/3106/3112/3109",23
"hsa04514","Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","55/1755","76/3905",0.723684210526316,1.61024891288049,4.85339191495397,9.36506076901574e-07,5.24443403064881e-05,4.87968955859241e-05,"3683/920/933/923/1462/959/9379/6404/6382/914/94030/3695/925/58494/4359/23308/102723996/120425/9672/22854/23114/1493/29851/83700/6383/926/947/6403/26047/940/3119/139065/201633/7122/84189/6402/3123/54413/84628/3117/6693/3127/3111/3108/3122/3107/3133/3135/3134/3105/3115/3113/3106/3112/3109",55
"hsa04672","Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","22/1755","24/3905",0.916666666666667,2.03964862298196,4.6152434764601,1.92540685431829e-06,9.24195290072777e-05,8.5991854997373e-05,"959/10673/7040/6387/7852/3695/23308/102723996/29851/940/3119/2826/3123/3117/3127/3111/3108/3122/3115/3113/3112/3109",22
"hsa05320","Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","22/1755","25/3905",0.88,1.95806267806268,4.3413249957682,9.2120320892443e-06,0.000386905347748261,0.000359996517171784,"3002/959/1493/940/3119/5551/3123/3117/3127/3111/3108/3122/3107/3133/3135/3134/3105/3115/3113/3106/3112/3109",22
"hsa04082","Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","52/1755","75/3905",0.693333333333333,1.54271604938272,4.28724344027797,1.44132246594563e-05,0.000538093720619701,0.000500669909223218,"6540/11054/6865/1136/43/2778/2568/9127/2564/3356/57030/2906/5023/6532/6539/2784/2771/5443/60482/4987/2791/5025/3357/5330/2774/2900/150/2555/2911/2890/6529/2905/2785/6512/2912/6571/94235/2786/136/146/2783/2787/255061/2788/2918/5179/53829/54331/2563/6536/3269/116443",52
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","73/1755","114/3905",0.640350877192982,1.42482631079122,4.15873430142442,2.45009099155475e-05,0.000823230573162395,0.000765975815254484,"6376/51330/9235/920/7042/1439/3560/959/10673/6367/50615/7040/6369/6387/6355/51561/656/1441/7043/943/8743/7852/3623/652/8200/1236/27190/51554/9518/60401/269/3590/6366/2660/4283/939/9547/3561/1489/654/392255/4838/146433/8764/3460/1234/58191/3577/132014/5473/2661/133396/1524/3575/3592/3627/6373/10663/3603/53342/8794/3579/6357/9966/1436/1233/2826/7293/8718/4049/4050/7124/8742",73
