"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04940","Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","27/2125","28/4848",0.964285714285714,2.19993277310924,5.62476740293405,3.15372451021911e-09,1.08488123151537e-06,9.72675033151788e-07,"3002/1363/3553/2571/5799/3592/940/3119/5551/3123/3117/3127/3111/3108/3122/3133/3134/3105/3115/4049/3113/3120/7124/3106/3118/3112/3109",27
"hsa05332","Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","24/2125","25/4848",0.96,2.19015529411765,5.26995810355633,3.42012140504094e-08,5.88260881667041e-06,5.2741872193526e-06,"3002/3553/3824/3821/940/3119/5551/3123/3117/3127/3111/3108/3122/3133/3134/3105/3115/3113/3120/7124/3106/3118/3112/3109",24
"hsa04514","Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","65/2125","93/4848",0.698924731182796,1.59453510436433,5.11370737731762,2.66888770480385e-07,3.06032456817508e-05,2.74380385090361e-05,"3683/920/933/923/1462/4756/8516/5788/2734/959/9379/3676/914/94030/3695/5792/57689/10666/925/5789/58494/4359/23308/102723996/120425/9672/22854/7412/9076/23114/1493/29851/83700/6383/1000/926/6403/26047/940/3119/139065/201633/23705/7122/84189/6402/3123/54413/84628/3117/6693/3127/3111/3108/3122/3133/3134/3105/3115/3113/3120/3106/3118/3112/3109",65
"hsa05330","Human Diseases","Immune disease","hsa05330","Allograft rejection","23/2125","25/4848",0.92,2.09889882352941,4.86587825023352,5.49758843170077e-07,4.72792605126267e-05,4.23893002760086e-05,"3002/959/3592/940/3119/5551/3123/3117/3127/3111/3108/3122/3133/3134/3105/3115/3113/3120/7124/3106/3118/3112/3109",23
"hsa05171","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","85/2125","132/4848",0.643939393939394,1.46909090909091,4.82668815086068,1.14952126522547e-06,6.70948848016923e-05,6.01554505718967e-05,"6224/51121/6141/6160/4938/8829/6122/4792/5595/6223/7297/6142/23586/6158/6143/5602/6164/4940/4939/1839/6152/64135/6209/6146/5335/3553/9349/3661/5648/25873/7187/11224/6194/834/6176/6123/6205/23521/6135/6233/6167/6134/6188/2197/5578/4599/1636/6132/114548/6133/7098/140801/6157/6137/3592/6773/6203/5293/6227/6169/6403/6138/6181/3725/6232/2147/6165/4600/340061/9636/6300/51284/6231/6168/5336/6191/6147/4736/6235/10379/7311/6222/7124/6234/629",85
"hsa04658","Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","50/2125","69/4848",0.72463768115942,1.65319693094629,4.82716697948254,1.17025961863417e-06,6.70948848016923e-05,6.01554505718967e-05,"920/864/5588/30009/4854/3595/3717/3594/3560/4792/4773/5595/7297/2625/5602/7535/5335/4772/4853/6775/4794/3561/4851/3460/917/915/3592/3725/4094/3119/3932/84441/6300/3123/3117/55534/3127/28514/919/916/3111/3108/3122/27040/3115/3113/3120/3118/3112/3109",50
"hsa04612","Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","36/2125","47/4848",0.765957446808511,1.74746433041302,4.54847387898455,4.54724138387229e-06,0.000223464433721724,0.00020035213916911,"920/972/8625/4802/3326/5641/3306/3824/3821/55080/5993/925/3308/926/3119/4261/3123/3117/3127/3111/3108/3122/3303/3305/3133/3134/3105/3115/3113/6892/3120/7124/3106/3118/3112/3109",36
"hsa03010","Genetic Information Processing","Translation","hsa03010","Ribosome","67/2125","102/4848",0.656862745098039,1.49857439446367,4.49529653777531,5.78235674767008e-06,0.000248641340149814,0.000222925069350965,"6224/51121/84545/6141/6160/65993/10573/55168/6122/51073/6223/6142/6158/6143/6164/6152/6209/6146/51116/9349/64949/25873/11224/6194/6176/6123/6205/23521/6135/65005/6233/6167/6134/6188/2197/63875/124995/6132/128308/6133/140801/6157/54948/6137/6203/6227/122704/6169/6138/6181/6232/6165/116541/64976/6231/6168/6191/6147/4736/64978/6235/6150/7311/6222/6234/55052/26589",67
"hsa05320","Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","22/2125","26/4848",0.846153846153846,1.93042533936652,4.20191010442669,2.15269800211518e-05,0.000822809014141802,0.000737708204233623,"3002/959/1493/940/3119/5551/3123/3117/3127/3111/3108/3122/3133/3134/3105/3115/3113/3120/3106/3118/3112/3109",22
"hsa04672","Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","25/2125","31/4848",0.806451612903226,1.83984819734345,4.14367299043161,2.93974003295263e-05,0.00101127057133571,0.000906677715426444,"959/10673/7040/6387/3676/7852/3695/56477/23308/102723996/29851/940/3119/3123/3117/3127/3111/3108/3122/3115/3113/3120/3118/3112/3109",25
"hsa05310","Human Diseases","Immune disease","hsa05310","Asthma","17/2125","19/4848",0.894736842105263,2.04126315789474,4.01699098018629,4.64582857543496e-05,0.00145287729995421,0.00130261030871047,"959/2206/3119/2205/3123/3117/3127/3111/3108/3122/3115/3113/3120/7124/3118/3112/3109",17
"hsa04082","Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","60/2125","94/4848",0.638297872340426,1.45622027534418,3.94549117914506,6.42907264832906e-05,0.00184300082585433,0.00165238446136878,"6540/5566/6865/108/1136/43/2778/2568/9127/5332/2564/3356/5023/6532/2557/2743/6539/2784/2771/6869/60482/113/4987/2791/5025/3357/5330/5567/3363/2900/150/2555/2911/5578/2890/6529/2905/2785/6512/2560/2912/3360/107/6571/94235/136/2783/111/112/255061/2788/2918/5179/53829/54331/2563/6536/3269/116443/2550",60
"hsa05340","Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","17/2125","20/4848",0.85,1.9392,3.71776219958759,0.000182607192773509,0.00456154608218977,0.00408975826830356,"920/8625/7374/5788/29760/959/7535/5993/3561/925/29851/915/3575/926/4261/3932/916",17
"hsa05321","Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","32/2125","45/4848",0.711111111111111,1.62233725490196,3.70482688731602,0.000185644317298421,0.00456154608218977,0.00408975826830356,"30009/3595/7042/3594/50615/7040/2625/51561/7043/3553/4772/6775/3561/3460/3592/3725/4094/3119/7100/3123/3117/3127/3111/3108/3122/3115/3113/3120/7124/3118/3112/3109",32
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","78/2125","134/4848",0.582089552238806,1.32798595258999,3.40098729893062,0.000486136640110687,0.0111487336132051,0.00999565161771448,"6376/51330/9235/920/3595/7066/7042/3594/1439/3560/959/10673/6367/50615/3574/7040/6369/6387/6355/51561/2690/93/3953/7043/943/8743/7852/3624/3623/652/3553/650/8200/1236/51554/9518/60401/269/90865/3590/6366/2660/4283/939/151449/9547/3561/1489/56477/654/392255/146433/8764/3460/1234/58191/132014/5473/2661/133396/1524/3575/3592/6373/10663/3603/53342/8794/3579/9966/1436/1233/7293/8718/4049/4050/7124/8742",78
"hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","89/2125","157/4848",0.56687898089172,1.29328437617085,3.2998803566355,0.000677292352564717,0.0145617855801414,0.013055701269833,"292/8913/6915/4843/3082/2324/816/4638/2263/2261/815/5566/489/6865/2260/108/7419/2778/5027/9127/4773/5332/7125/778/3356/10105/5023/57620/7942/2246/7134/5136/6869/84812/113/7852/5737/5335/3270/4772/5025/3357/5330/3973/51196/89869/5567/56034/4915/3363/7424/3708/1909/814/2911/5578/5137/9630/8817/776/8822/808/2905/4486/3360/107/5979/6786/2668/163688/136/80310/10800/7423/4485/93129/5021/2149/6546/53373/5333/6261/487/3269/5154/5336/4914/116443/6263",89
"hsa04723","Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","52/2125","85/4848",0.611764705882353,1.39568719723183,3.25097273378241,0.000877818083867374,0.0177629071088457,0.0159257398497301,"4710/5566/11343/108/22999/2568/4713/5332/778/2564/5595/2557/5602/4717/4728/2784/2771/374291/4702/113/2791/4705/4695/5330/4704/5567/4726/54539/3708/2555/2911/5578/2890/776/2785/2560/4724/107/4714/94235/4723/4696/2783/111/112/126328/2788/56901/54331/2563/6300/4722",52
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","40/2125","63/4848",0.634920634920635,1.44851540616246,3.16518300643226,0.00123109417575843,0.023527577581161,0.0210941867542233,"920/933/960/7066/2323/3574/2208/921/3676/914/3553/3590/925/931/3815/911/913/917/915/3575/926/924/3119/1436/2811/3123/4311/3117/3127/916/3111/3108/3122/3115/3113/3120/7124/3118/3112/3109",40
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","76/2125","134/4848",0.567164179104478,1.29393503072871,3.04790280902301,0.00160455416578886,0.0290508754227036,0.0260462255166834,"6915/9170/6865/27334/1136/5027/2568/9127/1511/10857/2564/3356/6019/5023/1145/2557/2743/2690/2908/6869/3953/5737/10888/4987/554/2847/59340/80763/187/5025/183/3357/3973/3001/2846/2796/3363/2900/150/1909/2555/2911/2890/51738/5739/79957/2905/2560/7349/2912/4886/4889/2151/3360/136/10316/10800/255061/2918/66004/2147/53637/186/5021/2149/5179/53829/2894/256933/2563/344838/257313/3269/7442/116443/2550",76
"hsa04659","Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","49/2125","81/4848",0.604938271604938,1.38011328976035,3.04736969132022,0.00173368848510846,0.0298194419438654,0.0267353013756199,"920/5588/30009/3326/3717/3594/3560/4792/4773/5595/50615/7040/7297/2625/5602/51561/7535/5335/3553/4772/5914/3662/6258/4794/3561/3460/861/917/915/3725/3119/3932/6300/3123/3117/3127/919/916/6257/3111/3108/3122/27040/3115/3113/3120/3118/3112/3109",49
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","22/2125","32/4848",0.6875,1.56847058823529,2.84991499439265,0.00380024244093575,0.0622515904610428,0.055813084470886,"3683/3082/7042/959/7040/1311/975/3820/7060/7043/4035/3553/2995/7412/3592/7059/6383/6403/7058/3040/7124/3043",22
"hsa04913","Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","18/2125","25/4848",0.72,1.64261647058824,2.84547898361949,0.00405836759705899,0.0634581115176497,0.0568948184659466,"3479/5566/949/108/2778/8605/113/1573/3973/3480/1583/5567/654/107/111/112/122970/641371",18
"hsa05416","Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","33/2125","53/4848",0.622641509433962,1.42050166481687,2.71896429783795,0.00507144993822482,0.072974731988067,0.0654271617885668,"3683/2534/4625/6640/959/6445/6442/595/8082/8910/5880/842/6641/940/3119/5551/71/3123/3117/3127/3111/3108/3122/3133/3134/3105/3115/3113/3120/3106/3118/3112/3109",33
"hsa05164","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","60/2125","106/4848",0.566037735849057,1.29136514983352,2.67918016195781,0.00509126037126049,0.072974731988067,0.0654271617885668,"292/4938/3717/8106/4792/8717/5595/208/7297/23586/4940/4939/64135/317/8743/3553/3661/7187/3337/29107/842/91543/1019/6041/90865/834/5371/207/5578/4599/3460/79671/114548/7098/3592/6773/5293/7177/3119/4261/4600/71/9230/3665/3123/51284/3117/64499/3127/3111/3108/3122/10379/3115/3113/3120/7124/3118/3112/3109",60
"hsa05030","Human Diseases","Substance dependence","hsa05030","Cocaine addiction","20/2125","29/4848",0.689655172413793,1.57338742393509,2.7356520329098,0.00544420840036346,0.0749123075890012,0.0671643394234313,"4129/5566/2778/8787/2771/1742/5567/148327/9586/2905/2912/1020/6571/111/627/8851/3725/64764/116443/1388",20
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","75/2125","137/4848",0.547445255474453,1.24894804637183,2.61098640381513,0.00597492287403118,0.079052825717951,0.0708766154692767,"3683/5704/864/7431/960/4791/7188/4938/29760/10454/4792/1869/8717/5971/2208/208/7297/23586/5602/595/1027/4940/4939/1647/7128/894/317/3661/7186/10912/7187/842/8900/1643/1019/953/55080/7157/207/6502/4794/10018/5710/917/915/6773/5293/3725/3119/3665/9636/6300/3123/9612/3117/5336/3127/919/916/3111/3108/3122/3133/3134/3105/10379/3115/3113/6892/3120/7124/3106/3118/3112/3109",75
"hsa04727","Organismal Systems","Nervous system","hsa04727","GABAergic synapse","32/2125","52/4848",0.615384615384615,1.40394570135747,2.58688565103186,0.00739130425772846,0.0941706912836515,0.0844308829440327,"6540/11345/5566/108/2568/778/2564/2557/6539/2784/2771/113/2791/2571/5567/2555/5578/6529/776/2785/2560/107/94235/11337/2783/111/112/2788/54331/2563/10991/2550",32
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","89/2125","167/4848",0.532934131736527,1.21584219795703,2.50736423174084,0.00778112174735493,0.0955966386103606,0.0857093485704885,"7431/9172/1462/1298/88/2192/8516/57644/3693/4625/825/1299/10398/6640/7125/8736/23439/2010/6445/7138/478/1311/9124/1277/6442/4633/2026/1297/7060/7134/3676/6711/64236/8082/8910/8048/482/7137/7140/1289/3691/480/4628/4629/4607/84665/3695/1291/1292/3339/58/22989/27063/84033/27295/7135/1465/70/57731/91010/9672/200539/2199/91977/1278/2200/4632/1281/7059/6383/442721/255631/83660/6641/6712/8557/118461/58529/5339/633/71/7058/1287/375790/9260/6709/64423/1302/131873",89
"hsa04061","Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","27/2125","43/4848",0.627906976744186,1.43251436388509,2.51640316771987,0.00927673931125759,0.110041321485262,0.0986600587367867,"6376/3560/6367/6369/6387/6355/8743/7852/1236/51554/6366/4283/9547/3561/56477/146433/8764/1234/5473/1524/6373/8794/3579/1436/1233/4049/7124",27
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","36/2125","61/4848",0.590163934426229,1.34640694310511,2.40498265330019,0.0117140206522725,0.129175091315804,0.115814876852909,"11136/1298/1307/1299/23439/478/1277/1303/1297/1294/7512/1300/81578/482/1289/480/5547/486/1291/1292/1295/1359/1278/1281/169044/255631/1296/80781/6546/7373/1287/4311/1305/1302/1306/131873",36
"hsa04340","Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","23/2125","36/4848",0.638888888888889,1.45756862745098,2.43409115067807,0.0119447616524021,0.129175091315804,0.115814876852909,"57467/55733/5566/2121/2736/157/1954/23288/2737/595/2735/8643/894/6608/408/5567/23432/91653/64399/374654/132884/57758/1454",23
"hsa05033","Human Diseases","Substance dependence","hsa05033","Nicotine addiction","9/2125","11/4848",0.818181818181818,1.86660962566845,2.5416980973253,0.0120162875642608,0.129175091315804,0.115814876852909,"2568/2564/2557/2555/2890/2905/2560/2563/116443",9
"hsa00410","Metabolism","Metabolism of other amino acids","hsa00410","beta-Alanine metabolism","13/2125","18/4848",0.722222222222222,1.6476862745098,2.43175343115763,0.0140669520238101,0.146637318066384,0.13147103486368,"221/54498/51733/23417/35/1892/2571/8639/51380/223/339896/501/57571",13
