"","lambda.1se"
"ENSG00000048828",-2.21769331538937
"ENSG00000162881",2.10784153941377
"ENSG00000085063",-1.63117586036357
"ENSG00000163513",-1.33530342616552
"ENSG00000138709",-1.21773552262968
"ENSG00000144895",-0.99138780967878
"ENSG00000198722",-0.827325079179932
"ENSG00000111726",-0.79067404536198
"ENSG00000187566",0.790472716166424
"ENSG00000118564",-0.773556428033549
"ENSG00000131620",0.739455248731272
"ENSG00000143793",0.720179809155141
"ENSG00000070718",0.604196963051358
"ENSG00000164024",-0.552457615260799
"ENSG00000173402",-0.517692713313304
"ENSG00000182197",0.4929774892179
"ENSG00000166033",0.491874897262065
"ENSG00000134470",-0.422940043127807
"ENSG00000126602",0.312679721596177
"ENSG00000139289",0.305937952139849
"ENSG00000136436",-0.304753625881225
"ENSG00000112562",0.303939164027505
"ENSG00000179715",0.272151403098806
"ENSG00000156535",-0.247612203853302
"ENSG00000102977",0.175786918928135
"ENSG00000182179",0.157527446937627
"ENSG00000255458",0.132146865684712
"ENSG00000196511",-0.119975291410254
"ENSG00000211445",-0.0982550645221438
"ENSG00000075884",0.0858847676114361
"ENSG00000118898",-0.0568462152073352
"ENSG00000132530",0.055442594859387
"ENSG00000143768",0.0421254366950942
"ENSG00000082512",0.0415825558732381
"ENSG00000162747",0.0209649676072116
"ENSG00000166482",0.0171608396936236
"ENSG00000072840",0.0170230807666746
"ENSG00000116906",-0.0102156857604265
