"","lambda.1se"
"ENSG00000171100",-11.09611734748
"ENSG00000170855",-6.23685701654716
"ENSG00000136436",-5.41477555789009
"ENSG00000141627",-5.19572462950792
"ENSG00000111231",-5.13719179302717
"ENSG00000166265",-4.4991243946918
"ENSG00000138709",-3.95729586107164
"ENSG00000175220",3.7107352378669
"ENSG00000186222",3.2910159734337
"ENSG00000112096",-3.24328834502365
"ENSG00000186350",-2.92869837097403
"ENSG00000131626",-2.82697395107467
"ENSG00000078618",-2.75586641196689
"ENSG00000178585",-2.68278768508507
"ENSG00000166086",2.63017584213453
"ENSG00000198088",2.17641013078485
"ENSG00000178026",1.91101043154589
"ENSG00000099910",1.86453047855862
"ENSG00000125378",1.345335158927
"ENSG00000197363",1.26609742521043
"ENSG00000165124",1.22390376485282
"ENSG00000054277",-1.15811601821488
"ENSG00000164209",-1.1373224848367
"ENSG00000101997",0.985585196147303
"ENSG00000124767",-0.940822296301087
"ENSG00000156689",0.817147575980075
"ENSG00000237172",0.740814768449683
"ENSG00000157538",-0.696825946280776
"ENSG00000171865",-0.598464321238577
"ENSG00000183798",0.58939685119745
"ENSG00000163898",0.309529362605369
"ENSG00000105325",0.305313538369087
"ENSG00000100258",0.304982652326116
"ENSG00000162881",0.300236596292309
"ENSG00000116852",0.270250661079803
"ENSG00000110318",0.205747263123097
"ENSG00000182287",-0.0295044632364027
