"","var","mean_Overall","frequency"
"1","ENSG00000166033",0.998334454418984,374
"2","ENSG00000051382",0.997637038442827,364
"3","ENSG00000112562",0.997271164687825,357
"4","ENSG00000145861",0.996985729240076,342
"5","ENSG00000132561",0.996658312447786,30
"6","ENSG00000075413",0.996290172025563,340
"7","ENSG00000136436",0.995944467736938,334
"8","ENSG00000133687",0.995674229014206,327
"9","ENSG00000186298",0.994709524719316,313
"10","ENSG00000139410",0.994152046783626,24
"11","ENSG00000164946",0.992481203007519,21
"12","ENSG00000153339",0.991555545613292,286
"13","ENSG00000233485",0.991292052011267,274
"14","ENSG00000119650",0.990810359231412,26
"15","ENSG00000168056",0.990810359231412,15
"16","ENSG00000162998",0.989974937343358,12
"17","ENSG00000163145",0.989974937343358,11
"18","ENSG00000131620",0.98968032362884,32
"19","ENSG00000184005",0.989139515455305,6
"20","ENSG00000011105",0.988984183364628,51
"21","ENSG00000173744",0.988854480843902,247
"22","ENSG00000114686",0.988576091391269,28
"23","ENSG00000103415",0.988571428571429,50
"24","ENSG00000171703",0.988483806415263,50
"25","ENSG00000132530",0.988322454487868,52
"26","ENSG00000084636",0.988143427505641,230
"27","ENSG00000071242",0.988095238095238,24
"28","ENSG00000182197",0.987528698723838,195
"29","ENSG00000138709",0.987383367351477,211
"30","ENSG00000163513",0.987192363268643,186
"31","ENSG00000196405",0.987155141692297,168
"32","ENSG00000162576",0.987050960735171,21
"33","ENSG00000164032",0.987050960735171,23
"34","ENSG00000143153",0.987034635468948,162
"35","ENSG00000162882",0.986957044003512,150
"36","ENSG00000072840",0.986940269891375,38
"37","ENSG00000205795",0.986850171525158,165
"38","ENSG00000120910",0.98679881510133,149
"39","ENSG00000169604",0.986646925480319,184
"40","ENSG00000129116",0.986617117267144,118
"41","ENSG00000139329",0.986326680437199,135
"42","ENSG00000164209",0.986300957193721,154
"43","ENSG00000085063",0.986161035456614,136
"44","ENSG00000109606",0.985774780468423,51
"45","ENSG00000113328",0.985683459116314,143
"46","ENSG00000151092",0.985408719904844,18
"47","ENSG00000146147",0.985278451861576,27
"48","ENSG00000182179",0.985253989953238,55
"49","ENSG00000162881",0.985227131274979,106
"50","ENSG00000069122",0.985169261503051,17
"51","ENSG00000096063",0.985118261911048,51
"52","ENSG00000065882",0.985094916292824,117
"53","ENSG00000145725",0.984930337876657,37
"54","ENSG00000166482",0.984648734071499,83
"55","ENSG00000114098",0.984634586188617,30
"56","ENSG00000106624",0.984544695071011,11
"57","ENSG00000121022",0.984544695071011,17
"58","ENSG00000187079",0.984126984126984,16
"59","ENSG00000198722",0.983650747007176,54
"60","ENSG00000011028",0.983531205802832,35
"61","ENSG00000103316",0.983418367346939,9
"62","ENSG00000113657",0.983318912360266,15
"63","ENSG00000172458",0.983160420430922,6
"64","ENSG00000001561",0.98297342192691,8
"65","ENSG00000035862",0.982937412861241,24
"66","ENSG00000142920",0.982864137086903,7
"67","ENSG00000180773",0.982568027210884,10
"68","ENSG00000020181",0.982456140350877,2
"69","ENSG00000140564",0.982456140350877,1
"70","ENSG00000096060",0.982142857142857,2
"71","ENSG00000145833",0.98203842940685,6
"72","ENSG00000138768",0.981801093643199,11
"73","ENSG00000106077",0.981727574750831,1
"74","ENSG00000103342",0.98171768707483,1
"75","ENSG00000179954",0.981640146878825,3
"76","ENSG00000106771",0.981292517006803,7
"77","ENSG00000180398",0.980416156670747,3
"78","ENSG00000163902",0.980367585630744,4
"79","ENSG00000103404",0.980044241278723,7
