"","var","mean_Overall","frequency"
"1","ENSG00000186298",0.996045835803082,376
"2","ENSG00000105835",0.994915674603175,40
"3","ENSG00000133687",0.994378306878307,32
"4","ENSG00000173744",0.993279569892473,31
"5","ENSG00000134046",0.993055555555556,36
"6","ENSG00000171385",0.992436928696311,329
"7","ENSG00000168056",0.992212152779874,322
"8","ENSG00000196632",0.992063492063492,17
"9","ENSG00000163513",0.991837971961271,324
"10","ENSG00000164946",0.991812535020443,296
"11","ENSG00000120910",0.991784403466318,319
"12","ENSG00000116962",0.991732804232804,16
"13","ENSG00000137040",0.991577583414318,29
"14","ENSG00000157538",0.991577583414318,27
"15","ENSG00000001561",0.991402116402116,15
"16","ENSG00000166200",0.991253644314869,24
"17","ENSG00000136436",0.991229162710514,290
"18","ENSG00000075413",0.991120853103146,34
"19","ENSG00000151116",0.991120591362722,295
"20","ENSG00000135766",0.991071428571429,33
"21","ENSG00000143153",0.991071428571429,32
"22","ENSG00000123124",0.991063966946045,284
"23","ENSG00000085063",0.990740740740741,11
"24","ENSG00000147649",0.990493929998303,35
"25","ENSG00000108641",0.990492103274058,76
"26","ENSG00000078747",0.990325993713182,270
"27","ENSG00000113916",0.989974995811898,243
"28","ENSG00000138709",0.989930587619663,221
"29","ENSG00000104756",0.9899179870519,251
"30","ENSG00000163590",0.9898598247203,49
"31","ENSG00000115091",0.989748677248677,5
"32","ENSG00000127990",0.989748677248677,4
"33","ENSG00000166033",0.989615034212133,223
"34","ENSG00000061676",0.989564270358731,231
"35","ENSG00000163145",0.989562166858085,209
"36","ENSG00000119650",0.989067512934687,59
"37","ENSG00000129116",0.988795629859087,128
"38","ENSG00000168615",0.988595852934872,201
"39","ENSG00000153339",0.988335020884926,183
"40","ENSG00000091831",0.988169474138862,23
"41","ENSG00000103316",0.988133444622088,93
"42","ENSG00000171100",0.98807743293197,141
"43","ENSG00000163812",0.988014253320376,15
"44","ENSG00000135241",0.987738639077459,137
"45","ENSG00000096063",0.987722695152542,104
"46","ENSG00000138434",0.987708310837562,57
"47","ENSG00000108061",0.987685252672498,52
"48","ENSG00000213341",0.987676621143051,69
"49","ENSG00000174437",0.987625846077779,114
"50","ENSG00000072840",0.987462374515452,129
"51","ENSG00000153207",0.987427113702624,34
"52","ENSG00000131626",0.987366375121477,17
"53","ENSG00000197299",0.987366375121477,9
"54","ENSG00000139329",0.987204405571752,21
"55","ENSG00000120820",0.987103174603175,21
"56","ENSG00000011105",0.987096425871936,24
"57","ENSG00000187079",0.987082687383343,84
"58","ENSG00000114166",0.987042436022028,15
"59","ENSG00000164209",0.987005817906234,108
"60","ENSG00000205795",0.986949783949092,59
"61","ENSG00000198830",0.986718496922579,10
"62","ENSG00000182197",0.986693578530313,13
"63","ENSG00000140688",0.986612516846833,27
"64","ENSG00000141425",0.986407321727863,46
"65","ENSG00000175606",0.986394557823129,23
"66","ENSG00000184005",0.986394557823129,8
"67","ENSG00000144909",0.986299325726763,45
"68","ENSG00000134851",0.986131555796922,68
"69","ENSG00000069122",0.986111111111111,9
"70","ENSG00000101187",0.986111111111111,15
"71","ENSG00000126858",0.986111111111111,17
"72","ENSG00000035862",0.985725193867634,49
"73","ENSG00000132561",0.985500204222476,46
"74","ENSG00000114302",0.985422740524781,7
"75","ENSG00000154813",0.985182678513582,7
"76","ENSG00000118855",0.985098801425332,6
"77","ENSG00000124198",0.98478835978836,4
"78","ENSG00000165209",0.984450923226433,14
"79","ENSG00000071537",0.984126984126984,7
"80","ENSG00000099968",0.984126984126984,13
"81","ENSG00000090006",0.984126984126984,2
"82","ENSG00000102226",0.984126984126984,10
"83","ENSG00000166482",0.983965014577259,10
"84","ENSG00000113328",0.983796296296296,7
"85","ENSG00000051382",0.983465608465608,6
"86","ENSG00000176407",0.983155166828636,3
"87","ENSG00000006576",0.982831227729187,1
"88","ENSG00000109466",0.982831227729187,6
"89","ENSG00000073712",0.982804232804233,1
"90","ENSG00000233098",0.982507288629738,3
"91","ENSG00000145861",0.982183349530288,1
