"display name","Degree","BetweennessCentrality","ClusteringCoefficient"
"COL1A1",96,0.0199381449808843,0.239254385964912
"UBB",94,0.0754177533101181,0.0480439258750858
"ESR1",94,0.0554994546786281,0.10798444291924
"MAPK3",91,0.0613787572140451,0.103296703296703
"COL1A2",84,0.00742441540722924,0.279977051061388
"SOX2",82,0.0451855194880256,0.122854561878952
"PXDN",79,0.0321365926950686,0.182408308990587
"CCND1",77,0.0248034620274011,0.171223513328776
"COL3A1",76,0.00427243874347293,0.327368421052632
"BGN",75,0.00664192029795563,0.277117117117117
"KIT",74,0.0212101420145494,0.139577934098482
"LUM",72,0.0100249497551969,0.268388106416275
"COL5A2",67,0.00509641506509229,0.336499321573948
"PDGFRB",66,0.0138065940369375,0.221445221445221
"POSTN",66,0.00428457073376273,0.332400932400932
"COL5A1",63,0.00397068530216828,0.372247823860727
"CXCL12",62,0.011810998929893,0.255949233209942
"LOX",61,0.00817081534573172,0.29344262295082
"FYN",59,0.0242035190416162,0.0742255990648743
"CCN2",59,0.00763828314565022,0.338398597311514
"CD74",58,0.0268445808466322,0.129461584996975
"DLG4",57,0.0227395126563989,0.102130325814536
"RUNX2",55,0.0132707021176244,0.230976430976431
"ELN",52,0.00763823155630145,0.351432880844646
"BMP4",52,0.0117538963841453,0.209653092006033
"TIMP3",52,0.00525827794572654,0.319758672699849
"THBS2",51,0.00347850066573752,0.395294117647059
"COL12A1",50,0.00279316363144769,0.426938775510204
"ANK3",50,0.023183848608786,0.0751020408163265
"TGFB3",49,0.0071773410835412,0.292517006802721
"GNG2",48,0.017929659012834,0.109929078014184
"UBE2I",47,0.0199998244607305,0.0777058279370953
"COL18A1",47,0.00330641760802568,0.40795559666975
"FCGR3A",47,0.00999005681651368,0.177613320999075
"SPARC",47,0.00470951540389592,0.39222941720629
"HCLS1",46,0.0223916305861742,0.0888888888888889
"CUL7",45,0.0152984521967883,0.142424242424242
"HGF",45,0.00777612619053651,0.258585858585859
"VIM",45,0.0100534060801662,0.212121212121212
"FOXO3",45,0.0115481111298008,0.183838383838384
"NGF",45,0.0129012420146364,0.183838383838384
"COL14A1",44,0.000887695338759297,0.485200845665962
"ALDH18A1",44,0.0192693186174177,0.135306553911205
"ACO2",44,0.0135614737084931,0.197674418604651
"SNAI2",44,0.00352648983998944,0.345665961945032
"CDK4",43,0.0104380395223493,0.167220376522702
"NR3C1",42,0.0152648882417162,0.125435540069686
"FMOD",42,0.0019651263770637,0.40650406504065
"VCAN",42,0.00703493475188252,0.272938443670151
"RUNX1",42,0.00839979890291786,0.207897793263647
"CDKN1A",42,0.0101634027199658,0.231126596980256
"VCL",41,0.013886639451047,0.113414634146341
"GRIA1",41,0.0116279626921527,0.139024390243902
"EZR",41,0.0177407555256565,0.104878048780488
"FURIN",40,0.0110256220847087,0.0871794871794872
"TIMP2",40,0.00176119557087351,0.394871794871795
"NTRK1",40,0.0100098341023162,0.142307692307692
"FAU",40,0.0198447787593655,0.103846153846154
"NT5E",39,0.0138651386081116,0.198380566801619
"COL8A1",39,0.000689043846642615,0.537112010796221
"GPX3",39,0.00938226840269631,0.194331983805668
"IGF2",38,0.0106279818082538,0.227596017069701
"COL15A1",38,0.00111321051769902,0.512091038406828
"PPP2R1A",38,0.0196264915387274,0.0725462304409673
"TUFM",38,0.0102385318224053,0.173541963015647
"LTBP2",37,0.00151169351637431,0.444444444444444
"ITPR1",37,0.0113761915128692,0.100600600600601
"COL11A2",37,0.00522066908507158,0.405405405405405
"ARF1",37,0.0175563354476569,0.0750750750750751
"ACE",36,0.00677657185033966,0.173015873015873
"ASPN",36,0.00192573626002778,0.426984126984127
"PLCB1",36,0.00914760862287318,0.149206349206349
"AGRN",36,0.00692346499643824,0.173015873015873
"CD163",36,0.00451956153833864,0.231746031746032
"AXIN1",36,0.0108364240639226,0.16031746031746
"EPAS1",36,0.00962753956794694,0.192063492063492
"GPX8",35,0.00521202516828949,0.236974789915966
"GPX7",35,0.00491756924365472,0.230252100840336
"SEC13",35,0.0134624978419332,0.0941176470588235
"VAMP2",34,0.0172298223087532,0.0766488413547237
"RPL3L",34,0.0108348139050756,0.219251336898396
"GDNF",33,0.00510506997883328,0.191287878787879
"CAMK2A",33,0.00688966295496086,0.109848484848485
"GOT2",33,0.00898533761371987,0.210227272727273
"MME",33,0.00543336911657439,0.210227272727273
"SOS1",33,0.00565448391671704,0.160984848484848
"COL8A2",33,0.00193159968708788,0.477272727272727
"COL16A1",33,0.00143162298545715,0.590909090909091
"MCAM",32,0.0100522866716351,0.143145161290323
"PLCG2",31,0.00591191848930508,0.193548387096774
"GNAI2",31,0.00706978597631804,0.146236559139785
"GATA2",31,0.00708064148666145,0.187096774193548
"CBS",31,0.0141168708588199,0.103225806451613
"GPI",31,0.00477178103333283,0.238709677419355
"LRP5",31,0.0103874340422176,0.195698924731183
"BCL6",31,0.00445559006220934,0.264516129032258
"HLA-DRA",31,0.00527963571158973,0.167741935483871
"LOXL1",31,0.00152895688751599,0.50752688172043
"HDAC3",31,0.0087664864271297,0.129032258064516
"LEF1",31,0.0039167323012589,0.245161290322581
"RPTOR",31,0.011690292680777,0.144086021505376
"CD81",30,0.00743160697178076,0.15632183908046
"CASK",30,0.00899654127184461,0.108045977011494
"TGFBI",30,0.00321074520803487,0.372413793103448
"SERPINF1",30,0.003665011281178,0.317241379310345
"CLU",30,0.00360843184208487,0.142528735632184
"CD47",30,0.00628676247649804,0.172413793103448
"CD38",30,0.00422147886544224,0.289655172413793
"ADAM10",29,0.00730107069407084,0.125615763546798
"SLC17A7",29,0.0085153020273862,0.160098522167488
"SHMT1",29,0.00428059279520174,0.261083743842365
"ALDH5A1",29,0.00754187092689307,0.177339901477833
"SULF1",29,0.0020461865014652,0.359605911330049
"COL9A2",29,0.000577602973421504,0.62807881773399
"ADAMTS2",29,0.00179946330710192,0.475369458128079
"SMO",29,0.0090787314394877,0.167487684729064
"NOTCH2",29,0.0041978487324228,0.266009852216749
"NOTCH3",29,0.00568706617436669,0.211822660098522
"ALDH9A1",28,0.00417327137148932,0.201058201058201
"ALDH4A1",28,0.00415304463324472,0.227513227513228
"RAD21",28,0.00833817859046569,0.148148148148148
"ADAMTS4",28,0.00141721008939071,0.428571428571429
"CTSB",28,0.00547626498459854,0.156084656084656
"CDH11",28,0.000997952200683921,0.53968253968254
"IRF3",27,0.00806644057965014,0.102564102564103
"ZBTB16",27,0.00614385637015973,0.196581196581197
"OGN",27,0.000636798412899368,0.504273504273504
"HMGCL",27,0.00621092620458711,0.290598290598291
"GLI2",27,0.00787061734930468,0.170940170940171
"F2",27,0.00356774048343084,0.128205128205128
"FCER1G",27,0.00401286394136164,0.207977207977208
"CX3CR1",27,0.00466330675957343,0.222222222222222
"AKT2",27,0.00754624658538176,0.205128205128205
"TCF3",27,0.00390001079999745,0.148148148148148
"ANPEP",27,0.00568693272887696,0.239316239316239
"LAMA4",26,0.000420643131881654,0.526153846153846
"DAG1",26,0.00578659071304594,0.135384615384615
"EFEMP2",26,0.000650978194844211,0.550769230769231
"COL24A1",26,0.000139026717380791,0.698461538461538
"IGFBP5",26,0.00157751232204045,0.396923076923077
"HSPA2",26,0.0109488527948919,0.150769230769231
"P3H1",26,0.00239401178810835,0.664615384615385
"IL33",26,0.00413977541855252,0.221538461538462
"AGO1",26,0.00835083772147178,0.169230769230769
"TRAF2",25,0.00491115673810683,0.126666666666667
"NID1",25,0.000546702961580553,0.54
"U2AF2",25,0.0060788548757558,0.183333333333333
"GSN",25,0.00538007507968882,0.153333333333333
"STX5",25,0.007572852852156,0.15
"CD59",25,0.00460682241332915,0.156666666666667
"COL6A6",25,8.26996086839158e-05,0.746666666666667
"HLA-DPA1",25,0.00316151970234862,0.183333333333333
"GABARAPL2",25,0.00778377120037159,0.06
"CASP1",24,0.00250811609000839,0.235507246376812
"STAT6",24,0.00137855738395853,0.318840579710145
"CRTAP",24,0.00172882015455092,0.644927536231884
"PRMT1",24,0.00613896245513559,0.152173913043478
"MRPL43",24,0.00384280854864257,0.315217391304348
"EHMT2",24,0.00787888302646367,0.0652173913043478
"UBA1",24,0.00518559871509973,0.130434782608696
"GAP43",24,0.00488972157221902,0.202898550724638
"MFAP4",23,0.00226099123279998,0.517786561264822
"PTN",23,0.00377509187110642,0.276679841897233
"AGTR2",23,0.0031839897403141,0.189723320158103
"MGP",23,0.00303295848635732,0.399209486166008
"HSPB1",23,0.00557273419372042,0.213438735177866
"TLR7",23,0.00162748891476929,0.229249011857708
"MRPS2",23,0.00104012290694037,0.490118577075099
"MRNIP",23,0.00169666405682811,0.454545454545455
"PRODH",23,0.00508606336881681,0.158102766798419
"CCDC80",22,0.00473385560067164,0.441558441558442
"HTR2A",22,0.00381232971443207,0.138528138528139
"RFC3",22,0.00722188124161663,0.220779220779221
"MCM6",22,0.00673007749814887,0.207792207792208
"CTHRC1",22,0.000238439214809441,0.593073593073593
"POLR2G",22,0.00669301510642023,0.173160173160173
"CDK9",22,0.00340796844879703,0.203463203463203
"P4HA3",22,0.00186878211399252,0.675324675324675
"TNFRSF8",22,0.00249991926309681,0.307359307359307
"KCNB1",22,0.00469172308050256,0.173160173160173
"COMT",22,0.0050474368234926,0.199134199134199
"MRPL46",22,0.00315549128758906,0.367965367965368
"CCNL2",22,0.00323978901868893,0.251082251082251
