"Gene.ID","moduleColor","GS.","p.GS."
"ENSG00000166033","blue",0.837129605939142,6.2736798512416e-42
"ENSG00000182197","blue",0.828449576628619,2.34243806228501e-40
"ENSG00000182179","blue",0.827201396648961,3.87684451606758e-40
"ENSG00000072840","blue",0.819678934427865,7.43082983138719e-39
"ENSG00000112562","blue",0.819243868111121,8.77772728337673e-39
"ENSG00000011105","blue",0.813386912367772,7.92059648911286e-38
"ENSG00000085063","blue",-0.812139917992971,1.25264014751077e-37
"ENSG00000103415","blue",-0.80377059927004,2.49202460101623e-36
"ENSG00000035862","blue",0.800517609471374,7.66576254864736e-36
"ENSG00000131620","blue",0.798056136434294,1.76954654331802e-35
"ENSG00000118855","blue",-0.79722599516659,2.34021783347397e-35
"ENSG00000152086","blue",-0.796301706268739,3.18974036661314e-35
"ENSG00000144034","blue",-0.7909333289278,1.86829961494638e-34
"ENSG00000164032","blue",-0.785763037420684,9.76828843332081e-34
"ENSG00000146147","blue",-0.782166190167024,3.00570994041879e-33
"ENSG00000111052","blue",-0.782073999730714,3.09268884198644e-33
"ENSG00000140564","blue",-0.779663260049217,6.48906420053774e-33
"ENSG00000164050","blue",-0.7784903709658,9.27479592686671e-33
"ENSG00000020181","blue",0.778453654990937,9.37875057189785e-33
"ENSG00000101347","blue",-0.776816411245484,1.53837465787587e-32
"ENSG00000134470","blue",-0.771181621158297,8.18502507646857e-32
"ENSG00000171552","blue",-0.770640188624905,9.58698185969685e-32
"ENSG00000103528","blue",0.769351791371477,1.39417008972367e-31
"ENSG00000196405","blue",0.76621460601693,3.43510437608927e-31
"ENSG00000120820","blue",0.765728530289596,3.94520961695271e-31
"ENSG00000103316","blue",0.76551276166677,4.1948378755116e-31
"ENSG00000128294","blue",-0.763102481838469,8.28756142211378e-31
"ENSG00000253250","blue",-0.762166138604643,1.0773515489326e-30
"ENSG00000139410","blue",0.762150842458477,1.08196760676718e-30
"ENSG00000138735","blue",0.759542969191714,2.23233170562714e-30
"ENSG00000149260","blue",0.759115951204547,2.51120244935896e-30
"ENSG00000198722","blue",-0.757709035370025,3.69461681482978e-30
"ENSG00000071242","blue",-0.757441141014678,3.9752973392049e-30
"ENSG00000123572","blue",0.757284569580601,4.14893105992971e-30
"ENSG00000175356","blue",0.755959670151502,5.94955201910467e-30
"ENSG00000075886","blue",-0.755924856502002,6.00598584372524e-30
"ENSG00000100242","blue",-0.755520552646721,6.70114819039242e-30
"ENSG00000168056","blue",0.755304255077526,7.10489826122601e-30
"ENSG00000160310","blue",0.753446527321687,1.17139389051887e-29
"ENSG00000099204","blue",-0.751807451038429,1.81423812634511e-29
"ENSG00000205795","blue",0.75084711223776,2.34058078162675e-29
"ENSG00000069702","blue",-0.7507225218243,2.41901908807393e-29
"ENSG00000154027","blue",0.750081119114329,2.86552342071377e-29
"ENSG00000136867","blue",-0.748739685207891,4.07697480434802e-29
"ENSG00000106077","blue",0.748399948845106,4.45623132512209e-29
"ENSG00000065882","blue",-0.747636652297721,5.43917890722296e-29
"ENSG00000128045","blue",0.74761999144705,5.46285146701563e-29
"ENSG00000130813","blue",0.74619235093878,7.91563030942993e-29
"ENSG00000109466","blue",-0.745760134140057,8.85189369493545e-29
"ENSG00000074047","blue",0.745736106293354,8.90701839124907e-29
"ENSG00000003436","blue",-0.74565250687149,9.10145160735618e-29
"ENSG00000124440","blue",-0.745647596723296,9.11300017533192e-29
"ENSG00000196632","blue",-0.745006124150852,1.07522540228881e-28
"ENSG00000165511","blue",0.744520182559546,1.21836388789565e-28
"ENSG00000091831","blue",0.742878811586371,1.85441537842465e-28
"ENSG00000114631","blue",0.742836785236155,1.87438941499871e-28
"ENSG00000129450","blue",-0.74277182603132,1.90567912663848e-28
"ENSG00000228109","blue",0.740976282838815,3.00563287078336e-28
"ENSG00000023697","blue",-0.740966290111118,3.01323252530703e-28
"ENSG00000096060","blue",-0.74092196649026,3.0471695070238e-28
"ENSG00000116962","blue",-0.73997973846005,3.86420505297005e-28
"ENSG00000149100","blue",-0.739727734862097,4.11695535808543e-28
"ENSG00000011201","blue",0.739184150551735,4.71868884893867e-28
"ENSG00000177575","blue",-0.738981406010542,4.96455908570178e-28
